index,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
0,AL,Receiving personal care in a private home or a personal care home:3 Level A,446.00,699.00,60.00,120.00
1,AL,Receiving personal care in a private home or a personal care home:3 Level B,442.00,691.00,56.00,112.00
2,AL,Receiving personal care and support and maintenance in a private home or personal care home:3 Level A,317.34,506.00,60.00,120.00
3,AL,Receiving personal care and support and maintenance in a private home or personal care home:3 Level B,313.34,498.00,56.00,112.00
4,AL,Receiving nursing care in a private home or personal care care home3,446.00,699.00,60.00,120.00
5,AL,Receiving nursing care and support and maintenance in a private home or personal care home3,317.34,506.00,60.00,120.00
6,AL,Living in foster home with personal care or nursing care3 4,496.00,799.00,110.00,220.00
7,AL,Living in cerebral palsy treatment center:,582.00,971.00,196.00,392.00
8,AK,Living independently,717.00,1063.00,331.00,484.00
9,AK,Living independently with ineligible spouse,862.00,N/A,476.00,N/A
10,AK,Living in household of another,594.34,883.00,337.00,497.00
11,AK,Living in household of another with ineligible spouse,681.34,N/A,424.00,N/A
12,AK,Medicaid facility,75.00,150.00,45.00,90.00
13,AZ,Requires housekeeping services8,456.00,N/A,70.00,N/A
14,AZ,Licensed private nursing homes:4,466.00,739.00,80.00,160.00
15,AZ,Licensed county operated nursing homes:,174.00,348.00,174.00,348.00
16,AZ,"Licensed supervisory care homes, adult foster care homes, or 24-hour treatment facilities8",436.00,679.00,50.00,100.00
17,CA,Independent living with cooking facilities: Aged and disabled,630.00,1167.00,244.00,588.00
18,CA,Independent living with cooking facilities: Blind,704.00,1372.00,318.00,793.00
19,CA,Nonmedical out-of-home ca.re,709.00,1418.00,323.00,839.00
20,CA,Independent living without cooking facilities3 Aged and disabled,698.00,1303.00,312.00,724.00
21,CA,Living in household of another: Aged and disabled,501.34,974.00,244.00,588.00
22,CA,Living in household of another: Blind,575.34,1179.00,318.00,793.00
23,CA,"Disabled minor in home of parent, guardian, or relative",499.00,N/A,113.00,N/A
24,CA,"Nonmedical out-of-home care, living in household of another",580.34,1225.00,323.00,839.00
25,CA,Disabled minor in the household of another,370.34,N/A,113.00,N/A
26,CA,Medicaid facility,42.00,84.00,12.00,24.00
27,CO,Living independently: 8 Aged,444.00,888.00,54.00,309.00
28,CO,Living independently: 8 Blind and disabled,390.00,770.00,4.00,191.00
29,CO,Adult foster care,581.00,N/A,195.00,N/A
30,CO,Home care:4 Aged,763.00,709.00,N/A,N/A
31,CO,Home care:4 Blind and disabled,377.00,323.00,N/A,N/A
32,CO,Individual with essential spouse,514.00,N/A,128.00,N/A
33,CT,Independent community li . s vmg,752.00,1104.00,366.00,525.00
34,DE,Living in adult residential care facility,526.00,1027.00,140.00,448.00
35,DC,Adult foster-care home (50 beds or less),533.20,1066.40,147.20,487.40
36,DC,Adult foster-care home (over 50 beds),643.20,1286.40,257.20,707.40
37,DC,Living independently,401.00,609.00,15.00,30.00
38,DC,Living in household of another,272.34,416.00,15.00,30.00
39,DC,Living independenty with an essential person,594.00,802.00,15.00,30.00
40,DC,Living in household of another with an essential person 3,401.00,544.67,15.00,30.00
41,DC,Medicaid facility,60.00,120.00,30.00,60.00
42,FL,Community care program:3 Normal/Minimal,583.00,N/A,197.00,N/A
43,FL,Community care program:3 Moderate,583.00,N/A,197.00,N/A
44,FL,Adult congregate living facilities,583.00,N/A,197.00,N/A
45,FL,Foster home: Minimal,458.00,N/A,72.00,N/A
46,FL,Foster home: Moderate,477.00,N/A,91.00,N/A
47,FL,Foster home: Intensive,494.00,N/A,108.00,N/A
48,FL,Long-term residential care program for the disabled: Minimal,641.00,N/A,255.00,N/A
49,FL,Long-term residential care program for the disabled: Moderate,659.00,N/A,273.00,N/A
50,FL,Long-term residential care program for the disabled: Intensive,683.00,N/A,297.00,N/A
51,FL,Large group home/Residential habilitation center: A. Mild/moderate disability,556.00,N/A,170.00,N/A
52,FL,Large group home/Residential habilitation center: B. Severe or disruptive behavior,577.00,N/A,191.00,N/A
53,FL,"Large group home/Residential habilitation center: C. Deaf, blind, nonambulatory",589.00,N/A,203.00,N/A
54,FL,Large group home/Residential habilitation center: D. Combin. B and C,600.00,N/A,214.00,N/A
55,FL,Large group home/Residential habilitation center: E. Any combin. above,612.00,N/A,226.00,N/A
56,FL,Medicaid facility,35.00,70.00,5.00,10.00
57,HI,Living independently,390.90,587.80,4.90,8.80
58,HI,Domiciliary Care 13 I,650.90,1301.80,264.90,722.80
59,HI,Domiciliary Care n3 II,735.90,1471.80,349.90,892.80
60,HI,Domiciliary Care m3 III,837.90,1675.80,451.90,1096.80
61,ID,Living independently 4,459.00,624.00,73.00,45.00
62,ID,Living with essential person,624.00,N/A,45.00,N/A
63,ID,Room and board facility,511.00,1022.00,125.00,443.00
64,ID,Hotel-rented room,459.00,624.00,73.00,45.00
65,ID,Licensed shelter home,638.00,1276.00,252.00,697.00
66,ID,Unlicensed shelter home,403.00,806.00,17.00,227.00
67,ID,Adult foster care home,569.00,1038.00,183.00,459.00
68,ID,Specialized shelter home,751.00,1512.00,365.00,933.00
69,ID,Semi-independent group residential facility,565.00,1130.00,179.00,551.00
70,IN,Licensed residential facility3,789.00,N/A,403.00,N/A
71,IA,Living independently: Blind,408.00,623.00,22.00,44.00
72,IA,Living in household of another: Blind,279.34,430.00,22.00,44.00
73,IA,Living with dependent person: Aged and disabled,579.00,772.00,193.00,193.00
74,IA,Living with dependent person: Blind,601.00,816.00,215.00,237.00
75,IA,Family life or boarding home,448.20,916.40,62.20,337.40
