year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,AK,Living independently,,717.00,1063.00,331.00,484.00,386.00,579.00,153.00,FALSE
1990,AK,Living independently with ineligible spouse,,862.00,0.00,476.00,0.00,386.00,0.00,-476.00,FALSE
1990,AK,Living in household of another,,594.34,883.00,337.00,497.00,257.34,386.00,160.00,FALSE
1990,AK,Living in household of another with ineligible spouse,,681.34,0.00,424.00,0.00,257.34,0.00,-424.00,FALSE
1990,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1991,AK,Living independently,,756.00,1120.00,349.00,510.00,407.00,610.00,161.00,FALSE
1991,AK,Living independently with ineligible spouse,,909.00,0.00,502.00,0.00,407.00,0.00,-502.00,FALSE
1991,AK,Living in household of another,,626.34,930.67,355.00,524.00,271.34,406.67,169.00,FALSE
1991,AK,Living in household of another with ineligible spouse,,718.34,0.00,447.00,0.00,271.34,0.00,-447.00,FALSE
1991,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1992,AK,Living independently,,784.00,1161.00,362.00,528.00,422.00,633.00,166.00,FALSE
1992,AK,Living independently with ineligible spouse,,943.00,0.00,521.00,0.00,422.00,0.00,-521.00,FALSE
1992,AK,Living in household of another,,649.34,965.00,368.00,543.00,281.34,422.00,175.00,FALSE
1992,AK,Living in household of another with ineligible spouse,,745.34,0.00,464.00,0.00,281.34,0.00,-464.00,FALSE
1992,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1994,AK,Living independently,,808.00,1197.00,362.00,528.00,446.00,669.00,166.00,FALSE
1994,AK,Living independently with ineligible spouse,,967.00,0.00,521.00,0.00,446.00,0.00,-521.00,FALSE
1994,AK,Living in household of another,,665.34,989.00,368.00,543.00,297.34,446.00,175.00,FALSE
1994,AK,Living in household of another with ineligible spouse,,761.34,0.00,464.00,0.00,297.34,0.00,-464.00,FALSE
1994,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1995,AK,Living independently,,820.00,1215.00,362.00,528.00,458.00,687.00,166.00,FALSE
1995,AK,Living independently with ineligible spouse,,979.00,0.00,521.00,0.00,458.00,0.00,-521.00,FALSE
1995,AK,Living in household of another,,673.34,1001.00,368.00,543.00,305.34,458.00,175.00,FALSE
1995,AK,Living in household of another with ineligible spouse,,769.34,0.00,464.00,0.00,305.34,0.00,-464.00,FALSE
1995,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1996,AK,Living independently,,832.00,1233.00,362.00,528.00,470.00,705.00,166.00,FALSE
1996,AK,Living independently with ineligible spouse,,991.00,0.00,521.00,0.00,470.00,0.00,-521.00,FALSE
1996,AK,Living in household of another,,681.34,1013.00,368.00,543.00,313.34,470.00,175.00,FALSE
1996,AK,Living in household of another with ineligible spouse,,777.34,0.00,464.00,0.00,313.34,0.00,-464.00,FALSE
1996,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1997,AK,Living independently,,846.00,1254.00,362.00,528.00,484.00,726.00,166.00,FALSE
1997,AK,Living independently with ineligible spouse,,1005.00,0.00,521.00,0.00,484.00,0.00,-521.00,FALSE
1997,AK,Living in household of another,,690.67,1027.00,368.00,543.00,322.67,484.00,175.00,FALSE
1997,AK,Living in household of another with ineligible spouse,,786.67,0.00,464.00,0.00,322.67,0.00,-464.00,FALSE
1997,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1998,AK,Living independently,,856.00,1269.00,362.00,528.00,494.00,741.00,166.00,FALSE
1998,AK,Living independently with ineligible spouse,,1015.00,0.00,521.00,0.00,494.00,0.00,-521.00,FALSE
1998,AK,Living in household of another,,697.34,1037.00,368.00,543.00,329.34,494.00,175.00,FALSE
1998,AK,Living in household of another with ineligible spouse,,793.34,0.00,464.00,0.00,329.34,0.00,-464.00,FALSE
1998,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
1999,AK,Living independently,,862.00,1279.00,362.00,528.00,500.00,751.00,166.00,FALSE
1999,AK,Living independently with ineligible spouse,,1021.00,0.00,521.00,0.00,500.00,0.00,-521.00,FALSE
1999,AK,Living in household of another,,701.34,1043.67,368.00,543.00,333.34,500.67,175.00,FALSE
1999,AK,Living in household of another with ineligible spouse,,797.34,0.00,464.00,0.00,333.34,0.00,-464.00,FALSE
1999,AK,Medicaid facility,,75.00,150.00,45.00,90.00,30.00,60.00,45.00,TRUE
