year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,AL,Receiving IHC in a private home or a personal care,Level A,446.00,699.00,60.00,120.00,386.00,579.00,60.00,TRUE
1990,AL,Receiving IHC in a private home or a personal care,Level B,442.00,691.00,56.00,112.00,386.00,579.00,56.00,TRUE
1990,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,317.34,506.00,60.00,120.00,257.34,386.00,60.00,TRUE
1990,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,313.34,498.00,56.00,112.00,257.34,386.00,56.00,TRUE
1990,AL,Receiving specialized IHC in a private home or personal care home,,446.00,699.00,60.00,120.00,386.00,579.00,60.00,TRUE
1990,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,317.34,506.00,60.00,120.00,257.34,386.00,60.00,TRUE
1990,AL,Living in foster home with IHC or specialized IHC,,496.00,799.00,110.00,220.00,386.00,579.00,110.00,TRUE
1990,AL,Living in cerebral palsy treatment center,,582.00,971.00,196.00,392.00,386.00,579.00,196.00,TRUE
1991,AL,Receiving IHC in a private home or a personal care,Level A,467.00,730.00,60.00,120.00,407.00,610.00,60.00,TRUE
1991,AL,Receiving IHC in a private home or a personal care,Level B,463.00,722.00,56.00,112.00,407.00,610.00,56.00,TRUE
1991,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,331.34,526.67,60.00,120.00,271.34,406.67,60.00,TRUE
1991,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,327.34,518.67,56.00,112.00,271.34,406.67,56.00,TRUE
1991,AL,Receiving specialized IHC in a private home or personal care home,,467.00,730.00,60.00,120.00,407.00,610.00,60.00,TRUE
1991,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,331.34,526.67,60.00,120.00,271.34,406.67,60.00,TRUE
1991,AL,Living in foster home with IHC or specialized IHC,,517.00,830.00,110.00,220.00,407.00,610.00,110.00,TRUE
1991,AL,Living in cerebral palsy treatment center,,603.00,1002.00,196.00,392.00,407.00,610.00,196.00,TRUE
1992,AL,Receiving IHC in a private home or a personal care,Level A,482.00,753.00,60.00,120.00,422.00,633.00,60.00,TRUE
1992,AL,Receiving IHC in a private home or a personal care,Level B,478.00,745.00,56.00,112.00,422.00,633.00,56.00,TRUE
1992,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,341.34,542.00,60.00,120.00,281.34,422.00,60.00,TRUE
1992,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,337.34,534.00,56.00,112.00,281.34,422.00,56.00,TRUE
1992,AL,Receiving specialized IHC in a private home or personal care home,,482.00,753.00,60.00,120.00,422.00,633.00,60.00,TRUE
1992,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,341.34,542.00,60.00,120.00,281.34,422.00,60.00,TRUE
1992,AL,Living in foster home with IHC or specialized IHC,,532.00,853.00,110.00,220.00,422.00,633.00,110.00,TRUE
1992,AL,Living in cerebral palsy treatment center,,618.00,1025.00,196.00,392.00,422.00,633.00,196.00,TRUE
1994,AL,Receiving IHC in a private home or a personal care,Level A,506.00,789.00,60.00,120.00,446.00,669.00,60.00,TRUE
1994,AL,Receiving IHC in a private home or a personal care,Level B,502.00,781.00,56.00,112.00,446.00,669.00,56.00,TRUE
1994,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,357.34,566.00,60.00,120.00,297.34,446.00,60.00,TRUE
