year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,AZ,Requires housekeeping services,,456.00,0.00,70.00,0.00,386.00,0.00,-70.00,FALSE
1990,AZ,Licensed private nursing homes,,466.00,739.00,80.00,160.00,386.00,579.00,80.00,TRUE
1990,AZ,Licensed county operated nursing homes,,174.00,348.00,174.00,348.00,0.00,0.00,174.00,TRUE
1990,AZ,Licensed supervisory care homes,,436.00,679.00,50.00,100.00,386.00,579.00,50.00,TRUE
1990,AZ,Adult foster care homes,,436.00,679.00,50.00,100.00,386.00,579.00,50.00,TRUE
1990,AZ,24-hour treatment facilities,,436.00,679.00,50.00,100.00,386.00,579.00,50.00,TRUE
1991,AZ,Requires housekeeping services,,477.00,0.00,70.00,0.00,407.00,0.00,-70.00,FALSE
1991,AZ,Licensed private nursing homes,,487.00,770.00,80.00,160.00,407.00,610.00,80.00,TRUE
1991,AZ,Licensed county operated nursing homes,,0.00,0.00,174.00,348.00,-174.00,-348.00,174.00,TRUE
1991,AZ,Licensed supervisory care homes,,457.00,710.00,50.00,100.00,407.00,610.00,50.00,TRUE
1991,AZ,Adults foster care homes,,457.00,710.00,50.00,100.00,407.00,610.00,50.00,TRUE
1991,AZ,24-hour treatment facilities,,457.00,710.00,50.00,100.00,407.00,610.00,50.00,TRUE
1992,AZ,Requires housekeeping services,,492.00,0.00,70.00,0.00,422.00,0.00,-70.00,FALSE
1992,AZ,Licensed private nursing homes,,502.00,793.00,80.00,160.00,422.00,633.00,80.00,TRUE
1992,AZ,Licensed county operated nursing homes,,0.00,0.00,174.00,348.00,-174.00,-348.00,174.00,TRUE
1992,AZ,Licensed supervisory care homes,,472.00,733.00,60.00,100.00,412.00,633.00,40.00,FALSE
1992,AZ,Adult foster care homes,,472.00,733.00,60.00,100.00,412.00,633.00,40.00,FALSE
1992,AZ,24-hour treatment facilities,,472.00,733.00,60.00,100.00,412.00,633.00,40.00,FALSE
1994,AZ,Requires housekeeping services,,516.00,0.00,70.00,0.00,446.00,0.00,-70.00,FALSE
1994,AZ,Licensed private nursing homes,,526.00,829.00,80.00,160.00,446.00,669.00,80.00,TRUE
1994,AZ,Licensed county operated nursing homes,,0.00,0.00,174.00,348.00,-174.00,-348.00,174.00,TRUE
1994,AZ,Licensed supervisory care homes,,496.00,769.00,50.00,100.00,446.00,669.00,50.00,TRUE
1994,AZ,Adult foster care homes,,496.00,769.00,50.00,100.00,446.00,669.00,50.00,TRUE
1994,AZ,24-hour treatment facilities,,496.00,769.00,50.00,100.00,446.00,669.00,50.00,TRUE
1995,AZ,Requires housekeeping services,,528.00,0.00,70.00,0.00,458.00,0.00,-70.00,FALSE
1995,AZ,Licensed private nursing homes,,538.00,847.00,80.00,160.00,458.00,687.00,80.00,TRUE
1995,AZ,Licensed county operated nursing homes,,0.00,0.00,174.00,348.00,-174.00,-348.00,174.00,TRUE
1995,AZ,Licensed supervisory care homes,,508.00,787.00,50.00,100.00,458.00,687.00,50.00,TRUE
1995,AZ,Adult foster care homes,,508.00,787.00,50.00,100.00,458.00,687.00,50.00,TRUE
1995,AZ,24-hour treatment facilities,,508.00,787.00,50.00,100.00,458.00,687.00,50.00,TRUE
1996,AZ,Requires housekeeping services,,540.00,0.00,70.00,0.00,470.00,0.00,-70.00,FALSE
1996,AZ,Licensed private nursing homes,,550.00,865.00,80.00,160.00,470.00,705.00,80.00,TRUE
1996,AZ,Licensed county operated nursing homes,,0.00,0.00,174.00,348.00,-174.00,-348.00,174.00,TRUE
1996,AZ,Licensed supervisory care homes,,520.00,805.00,50.00,100.00,470.00,705.00,50.00,TRUE
1996,AZ,Adult foster care homes,,520.00,805.00,50.00,100.00,470.00,705.00,50.00,TRUE
1996,AZ,24-hour treatment facilities,,520.00,805.00,50.00,100.00,470.00,705.00,50.00,TRUE
1997,AZ,Requires housekeeping services,,554.00,0.00,70.00,0.00,484.00,0.00,-70.00,FALSE
1997,AZ,Licensed supervisory care homes,,534.00,826.00,50.00,100.00,484.00,726.00,50.00,TRUE
1997,AZ,Adult foster care homes,,534.00,826.00,50.00,100.00,484.00,726.00,50.00,TRUE
1997,AZ,24-hour treatment facilities,,534.00,826.00,50.00,100.00,484.00,726.00,50.00,TRUE
1997,AZ,Licensed private nursing homes,,564.00,886.00,80.00,160.00,484.00,726.00,80.00,TRUE
1998,AZ,Requires housekeeping services,,564.00,0.00,70.00,0.00,494.00,0.00,-70.00,FALSE
1998,AZ,Licensed supervisory care homes,,544.00,841.00,50.00,100.00,494.00,741.00,50.00,TRUE
1998,AZ,Adult foster care homes,,544.00,841.00,50.00,100.00,494.00,741.00,50.00,TRUE
1998,AZ,24-hour treatment facilities,,544.00,841.00,50.00,100.00,494.00,741.00,50.00,TRUE
1998,AZ,Licensed private nursing homes,,574.00,901.00,80.00,160.00,494.00,741.00,80.00,TRUE
