year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,CT,Independent community living,,752,1104,366,525,386,579,159,false
1991,CT,Independent community living,,766,1132,359,522,407,610,163,false
1992,CT,Independent community living,,747.1,1094.2,325.1,461.2,422,633,136.09999999999997,false
1994,CT,Independent community living,,747.1,1094.2,301.1,425.2,446,669,124.09999999999997,false
1995,CT,Independent community living,,747,1093,289,406,458,687,117,false
1996,CT,Independent community living,,747,1094,277,389,470,705,112,false
1997,CT,Independent community living,,747,1094,263,368,484,726,105,false
1998,CT,Independent community living,,747,1094,253,353,494,741,100,false
1998,CT,Licensed room and board facility,,494,741,0,0,494,741,0,true
1999,CT,Independent community living,,747,1094,247,343,500,751,96,false
1999,CT,Licensed room and board facility,,500,751,0,0,500,751,0,true
1999,CT,Medicaid facility,,50,100,20,40,30,60,20,true
2000,CT,Independent community living,,747,1094,235,325,512,769,90,false
2000,CT,Licensed room and board facility,,512,769,0,0,512,769,0,true
2000,CT,Medicaid facility,,51,102,21,42,30,60,21,true
2004,CT,Independent community living,,747,1096,183,250,564,846,67,false
2004,CT,Licensed room and board facility,,564,846,0,0,564,846,0,true
2004,CT,Medicaid facility,,56,112,26,52,30,60,26,true
2005,CT,Independent community living,,747,1096,168,227,579,869,59,false
2005,CT,Licensed room and board facility,,579,869,0,0,579,869,0,true
2005,CT,Medicaid facility,,57,114,27,54,30,60,27,true
2006,CT,Independent community living,,771,1144,168,240,603,904,72,false
2006,CT,Licensed room and board facility,,603,904,0,0,603,904,0,true
2006,CT,Medicaid facility,,59,118,29,58,30,60,29,true
2007,CT,Independent community living,,791,1184,168,250,623,934,82,false
2007,CT,Licensed room and board facility,,623,934,0,0,623,934,0,true
2007,CT,Medicaid facility,,61,122,31,62,30,60,31,true
2008,CT,Independent community living,,805,1212,168,256,637,956,88,false
2008,CT,Licensed room and board facility,,637,956,0,0,637,956,0,true
2008,CT,Medicaid facility,,63,126,33,66,30,60,33,true
2011,CT,Independent community living,,842,1285,168,274,674,1011,106,false
2011,CT,Licensed room and board facility,,674,1011,0,0,674,1011,0,true
2011,CT,Medicaid facility,,69,138,39,78,30,60,39,true
