year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,DE,Living in adult residential care facility,,526,1027,140,448,386,579,308,false
1991,DE,Living in adult residential care facility,,547,1058,140,448,407,610,308,false
1992,DE,Living in adult residential care facility,,562,1081,140,448,422,633,308,false
1994,DE,Living in adult residential care facility,,586,1117,140,448,446,669,308,false
1995,DE,Living in adult residential care facility,,598,1135,140,448,458,687,308,false
1996,DE,Living in adult residential care facility,,610,1153,140,448,470,705,308,false
1997,DE,Living in adult residential care facility,,624,1174,140,448,484,726,308,false
1998,DE,Living in adult residential care facility,,634,1189,140,448,494,741,308,false
1999,DE,Living in adult residential care facility,,640,1199,140,448,500,751,308,false
2000,DE,Living in adult residential care facility,,652,1217,140,448,512,769,308,false
2004,DE,Living in adult residential care facility,,704,1294,140,448,564,846,308,false
2004,DE,Living independently,,569,0,5,0,564,0,-5,false
2005,DE,Living in adult residential care facility,,719,1317,140,448,579,869,308,false
2006,DE,Living in adult residential care facility,,743,1352,140,448,603,904,308,false
2007,DE,Living in adult residential care facility,,763,1382,140,448,623,934,308,false
2008,DE,Living in adult residential care facility,,777,1404,140,448,637,956,308,false
2011,DE,Living in adult residential care facility,,814,1459,140,448,674,1011,308,false
