year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,FL,Community care program,Adult foster care,583.00,0.00,197.00,0.00,386.00,0.00,-197.00,FALSE
1990,FL,Community care program,Adult congregate living facilities,583.00,0.00,197.00,0.00,386.00,0.00,-197.00,FALSE
1990,FL,Foster home,Minimal,458.00,0.00,72.00,0.00,386.00,0.00,-72.00,FALSE
1990,FL,Foster home,Moderate,477.00,0.00,91.00,0.00,386.00,0.00,-91.00,FALSE
1990,FL,Foster home,Intensive,494.00,0.00,108.00,0.00,386.00,0.00,-108.00,FALSE
1990,FL,Long-term residential care program for the disabled (Small group home),Minimal,641.00,0.00,255.00,0.00,386.00,0.00,-255.00,FALSE
1990,FL,Long-term residential care program for the disabled (Small group home),Moderate,659.00,0.00,273.00,0.00,386.00,0.00,-273.00,FALSE
1990,FL,Long-term residential care program for the disabled (Small group home),Intensive,683.00,0.00,297.00,0.00,386.00,0.00,-297.00,FALSE
1990,FL,Large group home/Residential habilitation center,A. Mild/moderate disability,556.00,0.00,170.00,0.00,386.00,0.00,-170.00,FALSE
1990,FL,Large group home/Residential habilitation center,B. Severe/disruptive behavior,577.00,0.00,191.00,0.00,386.00,0.00,-191.00,FALSE
1990,FL,Large group home/Residential habilitation center,C. Deaf/blind/nonambulatory,589.00,0.00,203.00,0.00,386.00,0.00,-203.00,FALSE
1990,FL,Large group home/Residential habilitation center,D. Combination of B and C,600.00,0.00,214.00,0.00,386.00,0.00,-214.00,FALSE
1990,FL,Large group home/Residential habilitation center,E. Any combination above,612.00,0.00,226.00,0.00,386.00,0.00,-226.00,FALSE
1990,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1991,FL,Community care program,Adult foster care,618.00,0.00,211.00,0.00,407.00,0.00,-211.00,FALSE
1991,FL,Community care program,Adult congregate living facilities,618.00,0.00,211.00,0.00,407.00,0.00,-211.00,FALSE
1991,FL,Foster home,Minimal,618.00,0.00,211.00,0.00,407.00,0.00,-211.00,FALSE
1991,FL,Foster home,Moderate,618.00,0.00,211.00,0.00,407.00,0.00,-211.00,FALSE
1991,FL,Foster home,Intensive,618.00,0.00,211.00,0.00,407.00,0.00,-211.00,FALSE
1991,FL,Long-term residential care program for the disabled (Small group home),Minimal,662.00,0.00,255.00,0.00,407.00,0.00,-255.00,FALSE
1991,FL,Long-term residential care program for the disabled (Small group home),Moderate,680.00,0.00,273.00,0.00,407.00,0.00,-273.00,FALSE
1991,FL,Long-term residential care program for the disabled (Small group home),Intensive,704.00,0.00,297.00,0.00,407.00,0.00,-297.00,FALSE
1991,FL,Large group home/Residential habilitation center,A. Mild/moderate disability,577.00,0.00,170.00,0.00,407.00,0.00,-170.00,FALSE
1991,FL,Large group home/Residential habilitation center,B. Severe/disruptive behavior,598.00,0.00,191.00,0.00,407.00,0.00,-191.00,FALSE
1991,FL,Large group home/Residential habilitation center,C. Deaf/blind/nonambulatory,610.00,0.00,203.00,0.00,407.00,0.00,-203.00,FALSE
1991,FL,Large group home/Residential habilitation center,D. Combination of B and C,621.00,0.00,214.00,0.00,407.00,0.00,-214.00,FALSE
1991,FL,Large group home/Residential habilitation center,E. Any combination above,633.00,0.00,226.00,0.00,407.00,0.00,-226.00,FALSE
1991,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1992,FL,Community care program,Adult foster care,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,FL,Community care program,Adult congregate living facilities,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,FL,Foster home,Minimal,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,FL,Foster home,Moderate,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,FL,Foster home,Intensive,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,FL,Long-term residential care program for the disabled (Small group home),Minimal,677.00,0.00,255.00,0.00,422.00,0.00,-255.00,FALSE
1992,FL,Long-term residential care program for the disabled (Small group home),Moderate,695.00,0.00,273.00,0.00,422.00,0.00,-273.00,FALSE
1992,FL,Long-term residential care program for the disabled (Small group home),Intensive,719.00,0.00,297.00,0.00,422.00,0.00,-297.00,FALSE
1992,FL,Large group home/Residential habilitation center,A. Mild/moderate disability,592.00,0.00,170.00,0.00,422.00,0.00,-170.00,FALSE
1992,FL,Large group home/Residential habilitation center,B. Severe/disruptive behavior,613.00,0.00,191.00,0.00,422.00,0.00,-191.00,FALSE
1992,FL,Large group home/Residential habilitation center,C. Deaf/blind/nonambulatory,625.00,0.00,203.00,0.00,422.00,0.00,-203.00,FALSE
1992,FL,Large group home/Residential habilitation center,D. Combination of B and C,636.00,0.00,214.00,0.00,422.00,0.00,-214.00,FALSE
1992,FL,Large group home/Residential habilitation center,E. Any combination above,648.00,0.00,226.00,0.00,422.00,0.00,-226.00,FALSE
1992,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1994,FL,Community care program,Adult foster care,630.00,0.00,184.00,0.00,446.00,0.00,-184.00,FALSE
1994,FL,Community care program,Adult congregate living facilities,630.00,0.00,184.00,0.00,446.00,0.00,-184.00,FALSE
1994,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1995,FL,Community care program,Adult foster care,629.00,0.00,171.00,0.00,458.00,0.00,-171.00,FALSE
1995,FL,Community care program,Adult congregate living facilities,629.00,0.00,171.00,0.00,458.00,0.00,-171.00,FALSE
1995,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1996,FL,Community care program,Adult foster care,641.00,0.00,171.00,0.00,470.00,0.00,-171.00,FALSE
1996,FL,Community care program,Adult congregate living facilities,641.00,0.00,171.00,0.00,470.00,0.00,-171.00,FALSE
1996,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1997,FL,Community care program,Adult foster care,655.00,0.00,171.00,0.00,484.00,0.00,-171.00,FALSE
1997,FL,Community care program,Adult congregate living facilities,655.00,0.00,171.00,0.00,484.00,0.00,-171.00,FALSE
1997,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1998,FL,Community care program,Adult foster care,665.00,0.00,171.00,0.00,494.00,0.00,-171.00,FALSE
1998,FL,Community care program,Adult congregate living facilities,665.00,0.00,171.00,0.00,494.00,0.00,-171.00,FALSE
1998,FL,Medicaid facility,,35.00,70.00,5.00,10.00,30.00,60.00,5.00,TRUE
1999,FL,Community care program,Adult foster care,708.00,0.00,208.00,0.00,500.00,0.00,-208.00,FALSE
