year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,HI,Living independently,,390.9,587.8,4.9,8.8,386,579,3.9000000000000004,false
1990,HI,Domiciliary Care,I,650.9,1301.8,264.9,722.8,386,579,457.9,false
1990,HI,Domiciliary Care,II,735.9,1471.8,349.9,892.8,386,579,542.9,false
1990,HI,Domiciliary Care,III,837.9,1675.8,451.9,1096.8,386,579,644.9,false
1991,HI,Living independently,,411.9,618.8,4.9,8.8,407,610,3.9000000000000004,false
1991,HI,Domiciliary Care,I,671.9,1343.8,264.9,733.8,407,610,468.9,false
1991,HI,Domiciliary Care,II,756.9,1513.8,349.9,903.8,407,610,553.9,false
1991,HI,Domiciliary Care,III,858.9,1717.8,451.9,1107.8,407,610,655.9,false
1992,HI,Living independently,,426.9,641.8,4.9,8.8,422,633,3.9000000000000004,false
1992,HI,Domiciliary Care,I,686.9,1373.8,264.9,740.8,422,633,475.9,false
1992,HI,Domiciliary Care,II,771.9,1543.8,349.9,910.8,422,633,560.9,false
1992,HI,Domiciliary Care,III,873.9,1747.8,451.9,1114.8,422,633,662.9,false
1994,HI,Living independently,,450.9,677.8,4.9,8.8,446,669,3.9000000000000004,false
1994,HI,Domiciliary Care,I,730.9,1461.8,284.9,792.8,446,669,507.9,false
1994,HI,Domiciliary Care,II,815.9,1631.8,369.9,962.8,446,669,592.9,false
1994,HI,Domiciliary Care,III,917.9,1835.8,471.9,1166.8,446,669,694.9,false
1995,HI,Living independently,,462.9,695.8,4.9,8.8,458,687,3.9000000000000004,false
1995,HI,Domiciliary Care,I,742.9,1485.8,284.9,798.8,458,687,513.9,false
1995,HI,Domiciliary Care,II,827.9,1655.8,369.9,968.8,458,687,598.9,false
1995,HI,Domiciliary Care,III,929.9,1859.8,471.9,1172.8,458,687,700.9,false
1996,HI,Living independently,,474.9,713.8,4.9,8.8,470,705,3.9000000000000004,false
1996,HI,Domiciliary Care,I,754.9,1509.8,284.9,804.8,470,705,519.9,false
1996,HI,Domiciliary Care,II,839.9,1679.8,369.9,974.8,470,705,604.9,false
1996,HI,Domiciliary Care,III,941.9,1883.8,471.9,1178.8,470,705,706.9,false
1997,HI,Living independently,,488.9,734.8,4.9,8.8,484,726,3.9000000000000004,false
1997,HI,Domiciliary Care,I,768.9,1537.8,284.9,811.8,484,726,526.9,false
1997,HI,Domiciliary Care,II,853.9,1707.8,369.9,981.8,484,726,611.9,false
1997,HI,Domiciliary Care,III,955.9,1911.8,471.9,1185.8,484,726,713.9,false
1998,HI,Living independently,,498.9,749.8,4.9,8.8,494,741,3.9000000000000004,false
1998,HI,Domiciliary Care,(1 to 5 residents),1015.9,2031.8,521.9,1290.8,494,741,768.9,false
1998,HI,Domiciliary Care,(6 or more residents),1123.9,2247.8,629.9,1506.8,494.0000000000001,741.0000000000002,876.9,false
1999,HI,Living independently,,504.9,759.8,4.9,8.8,500,751,3.9000000000000004,false
1999,HI,Domiciliary care facility,(1 to 5 residents),1021.9,2043.8,521.9,1292.8,500,751,770.9,false
1999,HI,Domiciliary care facility,(6 or more residents),1129.9,2259.8,629.9,1508.8,500.0000000000001,751.0000000000002,878.9,false
2000,HI,Living independently,,516.9,777.8,4.9,8.8,512,769,3.9000000000000004,false
2000,HI,Domiciliary care facility,(1 to 5 residents),1033.9,2067.8,521.9,1298.8,512.0000000000001,769.0000000000002,776.9,false
2000,HI,Domiciliary care facility,(6 or more residents),1141.9,2283.8,629.9,1514.8,512.0000000000001,769.0000000000002,884.9,false
2004,HI,Foster care home,,1085.9,2171.8,521.9,1325.8,564.0000000000001,846.0000000000002,803.9,false
2004,HI,Domiciliary care facility,(1 to 5 residents),1085.9,2171.8,521.9,1325.8,564.0000000000001,846.0000000000002,803.9,false
2004,HI,Domiciliary care facility,(6 or more residents),1193.9,2387.8,629.9,1541.8,564.0000000000001,846.0000000000002,911.9,false
2005,HI,Foster care home,,1100.9,2201.8,521.9,1332.8,579.0000000000001,869.0000000000002,810.9,false
2005,HI,Domiciliary care facility,(1 to 5 residents),1100.9,2201.8,521.9,1332.8,579.0000000000001,869.0000000000002,810.9,false
2005,HI,Domiciliary care facility,(6 or more residents),1208.9,2417.8,629.9,1548.8,579.0000000000001,869.0000000000002,918.9,false
2006,HI,Foster care home,,1124.9,2249.8,521.9,1345.8,603.0000000000001,904.0000000000002,823.9,false
2006,HI,Domiciliary care facility,(1 to 5 residents),1124.9,2249.8,521.9,1345.8,603.0000000000001,904.0000000000002,823.9,false
2006,HI,Domiciliary care facility,(6 or more residents),1232.9,2465.8,629.9,1561.8,603.0000000000001,904.0000000000002,931.9,false
2007,HI,Foster care home,,1244.9,2489.8,621.9,1555.8,623.0000000000001,934.0000000000002,933.9,false
2007,HI,Domiciliary care facility,(1 to 5 residents),1244.9,2489.8,621.9,1555.8,623.0000000000001,934.0000000000002,933.9,false
2007,HI,Domiciliary care facility,(6 or more residents),1352.9,2705.8,729.9,1771.8,623.0000000000001,934.0000000000002,1041.9,false
2008,HI,Foster care home,,1278.9,2557.9,641.9,1601.8,637.0000000000001,956.1000000000001,959.9,false
2008,HI,Medicaid facility,,50,100,20,40,30,60,20,true
2008,HI,Domiciliary care facility,(1 to 5 residents),1278.9,2557.9,641.9,1601.8,637.0000000000001,956.1000000000001,959.9,false
2008,HI,Domiciliary care facility,(6 or more residents),1386.9,2773.8,749.9,1817.8,637.0000000000001,956.0000000000002,1067.9,false
2011,HI,Foster care home,,1325.9,2651.8,651.9,1640.8,674.0000000000001,1011.0000000000002,988.9,false
2011,HI,Medicaid facility,,50,100,20,40,30,60,20,true
2011,HI,Domiciliary care facility,(1 to 5 residents),1325.9,2651.8,651.9,1640.8,674.0000000000001,1011.0000000000002,988.9,false
2011,HI,Domiciliary care facility,(6 or more residents),1433.9,2867.8,759.9,1856.8,674.0000000000001,1011.0000000000002,1096.9,false
