year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,IA,Living independently,Blind,408,623,22,44,386,579,22,true
1990,IA,Living in household of another,Blind,279.34,430,22,44,257.34,386,22,true
1990,IA,Living with dependent person,Aged and disabled,579,772,193,193,386,579,0,false
1990,IA,Living with dependent person,Blind,601,816,215,237,386,579,22,false
1990,IA,Family life or boarding home,,448.2,916.4,62.2,337.4,386,579,275.2,false
1990,IA,Living with dependent person in household of another,Aged and disabled,450.34,579,193,193,257.34,386,0,false
1990,IA,Living with dependent person in household of another,Blind,472.34,623,215,237,257.34,386,22,false
1990,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),319.54,723.4,62.2,337.4,257.34000000000003,386,275.2,false
1990,IA,Residential-care,,623.81,0,237.81,0,385.99999999999994,0,-237.81,false
1990,IA,In-home health care,,754.07,1315.14,368.07,736.14,386.00000000000006,579.0000000000001,368.07,true
1991,IA,Living independently,Blind,429,654,22,44,407,610,22,true
1991,IA,Living in household of another,Blind,293.34,450.67,22,44,271.34,406.67,22,true
1991,IA,Living with dependent person,Aged and disabled,611,814,204,204,407,610,0,false
1991,IA,Living with dependent person,Blind,633,858,226,248,407,610,22,false
1991,IA,Family life or boarding home,,469.2,958.4,62.2,348.4,407,610,286.2,false
1991,IA,Living with dependent person in household of another,Aged and disabled,475.34,610.67,204,204,271.34,406.66999999999996,0,false
1991,IA,Living with dependent person in household of another ,Blind,497.34,654.67,226,248,271.34,406.66999999999996,22,false
1991,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),333.54,755.07,62.2,348.4,271.34000000000003,406.6700000000001,286.2,false
1991,IA,Residential-care,,661.22,0,254.22,0,407,0,-254.22,false
1991,IA,In-home health care,,797.15,1390.3,390.15,780.3,407,610,390.15,true
1992,IA,Living independently,Blind,444,677,22,44,422,633,22,true
1992,IA,Living in household of another,Blind,303.34,466,22,44,281.34,422,22,true
1992,IA,Living with dependent person,Aged and disabled,633,844,211,211,422,633,0,false
1992,IA,Living with dependent person,Blind,655,888,233,255,422,633,22,false
1992,IA,Family life or boarding home,,484.2,988.4,62.2,355.4,422,633,293.2,false
1992,IA,Living with dependent person in household of another,Aged and disabled,492.34,633,211,211,281.34,422,0,false
1992,IA,Living with dependent person in household of another,Blind,514.34,677,233,255,281.34000000000003,422,22,false
