year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,ID,Living independently,,459,624,73,45,386,579,-28,false
1990,ID,Living with essential person,,624,0,45,0,579,0,-45,false
1990,ID,Room and board facility,,511,1022,125,443,386,579,318,false
1990,ID,Hotel-rented room,,459,624,73,45,386,579,-28,false
1990,ID,Licensed shelter home,,638,1276,252,697,386,579,445,false
1990,ID,Unlicensed shelter home,,403,806,17,227,386,579,210,false
1990,ID,Adult foster care home,,569,1038,183,459,386,579,276,false
1990,ID,Specialized shelter home,,751,1512,365,933,386,579,568,false
1990,ID,Semi-independent group residential facility,,565,1130,179,551,386,579,372,false
1991,ID,Living independently,,477,654,70,44,407,610,-26,false
1991,ID,Living with essential person,,654,0,43,0,611,0,-43,false
1991,ID,Room and board facilitys,,529,0,122,0,407,0,-122,false
1991,ID,Licensed shelter homes,,656,0,249,0,407,0,-249,false
1991,ID,Unlicensed shelter homes,,408,0,1,0,407,0,-1,false
1991,ID,Adult foster care homes,,587,0,180,0,407,0,-180,false
1991,ID,Specialized shelter homes,,769,0,362,0,407,0,-362,false
1991,ID,Semi-independent group residential facilitys,,583,0,176,0,407,0,-176,false
1992,ID,Living independently,,492,678,70,45,422,633,-25,false
1992,ID,Living with essential person,,678,0,45,0,633,0,-45,false
1992,ID,Room and board facility,,529,0,107,0,422,0,-107,false
1992,ID,Adult residential care home/Adult foster care home,Level I,703,0,281,0,422,0,-281,false
1992,ID,Adult residential care home/Adult foster care home,Level II,762,0,340,0,422,0,-340,false
1992,ID,Adult residential care home/Adult foster care home,Level III,816,0,394,0,422,0,-394,false
1992,ID,Semi-independent group residential facility,,598,0,176,0,422,0,-176,false
1994,ID,Living independently,,491,690,45,21,446,669,-24,false
1994,ID,Living with essential person,,709,0,40,0,669,0,-40,false
1994,ID,Room and board facility,,526,0,80,0,446,0,-80,false
1994,ID,Adult residential care home/Adult foster care home,Level I,690,0,244,0,446,0,-244,false
1994,ID,Adult residential care home/Adult foster care home,Level II,742,0,296,0,446,0,-296,false
1994,ID,Adult residential care home/Adult foster care home,Level III,791,0,345,0,446,0,-345,false
1994,ID,Semi-independent group residential facility,,589,0,143,0,446,0,-143,false
1995,ID,Living independently,,495,696,37,9,458,687,-28,false
1995,ID,Living with essential person,,696,0,9,0,687,0,-9,false
1995,ID,Room and board facility,,530,0,72,0,458,0,-72,false
1995,ID,Adult residential care home/Adult foster care home,Level I,708,0,250,0,458,0,-250,false
1995,ID,Adult residential care home/Adult foster care home,Level II,761,0,303,0,458,0,-303,false
1995,ID,Adult residential care home/Adult foster care home,Level III,811,0,353,0,458,0,-353,false
1995,ID,Semi-independent group residential facility,,593,0,135,0,458,0,-135,false
1996,ID,Living independently or with others,,507,714,37,9,470,705,-28,false
1996,ID,Living with essential person,,714,0,9,0,705,0,-9,false
1996,ID,Room and board facility,,542,0,72,0,470,0,-72,false
1996,ID,Adult residential care home/Adult foster care home,Level I,720,0,250,0,470,0,-250,false
1996,ID,Adult residential care home/Adult foster care home,Level II,773,0,303,0,470,0,-303,false
1996,ID,Adult residential care home/Adult foster care home,Level III,823,0,353,0,470,0,-353,false
1996,ID,Semi-independent group residential facility,,605,0,135,0,470,0,-135,false
1997,ID,Living independently or with others,,532,742,48,16,484,726,-32,false
1997,ID,Living with essential person,,742,0,16,0,726,0,-16,false
1997,ID,Room and board facility,,567,0,83,0,484,0,-83,false
1997,ID,Adult residential care home/Adult foster care home,Level I,845,0,361,0,484,0,-361,false
1997,ID,Adult residential care home/Adult foster care home,Level II,912,0,0,146,912,-146,146,false
1997,ID,Adult residential care home/Adult foster care home,Level III,980,0,630,0,350,0,-630,false
1997,ID,Semi-independent group residential facility,,428,496,0,0,428,496,0,true
1998,ID,Living independently or with others,,542,758,48,17,494,741,-31,false
1998,ID,Living with essential person,,758,0,17,0,741,0,-17,false
1998,ID,Room and board facility,,597,0,103,0,494,0,-103,false
1998,ID,Adult residential care home/Adult foster care home,Level I,855,0,361,0,494,0,-361,false
1998,ID,Adult residential care home/Adult foster care home,Level II,922,0,428,0,494,0,-428,false
1998,ID,Adult residential care home/Adult foster care home,Level III,990,0,496,0,494,0,-496,false
1998,ID,Semi-independent group residential facility,,640,0,146,0,494,0,-146,false
1999,ID,Living independently or in the household of others,,548,768,48,17,500,751,-31,false
1999,ID,Living with essential person,,767,0,17,0,750,0,-17,false
1999,ID,Room and board facility,,603,0,103,0,500,0,-103,false
1999,ID,Adult residentialAdult foster care home,Level I,861,0,361,0,500,0,-361,false
1999,ID,Adult residentialAdult foster care home,Level II,928,0,428,0,500,0,-428,false
1999,ID,Adult residentialAdult foster care home,Level III,996,0,496,0,500,0,-496,false
1999,ID,Semi-independent group residential facility,,646,0,146,0,500,0,-146,false
2000,ID,Living independently or in the household of others,,565,788,53,19,512,769,-34,false
2000,ID,Living with essential person,,788,0,19,0,769,0,-19,false
2000,ID,Room and board facility,,710,0,198,0,512,0,-198,false
2000,ID,Adult residential care home/Adult foster care home,Level I,852,0,340,0,512,0,-340,false
2000,ID,Adult residential care home/Adult foster care home,Level II,919,0,407,0,512,0,-407,false
2000,ID,Adult residential care home/Adult foster care home,Level III,987,0,475,0,512,0,-475,false
2000,ID,Semi-independent group residential facility,,710,0,198,0,512,0,-198,false
2004,ID,Living independently or in the household of others,,616,866,52,20,564,846,-32,false
2004,ID,Living with essential person,,866,0,20,0,846,0,-20,false
2004,ID,Room and board facility,,761,0,197,0,564,0,-197,false
2004,ID,Residential and assisted living facility,,903,0,339,0,564,0,-339,false
2004,ID,Adult residential care home/Adult foster care home,Level I,903,0,339,0,564,0,-339,false
2004,ID,Adult residential care home/Adult foster care home,Level II,970,0,406,0,564,0,-406,false
2004,ID,Adult residential care home/Adult foster care home,Level III,1038,0,474,0,564,0,-474,false
2004,ID,Semi-independent group residential facility,,761,0,197,0,564,0,-197,false
2004,ID,Assisted living facility or certified family home,,0,0,539,0,-539,0,-539,false
2005,ID,Living independently or in the household of others,,631,889,52,20,579,869,-32,false
2005,ID,Living with essential person,,889,0,20,0,869,0,-20,false
2005,ID,Room and board facility,,776,0,197,0,579,0,-197,false
2005,ID,Adult residential care home/Adult foster care home,Level I,918,0,339,0,579,0,-339,false
2005,ID,Adult residential care home/Adult foster care home,Level II,985,0,406,0,579,0,-406,false
2005,ID,Adult residential care home/Adult foster care home,Level III,1053,0,474,0,579,0,-474,false
2005,ID,Semi-independent group residential facility,,776,0,197,0,579,0,-197,false
2006,ID,Living independently or in the household of others,,635,904,32,0,603,904,-32,false
2006,ID,Living with essential person,,905,0,0,0,905,0,0,true
2006,ID,Room and board facility,,780,0,177,0,603,0,-177,false
2006,ID,Adult residential care home/Adult foster care home,Level I,922,0,319,0,603,0,-319,false
2006,ID,Adult residential care home/Adult foster care home,Level II,989,0,386,0,603,0,-386,false
2006,ID,Adult residential care home/Adult foster care home,Level III,1056,0,453,0,603,0,-453,false
2006,ID,Semi-independent group residential facility,,780,0,177,0,603,0,-177,false
2007,ID,Living independently or in the household of others,,655,934,32,0,623,934,-32,false
2007,ID,Living with essential person,,934,0,0,0,934,0,0,true
2007,ID,Room and board facility,,800,0,177,0,623,0,-177,false
2007,ID,Adult residential care home/Adult foster care home,Level I,942,0,319,0,623,0,-319,false
2007,ID,Adult residential care home/Adult foster care home,Level II,1009,0,386,0,623,0,-386,false
2007,ID,Adult residential care home/Adult foster care home,Level III,1076,0,453,0,623,0,-453,false
2007,ID,Semi-independent group residential facility,,800,0,177,0,623,0,-177,false
2008,ID,Living independently or in the household of others,,669,956,32,0,637,956,-32,false
2008,ID,Living with essential person,,956,0,0,0,956,0,0,true
2008,ID,Room and board facility,,814,0,177,0,637,0,-177,false
2008,ID,Adult residential care home/Adult foster care home,Level I,956,0,319,0,637,0,-319,false
2008,ID,Adult residential care home/Adult foster care home,Level II,1023,0,386,0,637,0,-386,false
2008,ID,Adult residential care home/Adult foster care home,Level III,1090,0,453,0,637,0,-453,false
2008,ID,Semi-independent group residential facility,,814,0,177,0,637,0,-177,false
2011,ID,Living independently or in the household of others,,727,1031,53,20,674,1011,-33,false
2011,ID,Living with essential person,,1064,0,52,0,1012,0,-52,false
2011,ID,Room and board facility,,872,0,198,0,674,0,-198,false
2011,ID,Adult residential care home/Adult foster care home,Level I,1013,0,339,0,674,0,-339,false
2011,ID,Adult residential care home/Adult foster care home,Level II,1080,0,406,0,674,0,-406,false
2011,ID,Adult residential care home/Adult foster care home,Level III,1147,0,473,0,674,0,-473,false
2011,ID,Semi-independent group residential facility,,872,0,198,0,674,0,-198,false
