year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1991,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1992,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1994,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1995,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1996,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1997,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1998,LA,Medicaid facility,,38,76,8,16,30,60,8,true
1999,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2000,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2004,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2005,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2006,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2007,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2008,LA,Medicaid facility,,38,76,8,16,30,60,8,true
2011,LA,Medicaid facility,,38,76,8,16,30,60,8,true
