year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MA,Living independently,Aged,514.82,780.72,128.82,201.72,386.00,579.00,72.90,FALSE
1990,MA,Living independently,Blind,535.74,1071.48,149.74,492.48,386.00,579.00,342.74,FALSE
1990,MA,Living independently,Disabled,500.39,759.06,114.39,180.06,386.00,579.00,65.67,FALSE
1990,MA,Shared living expenses,Aged,425.26,780.72,39.26,201.72,386.00,579.00,162.46,FALSE
1990,MA,Shared living expenses,Blind,535.74,1071.48,149.74,492.48,386.00,579.00,342.74,FALSE
1990,MA,Shared living expenses,Disabled,416.40,759.06,30.40,180.06,386.00,579.00,149.66,FALSE
1990,MA,Living in household of another,Aged,361.70,601.80,104.36,215.80,257.34,386.00,111.44,FALSE
1990,MA,Living in household of another,Blind,535.74,1071.48,278.40,685.48,257.34,386.00,407.08,FALSE
1990,MA,Living in household of another,Disabled,344.92,580.18,87.58,194.18,257.34,386.00,106.60,FALSE
1990,MA,Licensed rest home,Aged and disabled,557.58,1084.16,171.58,505.16,386.00,579.00,333.58,FALSE
1990,MA,Licensed rest home,Blind,535.74,1071.48,149.74,492.48,386.00,579.00,342.74,FALSE
1990,MA,Medicaid facility,,72.80,145.60,42.80,85.60,30.00,60.00,42.80,TRUE
1991,MA,Living independently,Aged,535.82,811.72,128.82,201.72,407.00,610.00,72.90,FALSE
1991,MA,Living independently,Blind,556.74,1113.48,149.74,503.48,407.00,610.00,353.74,FALSE
1991,MA,Living independently,Disabled,521.39,790.06,114.39,180.06,407.00,610.00,65.67,FALSE
1991,MA,Shared living expenses,Aged,446.26,811.72,39.26,201.72,407.00,610.00,162.46,FALSE
1991,MA,Shared living expenses,Blind,556.74,1113.48,149.74,503.48,407.00,610.00,353.74,FALSE
1991,MA,Shared living expenses,Disabled,437.40,790.06,30.40,180.06,407.00,610.00,149.66,FALSE
1991,MA,Living in household of another,Aged,375.70,622.47,104.36,215.80,271.34,406.67,111.44,FALSE
1991,MA,Living in household of another,Blind,556.74,1113.47,285.40,706.80,271.34,406.67,421.40,FALSE
1991,MA,Living in household of another,Disabled,358.92,600.85,87.58,194.18,271.34,406.67,106.60,FALSE
1991,MA,Licensed rest home,Aged and disabled,700.00,1400.00,293.00,790.00,407.00,610.00,497.00,FALSE
1991,MA,Licensed rest home,Blind,556.74,1113.48,149.74,503.48,407.00,610.00,353.74,FALSE
1991,MA,Medicaid facility,,72.80,145.60,42.80,85.60,30.00,60.00,42.80,TRUE
1992,MA,Living independently,Aged,550.82,834.72,128.82,201.72,422.00,633.00,72.90,FALSE
1992,MA,Living independently,Blind,571.74,1143.48,149.74,510.48,422.00,633.00,360.74,FALSE
1992,MA,Living independently,Disabled,536.39,813.06,114.39,180.06,422.00,633.00,65.67,FALSE
1992,MA,Shared living expenses,Aged,461.26,834.72,39.26,201.72,422.00,633.00,162.46,FALSE
1992,MA,Shared living expenses,Blind,571.74,1143.48,149.74,510.48,422.00,633.00,360.74,FALSE
1992,MA,Shared living expenses,Disabled,452.40,813.06,30.40,180.06,422.00,633.00,149.66,FALSE
1992,MA,Living in household of another,Aged,385.70,637.80,104.36,215.80,281.34,422.00,111.44,FALSE
1992,MA,Living in household of another,Blind,571.74,1143.48,290.40,721.48,281.34,422.00,431.08,FALSE
1992,MA,Living in household of another,Disabled,368.92,616.18,87.58,194.18,281.34,422.00,106.60,FALSE
1992,MA,Licensed rest home,Aged and disabled,715.00,1430.00,293.00,797.00,422.00,633.00,504.00,FALSE
1992,MA,Licensed rest home,Blind,571.74,1143.48,149.74,510.48,422.00,633.00,360.74,FALSE
1992,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1994,MA,Living independently,Aged,574.82,870.72,128.82,201.72,446.00,669.00,72.90,FALSE
1994,MA,Living independently,Blind,595.74,1191.48,149.74,522.48,446.00,669.00,372.74,FALSE
1994,MA,Living independently,Disabled,560.39,849.06,114.39,180.06,446.00,669.00,65.67,FALSE
1994,MA,Shared living expenses,Aged,485.26,870.72,39.26,201.72,446.00,669.00,162.46,FALSE
1994,MA,Shared living expenses,Blind,595.74,1191.48,149.74,522.48,446.00,669.00,372.74,FALSE
1994,MA,Shared living expenses,Disabled,476.40,849.06,30.40,180.06,446.00,669.00,149.66,FALSE
1994,MA,Living in household of another,Aged,401.70,661.80,104.36,215.80,297.34,446.00,111.44,FALSE
1994,MA,Living in household of another,Blind,595.74,1191.48,298.40,745.48,297.34,446.00,447.08,FALSE
1994,MA,Living in household of another,Disabled,384.92,640.18,87.58,194.18,297.34,446.00,106.60,FALSE
1994,MA,Licensed rest home,Aged and disabled,739.00,1478.00,293.00,809.00,446.00,669.00,516.00,FALSE
1994,MA,Licensed rest home,Blind,595.74,1191.48,149.74,522.48,446.00,669.00,372.74,FALSE
1994,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1995,MA,Living independently,Aged,586.82,888.72,128.82,201.72,458.00,687.00,72.90,FALSE
1995,MA,Living independently,Blind,607.74,1215.48,149.74,528.48,458.00,687.00,378.74,FALSE
1995,MA,Living independently,Disabled,572.39,867.06,114.39,180.06,458.00,687.00,65.67,FALSE
1995,MA,Shared living expenses,Aged,497.26,888.72,39.26,201.72,458.00,687.00,162.46,FALSE
1995,MA,Shared living expenses,Blind,607.74,1215.48,149.74,528.48,458.00,687.00,378.74,FALSE
1995,MA,Shared living expenses,Disabled,488.40,867.06,30.40,180.06,458.00,687.00,149.66,FALSE
1995,MA,Living in household of another,Aged,409.70,673.80,104.36,215.80,305.34,458.00,111.44,FALSE
1995,MA,Living in household of another,Blind,607.74,1215.48,302.40,757.48,305.34,458.00,455.08,FALSE
1995,MA,Living in household of another,Disabled,392.92,652.18,87.58,194.18,305.34,458.00,106.60,FALSE
1995,MA,Licensed rest home,Aged and disabled,751.00,1502.00,293.00,815.00,458.00,687.00,522.00,FALSE
1995,MA,Licensed rest home,Blind,607.74,1215.48,149.74,528.48,458.00,687.00,378.74,FALSE
1995,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1995,MA,Assisted living,,912.00,1368.00,454.00,681.00,458.00,687.00,227.00,FALSE
1996,MA,Living independently,Aged,596.32,901.72,126.32,196.72,470.00,705.00,70.40,FALSE
1996,MA,Living independently,Blind,619.74,1239.48,149.74,534.48,470.00,705.00,384.74,FALSE
1996,MA,Living independently,Disabled,581.89,880.06,111.89,175.06,470.00,705.00,63.17,FALSE
1996,MA,Shared living expenses,Aged,506.76,901.72,36.76,196.72,470.00,705.00,159.96,FALSE
1996,MA,Shared living expenses,Blind,619.74,1239.48,149.74,534.48,470.00,705.00,384.74,FALSE
1996,MA,Shared living expenses,Disabled,497.90,880.06,27.90,175.06,470.00,705.00,147.16,FALSE
1996,MA,Living in household of another,Aged,415.20,680.80,101.86,210.80,313.34,470.00,108.94,FALSE
1996,MA,Living in household of another,Blind,621.74,1239.48,308.40,769.48,313.34,470.00,461.08,FALSE
1996,MA,Living in household of another,Disabled,398.42,659.18,85.08,189.18,313.34,470.00,104.10,FALSE
1996,MA,Licensed rest home,Aged and disabled,763.00,1526.00,293.00,821.00,470.00,705.00,528.00,FALSE
1996,MA,Licensed rest home,Blind,619.74,1239.48,149.74,534.48,470.00,705.00,384.74,FALSE
1996,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1997,MA,Living independently,Aged,610.32,922.72,126.32,196.72,484.00,726.00,70.40,FALSE
1997,MA,Living independently,Blind,633.74,1267.48,149.74,541.48,484.00,726.00,391.74,FALSE
1997,MA,Living independently,Disabled,595.89,901.06,111.89,175.06,484.00,726.00,63.17,FALSE
1997,MA,Shared living expenses,Aged,520.76,922.72,36.76,196.72,484.00,726.00,159.96,FALSE
1997,MA,Shared living expenses,Blind,633.74,1267.48,149.74,541.48,484.00,726.00,391.74,FALSE
1997,MA,Shared living expenses,Disabled,511.90,901.06,27.90,175.06,484.00,726.00,147.16,FALSE
1997,MA,Living in household of another,Aged,424.53,694.80,101.86,210.80,322.67,484.00,108.94,FALSE
1997,MA,Living in household of another,Blind,633.74,1267.48,311.07,783.48,322.67,484.00,472.41,FALSE
1997,MA,Living in household of another,Disabled,407.75,673.18,85.08,189.18,322.67,484.00,104.10,FALSE
1997,MA,Licensed rest home,Aged and disabled,777.00,1554.00,293.00,828.00,484.00,726.00,535.00,FALSE
1997,MA,Licensed rest home,Blind,633.74,1267.48,149.74,541.48,484.00,726.00,391.74,FALSE
1997,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1998,MA,Living independently,Aged,622.82,942.72,128.82,201.72,494.00,741.00,72.90,FALSE
1998,MA,Living independently,Blind,643.74,1287.48,149.74,546.48,494.00,741.00,396.74,FALSE
1998,MA,Living independently,Disabled,608.39,921.06,114.39,180.06,494.00,741.00,65.67,FALSE
1998,MA,Shared living expenses,Aged,533.26,942.72,39.26,104.36,494.00,838.36,65.10,FALSE
1998,MA,Shared living expenses,Blind,643.74,1287.48,149.74,314.40,494.00,973.08,164.66,FALSE
1998,MA,Shared living expenses,Disabled,524.40,921.06,30.40,87.58,494.00,833.48,57.18,FALSE
1998,MA,Living in household of another,Aged,433.70,709.80,201.72,215.80,231.98,494.00,14.08,FALSE
1998,MA,Living in household of another,Blind,643.74,1287.48,546.48,793.48,97.26,494.00,247.00,FALSE
1998,MA,Living in household of another,Disabled,416.92,688.18,180.06,194.18,236.86,494.00,14.12,FALSE
1998,MA,Licensed rest home,Aged and disabled,787.00,1574.00,293.00,833.00,494.00,741.00,540.00,FALSE
1998,MA,Licensed rest home,Blind,643.74,1287.48,149.74,546.48,494.00,741.00,396.74,FALSE
1998,MA,Medicaid facility,,65.00,130.00,35.00,70.00,30.00,60.00,35.00,TRUE
1999,MA,Living independently,Aged,628.82,952.72,128.82,201.72,500.00,751.00,72.90,FALSE
1999,MA,Living independently,Blind,649.74,1299.48,149.74,548.48,500.00,751.00,398.74,FALSE
1999,MA,Living independently,Disabled,614.39,931.06,114.39,180.06,500.00,751.00,65.67,FALSE
1999,MA,Shared living expenses,Aged,539.26,952.72,39.26,201.72,500.00,751.00,162.46,FALSE
1999,MA,Shared living expenses,Blind,649.74,1299.48,149.74,548.48,500.00,751.00,398.74,FALSE
1999,MA,Shared living expenses,Disabled,530.40,931.06,30.40,180.06,500.00,751.00,149.66,FALSE
1999,MA,Living in household of another,Aged,437.70,716.48,104.36,215.81,333.34,500.67,111.45,FALSE
1999,MA,Living in household of another,Blind,649.74,1299.48,316.40,798.81,333.34,500.67,482.41,FALSE
1999,MA,Living in household of another,Disabled,420.92,694.86,87.58,194.19,333.34,500.67,106.61,FALSE
