year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MD,Care Home,Minimal supervision,457.75,0,71.75,0,386,0,-71.75,false
1990,MD,Care Home,General supervision,584.75,0,198.75,0,386,0,-198.75,false
1990,MD,Care Home,Special services,1063.75,0,677.75,0,386,0,-677.75,false
1990,MD,DOMCARE,,604.75,0,218.75,0,386,0,-218.75,false
1991,MD,Care Home,Minimal supervision,480,0,73,0,407,0,-73,false
1991,MD,Care Home,Moderate supervision,613,0,206,0,407,0,-206,false
1991,MD,Care Home,Extensive supervision,865,0,458,0,407,0,-458,false
1991,MD,Care Home,Specialized and intensive services,1116,0,709,0,407,0,-709,false
1991,MD,DOMCARE,,654,0,247,0,407,0,-247,false
1992,MD,Care Home,Minimal supervision,500,0,78,0,422,0,-78,false
1992,MD,Care Home,Moderate supervision,633,0,211,0,422,0,-211,false
1992,MD,Care Home,Extensive supervision,885,0,463,0,422,0,-463,false
1992,MD,Care Home,Specialized and intensive services,1136,0,714,0,422,0,-714,false
1992,MD,DOMCARE,,654,0,232,0,422,0,-232,false
1994,MD,Care Home,Minimal supervision,512,0,66,0,446,0,-66,false
1994,MD,Care Home,Moderate supervision,633,0,187,0,446,0,-187,false
1994,MD,Care Home,Extensive supervision,909,0,463,0,446,0,-463,false
1994,MD,Care Home,Specialized and intensive services,1136,0,690,0,446,0,-690,false
1994,MD,DOMCARE,,654,0,208,0,446,0,-208,false
1995,MD,Care Home,Minimal supervision,524,0,66,0,458,0,-66,false
1995,MD,Care Home,Moderate supervision,633,0,175,0,458,0,-175,false
1995,MD,Care Home,Extensive supervision,921,0,463,0,458,0,-463,false
1995,MD,Care Home,Specialized and intensive services,1136,0,678,0,458,0,-678,false
1995,MD,DOMCARE,,654,0,196,0,458,0,-196,false
1996,MD,Care Home,Minimal supervision,536,0,66,0,470,0,-66,false
1996,MD,Care Home,Moderate supervision,645,0,175,0,470,0,-175,false
1996,MD,Care Home,Extensive supervision,933,0,463,0,470,0,-463,false
1996,MD,Care Home,Specialized and intensive services,1136,0,666,0,470,0,-666,false
1996,MD,DOMCARE,,654,0,184,0,470,0,-184,false
1997,MD,Care Home,Minimal supervision,550,0,66,0,484,0,-66,false
1997,MD,Care Home,Moderate supervision,659,0,175,0,484,0,-175,false
1997,MD,Care Home,Extensive supervision,947,0,463,0,484,0,-463,false
1997,MD,Care Home,Specialized and intensive services,1150,0,666,0,484,0,-666,false
1997,MD,DOMCARE,,654,0,170,0,484,0,-170,false
1998,MD,Care Home,Minimal supervision,560,0,66,0,494,0,-66,false
1998,MD,Care Home,Moderate supervision,669,0,175,0,494,0,-175,false
1998,MD,Care Home,Extensive supervision,957,0,463,0,494,0,-463,false
1998,MD,Care Home,Specialized and intensive services,1160,0,666,0,494,0,-666,false
1998,MD,DOMCARE,,678,0,184,0,494,0,-184,false
1999,MD,Care Home,Minimal supervision,566,0,66,0,500,0,-66,false
1999,MD,Care Home,Moderate supervision,675,0,175,0,500,0,-175,false
1999,MD,Care Home,Extensive supervision,963,0,463,0,500,0,-463,false
