year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,ME,Living alone or with others,,396.00,594.00,10.00,15.00,386.00,584.00,5.00,FALSE
1990,ME,Living in the household of another,,265.34,398.00,8.00,12.00,257.34,390.00,4.00,FALSE
1990,ME,Foster home,,450.00,875.00,64.00,296.00,386.00,811.00,232.00,FALSE
1990,ME,Flat rate boarding home,,570.00,1104.00,184.00,525.00,386.00,920.00,341.00,FALSE
1990,ME,Cost reimbursement boarding home,,620.00,1223.00,234.00,644.00,386.00,989.00,410.00,FALSE
1990,ME,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,70.00,10.00,TRUE
1991,ME,Living alone or with others,,417.00,625.00,10.00,15.00,407.00,615.00,5.00,FALSE
1991,ME,Living in the household of another,,279.34,418.67,8.00,12.00,271.34,410.67,4.00,FALSE
1991,ME,Foster home,,471.00,906.00,64.00,296.00,407.00,842.00,232.00,FALSE
1991,ME,Flat rate boarding home,,599.00,1143.00,192.00,533.00,407.00,951.00,341.00,FALSE
1991,ME,Cost reimbursement boarding home,,641.00,1254.00,234.00,644.00,407.00,1020.00,410.00,FALSE
1991,ME,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,70.00,10.00,TRUE
1992,ME,Living alone or with others,,432.00,648.00,10.00,15.00,422.00,638.00,5.00,FALSE
1992,ME,Living in the household of another,,289.34,434.00,8.00,12.00,281.34,426.00,4.00,FALSE
1992,ME,Foster home,,486.00,929.00,64.00,296.00,422.00,865.00,232.00,FALSE
1992,ME,Flat rate boarding home,,654.00,1246.00,232.00,613.00,422.00,1014.00,381.00,FALSE
1992,ME,Cost reimbursement boarding home,,656.00,1277.00,234.00,644.00,422.00,1043.00,410.00,FALSE
1992,ME,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,70.00,10.00,TRUE
1994,ME,Living alone or with others,,456.00,684.00,10.00,15.00,446.00,674.00,5.00,FALSE
1994,ME,Living in the household of another,,305.34,458.00,8.00,12.00,297.34,450.00,4.00,FALSE
1994,ME,Foster home,,495.00,942.00,49.00,273.00,446.00,893.00,224.00,FALSE
1994,ME,Flat rate boarding home,,663.00,1259.00,217.00,590.00,446.00,1042.00,373.00,FALSE
1994,ME,Cost reimbursement boarding home,,665.00,1290.00,219.00,621.00,446.00,1071.00,402.00,FALSE
1994,ME,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,70.00,10.00,TRUE
1995,ME,Living alone or with others,,468.00,702.00,10.00,15.00,458.00,692.00,5.00,FALSE
1995,ME,Living in the household of another,,313.34,470.00,8.00,12.00,305.34,462.00,4.00,FALSE
1995,ME,Foster home,,507.00,960.00,49.00,273.00,458.00,911.00,224.00,FALSE
