year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MN,Living independently,,461.00,667.00,75.00,88.00,386.00,579.00,13.00,FALSE
1990,MN,Living in household of another,,316.67,544.66,59.33,158.66,257.34,386.00,99.33,FALSE
1990,MN,Nonmedicalgroup residential facility,,386.00,0.00,0.00,0.00,386.00,0.00,0.00,TRUE
1990,MN,Medicaid facility,,49.00,98.00,19.00,38.00,30.00,60.00,19.00,TRUE
1991,MN,Living independently,,488.00,742.00,81.00,132.00,407.00,610.00,51.00,FALSE
1991,MN,Living in household of another,,381.34,742.67,110.00,336.00,271.34,406.67,226.00,FALSE
1991,MN,"Nonmedical, group residential facility",,407.00,0.00,0.00,0.00,407.00,0.00,0.00,TRUE
1991,MN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
1992,MN,Living independently,,503.00,762.00,81.00,129.00,422.00,633.00,48.00,FALSE
1992,MN,Living in household of another,,391.34,762.00,110.00,340.00,281.34,422.00,230.00,FALSE
1992,MN,Nonmedical group residential facility,,422.00,0.00,0.00,0.00,422.00,0.00,0.00,TRUE
1992,MN,Medicaid facility,,54.00,108.00,24.00,48.00,30.00,60.00,24.00,TRUE
1994,MN,Living independently,Entitlement prior to 1994,527.00,795.00,81.00,126.00,446.00,669.00,45.00,FALSE
1994,MN,Living independently,Entitlement 1994 or later,527.00,780.00,81.00,111.00,446.00,669.00,30.00,FALSE
1994,MN,Living in household of another,Entitlement prior to 1994,407.34,790.00,110.00,344.00,297.34,446.00,234.00,FALSE
1994,MN,Living in household of another,Entitlement 1994 or later,407.34,527.00,110.00,81.00,297.34,446.00,-29.00,FALSE
1994,MN,Nonmedical group residential facility,,879.73,0.00,433.73,0.00,446.00,0.00,-433.73,FALSE
1994,MN,Medicaid facility,,57.00,114.00,27.00,54.00,30.00,60.00,27.00,TRUE
1995,MN,Living independently,Entitlement prior to 1994,539.00,813.00,81.00,126.00,458.00,687.00,45.00,FALSE
1995,MN,Living independently,Entitlement 1994 or later,539.00,798.00,81.00,111.00,458.00,687.00,30.00,FALSE
1995,MN,Living in household of another,Entitlement prior to 1994,415.34,802.00,110.00,344.00,305.34,458.00,234.00,FALSE
1995,MN,Living in household of another,Entitlement 1994 or later,415.34,539.00,110.00,81.00,305.34,458.00,-29.00,FALSE
1995,MN,Nonmedical group residential facility,Entitlement 1994 or later,987.73,0.00,421.37,0.00,566.36,0.00,-421.37,FALSE
1995,MN,Medicaid facility,,59.00,118.00,29.00,58.00,30.00,60.00,29.00,TRUE
1996,MN,Living independently,Entitlement prior to 1994,551.00,831.00,81.00,126.00,470.00,705.00,45.00,FALSE
1996,MN,Living independently,Entitlement 1994 or later,551.00,816.00,81.00,111.00,470.00,705.00,30.00,FALSE
1996,MN,Living in household of another,Entitlement prior to 1994,423.34,814.00,110.00,344.00,313.34,470.00,234.00,FALSE
1996,MN,Living in household of another,Entitlement 1994 or later,423.34,551.00,110.00,81.00,313.34,470.00,-29.00,FALSE
1996,MN,Nonmedical group residential facility,Entitlement 1994 or later,1153.37,0.00,683.37,0.00,470.00,0.00,-683.37,FALSE
1996,MN,Medicaid facility,,61.00,122.00,31.00,62.00,30.00,60.00,31.00,TRUE
1997,MN,Living independently,Entitlement prior to 1994,565.00,852.00,81.00,126.00,484.00,726.00,45.00,FALSE
1997,MN,Living independently,Entitlement 1994 or later,565.00,837.00,81.00,111.00,484.00,726.00,30.00,FALSE
1997,MN,Living in household of another,Entitlement prior to 1994,432.67,828.00,110.00,344.00,322.67,484.00,234.00,FALSE
1997,MN,Living in household of another,Entitlement 1994 or later,432.67,565.00,110.00,81.00,322.67,484.00,-29.00,FALSE
1997,MN,Nonmedicalgroup residential facility,,1178.37,0.00,694.37,0.00,484.00,0.00,-694.37,FALSE
1997,MN,Medicaid facility,,63.00,126.00,33.00,66.00,30.00,60.00,33.00,TRUE
1998,MN,Living independently,Entitlement prior to 1994,575.00,867.00,81.00,126.00,494.00,741.00,45.00,FALSE
1998,MN,Living independently,Entitlement 1994 or later,575.00,852.00,81.00,111.00,494.00,741.00,30.00,FALSE
1998,MN,Living in household of another,Entitlement prior to 1994,439.34,838.00,110.00,344.00,329.34,494.00,234.00,FALSE
1998,MN,Living in household of another,Entitlement 1994 or later,439.34,575.00,110.00,81.00,329.34,494.00,-29.00,FALSE
1998,MN,Nonmedicalgroup residential facility,,1192.37,0.00,698.37,0.00,494.00,0.00,-698.37,FALSE
1998,MN,Medicaid facility,,64.00,128.00,34.00,68.00,30.00,60.00,34.00,TRUE
