year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MO,Licensed residential-care facility,I,532.00,871.00,146.00,292.00,386.00,579.00,146.00,TRUE
1990,MO,Licensed residential-care facility,II,659.00,1125.00,273.00,546.00,386.00,579.00,273.00,TRUE
1990,MO,Licensed intermediate care or skilled nursing home,,750.00,1307.00,364.00,728.00,386.00,579.00,364.00,TRUE
1990,MO,Aid to the blind,,0.00,0.00,297.00,594.00,-297.00,-594.00,297.00,TRUE
1991,MO,Licensed residential-care facility,II,555.00,906.00,148.00,296.00,407.00,610.00,148.00,TRUE
1991,MO,Licensed residential-care facility,II,683.00,1162.00,276.00,552.00,407.00,610.00,276.00,TRUE
1991,MO,Licensed intermediate care or skilled nursing home,,775.00,1346.00,368.00,736.00,407.00,610.00,368.00,TRUE
1991,MO,Aid to the blind,,0.00,0.00,300.00,600.00,-300.00,-600.00,300.00,TRUE
1992,MO,Licensed residential-care facility,I,570.00,929.00,148.00,296.00,422.00,633.00,148.00,TRUE
1992,MO,Licensed residential-care facility,II,698.00,1185.00,276.00,552.00,422.00,633.00,276.00,TRUE
1992,MO,Licensed intermediate care or skilled nursing home,,790.00,1369.00,368.00,736.00,422.00,633.00,368.00,TRUE
1992,MO,Aid to the blind,,0.00,0.00,322.00,644.00,-322.00,-644.00,322.00,TRUE
1994,MO,Licensed residential-care facility,I,594.00,965.00,148.00,296.00,446.00,669.00,148.00,TRUE
1994,MO,Licensed residential-care facility,II,722.00,1221.00,276.00,552.00,446.00,669.00,276.00,TRUE
1994,MO,Licensed intermediate care or skilled nursing home,,814.00,1405.00,368.00,736.00,446.00,669.00,368.00,TRUE
1994,MO,Aid to the blind,,0.00,0.00,322.00,644.00,-322.00,-644.00,322.00,TRUE
1995,MO,Licensed residential-care facility,I,606.00,983.00,148.00,296.00,458.00,687.00,148.00,TRUE
1995,MO,Licensed residential-care facility,II,734.00,1239.00,276.00,552.00,458.00,687.00,276.00,TRUE
1995,MO,Licensed intermediate care or skilled nursing home,,826.00,1423.00,368.00,736.00,458.00,687.00,368.00,TRUE
1995,MO,Aid to the blind,,0.00,0.00,373.00,746.00,-373.00,-746.00,373.00,TRUE
1996,MO,Licensed residential-care facility,I,618.00,1001.00,148.00,296.00,470.00,705.00,148.00,TRUE
1996,MO,Licensed residential-care facility,II,746.00,1257.00,276.00,552.00,470.00,705.00,276.00,TRUE
1996,MO,Licensed intermediate care or skilled nursing home,,838.00,1441.00,368.00,736.00,470.00,705.00,368.00,TRUE
1996,MO,Aid to the blind,,0.00,0.00,373.00,746.00,-373.00,-746.00,373.00,TRUE
1997,MO,Licensed residential-care facility,I,635.00,1028.00,151.00,302.00,484.00,726.00,151.00,TRUE
1997,MO,Licensed residential-care facility,II,766.00,1290.00,282.00,564.00,484.00,726.00,282.00,TRUE
1997,MO,Licensed intermediate care or skilled nursing home,,859.00,1476.00,375.00,750.00,484.00,726.00,375.00,TRUE
1997,MO,Aid to the blind,,0.00,0.00,373.00,746.00,-373.00,-746.00,373.00,TRUE
1998,MO,Licensed residential-care facility,I,645.00,1043.00,151.00,302.00,494.00,741.00,151.00,TRUE
1998,MO,Licensed residential-care facility,II,776.00,1305.00,282.00,564.00,494.00,741.00,282.00,TRUE
1998,MO,Licensed intermediate care or skilled nursing home,,869.00,1491.00,375.00,750.00,494.00,741.00,375.00,TRUE
1998,MO,Aid to the blind,,0.00,0.00,373.00,746.00,-373.00,-746.00,373.00,TRUE
1999,MO,Licensed residential care facility,I,654.00,1059.00,154.00,308.00,500.00,751.00,154.00,TRUE
1999,MO,Licensed residential care facility,II,788.00,1327.00,288.00,576.00,500.00,751.00,288.00,TRUE
1999,MO,Licensed intermediate care or skilled nursing home,,883.00,1517.00,383.00,766.00,500.00,751.00,383.00,TRUE
1999,MO,Aid to the blind,,0.00,0.00,383.00,766.00,-383.00,-766.00,383.00,TRUE
2000,MO,Licensed residential care facility,I,666.00,1077.00,154.00,308.00,512.00,769.00,154.00,TRUE
2000,MO,Licensed residential care facility,II,800.00,1345.00,288.00,576.00,512.00,769.00,288.00,TRUE
2000,MO,Licensed intermediate care or skilled nursing home,,895.00,1535.00,383.00,766.00,512.00,769.00,383.00,TRUE
2000,MO,Aid to the blind,,0.00,0.00,391.00,782.00,-391.00,-782.00,391.00,TRUE
2004,MO,Licensed residential care facility,I,720.00,1158.00,156.00,312.00,564.00,846.00,156.00,TRUE
2004,MO,Licensed residential care facility,II,856.00,1430.00,292.00,584.00,564.00,846.00,292.00,TRUE
2004,MO,Licensed intermediate care or skilled nursing home,,954.00,1626.00,390.00,780.00,564.00,846.00,390.00,TRUE
2004,MO,Aid to the blind,,1034.00,1786.00,470.00,940.00,564.00,846.00,470.00,TRUE
2005,MO,Licensed residential care facility,I,735.00,1181.00,156.00,312.00,579.00,869.00,156.00,TRUE
2005,MO,Licensed residential care facility,II,871.00,1453.00,292.00,584.00,579.00,869.00,292.00,TRUE
2005,MO,Licensed intermediate care or skilled nursing home,,969.00,1649.00,390.00,780.00,579.00,869.00,390.00,TRUE
2005,MO,Aid to the blind,,1058.00,1827.00,479.00,958.00,579.00,869.00,479.00,TRUE
2006,MO,Licensed residential care facility,I,759.00,1216.00,156.00,312.00,603.00,904.00,156.00,TRUE
2006,MO,Licensed residential care facility,II,895.00,1488.00,292.00,584.00,603.00,904.00,292.00,TRUE
2006,MO,Licensed intermediate care or skilled nursing home,,933.00,1684.00,390.00,780.00,543.00,904.00,390.00,TRUE
2006,MO,Aid to the blind,,510.00,1020.00,0.00,0.00,510.00,1020.00,0.00,TRUE
2007,MO,Licensed residential care facility,I,779.00,1246.00,156.00,312.00,623.00,934.00,156.00,TRUE
2007,MO,Licensed residential care facility,II,915.00,1518.00,292.00,584.00,623.00,934.00,292.00,TRUE
2007,MO,Licensed intermediate care or skilled nursing home,,1013.00,1714.00,390.00,780.00,623.00,934.00,390.00,TRUE
2007,MO,Aid to the blind,,510.00,1020.00,0.00,0.00,510.00,1020.00,0.00,TRUE
2008,MO,Licensed residential care facility,I,793.00,1268.00,156.00,312.00,637.00,956.00,156.00,TRUE
2008,MO,Licensed residential care facility,II,929.00,1540.00,292.00,584.00,637.00,956.00,292.00,TRUE
2008,MO,Licensed intermediate care or skilled nursing home,,1027.00,1736.00,390.00,780.00,637.00,956.00,390.00,TRUE
2008,MO,Aid to the blind,,510.00,1020.00,0.00,0.00,510.00,1020.00,0.00,TRUE
2011,MO,Licensed residential care facility,I,830.00,1323.00,156.00,312.00,674.00,1011.00,156.00,TRUE
2011,MO,Licensed residential care facility,II,966.00,1595.00,292.00,584.00,674.00,1011.00,292.00,TRUE
2011,MO,Licensed intermediate care or skilled nursing home,,1064.00,1791.00,390.00,780.00,674.00,1011.00,390.00,TRUE
2011,MO,Aid to the blind,,510.00,1020.00,0.00,0.00,510.00,1020.00,0.00,TRUE
