year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NC,Domiciliary care,(Ambulatory),724,1135,338,556,386,579,218,false
1990,NC,Domiciliary care,(Semi-ambulatory),760,1171,374,592,386,579,218,false
1990,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1990,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1991,NC,Domiciliary care,(Ambulatory),756,1188,349,578,407,610,229,false
1991,NC,Domiciliary care,(Semi-ambulatory),793,1225,386,615,407,610,229,false
1991,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1991,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1992,NC,Domiciliary care,(Ambulatory),832,1279,410,646,422,633,236,false
1992,NC,Domiciliary care,(Semi-ambulatory),871,1318,449,685,422,633,236,false
1992,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1992,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1994,NC,Domiciliary care,(Ambulatory),965,1411,519,742,446,669,223,false
1994,NC,Domiciliary care,(Semi-ambulatory),1006,1452,560,783,446,669,223,false
1994,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1994,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1995,NC,Domiciliary care,(Ambulatory),1006,1464,548,777,458,687,229,false
1995,NC,Domiciliary care,(Semi-ambulatory),1048,1506,590,819,458,687,229,false
1995,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1995,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1996,NC,Adult Care Home,Basic,875,1314,405,609,470,705,204,false
1996,NC,Adult Care Home,Disenfranchised-ambulatory,1006,1476,536,771,470,705,235,false
1996,NC,Adult Care Home,Disenfranchised-semi-ambulatory,1017,1487,547,782,470,705,235,false
1996,NC,Blind ineligible for SSI,Not paying shelter/utilities,0,0,97,194,-97,-194,97,true
1996,NC,Blind ineligible for SSI,Paying shelter/utilities,0,0,146,243,-146,-243,97,false
1997,NC,Adult Care Home,Basic,905,0,421,0,484,0,-421,false
1997,NC,Adult Care Home,Disenfranchised-ambulatory,1006,0,522,0,484,0,-522,false
