year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NE,Living independently,,423.5,644,37.5,65,386,579,27.5,false
1990,NE,Living with an essential person,,644,0,65,0,579,0,-65,false
1990,NE,Room and board facility,,389.5,770,3.5,191,386,579,187.5,false
1990,NE,Licensed domiciliary facility,,471.5,934,85.5,355,386,579,269.5,false
1990,NE,Certified adult family home,,466.5,924,80.5,345,386,579,264.5,false
1990,NE,Licensed residential-care facility,,496.5,984,110.5,405,386,579,294.5,false
1990,NE,Licensed group home for children or child caring agency,,466.5,0,80.5,0,386,0,-80.5,false
1990,NE,Center for developmentally disabled,,444.5,0,58.5,0,386,0,-58.5,false
1990,NE,Medicaid facility,,35,70,5,10,30,60,5,true
1991,NE,Living independently,,431,644,24,34,407,610,10,false
1991,NE,Living with an essential person,,644,0,33,0,611,0,-33,false
1991,NE,Room and board facility,,387,774,115.66,367.33,271.34000000000003,406.67,251.67,false
1991,NE,Licensed domiciliary facility,,479,958,72,348,407,610,276,false
1991,NE,Certified adult family home,,474,948,67,338,407,610,271,false
1991,NE,Licensed residential-care facility,,514,1028,107,418,407,610,311,false
1991,NE,Licensed group home for children or child caring agency,,474,0,67,0,407,0,-67,false
1991,NE,Center for developmentally disabled,,437,0,30,0,407,0,-30,false
1991,NE,Medicaid facility,,35,70,5,10,30,60,5,true
1992,NE,Living independently,,452,681,30,48,422,633,18,false
1992,NE,Living with an essential person,,681,0,48,0,633,0,-48,false
1992,NE,Room and board facility,,403,806,121.66,384,281.34000000000003,422,262.34000000000003,false
1992,NE,Licensed domiciliary facility,,505,1010,83,377,422,633,294,false
1992,NE,Certified adult family home,,500,1000,78,367,422,633,289,false
1992,NE,Licensed residential-care facility,,545,1090,123,457,422,633,334,false
1992,NE,Licensed group home for children or child caring agency,,490,0,68,0,422,0,-68,false
1992,NE,Center for developmentally disabled,,453,0,31,0,422,0,-31,false
1992,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1994,NE,Living independently,,467,709,21,40,446,669,19,false
1994,NE,Living with an essential person,,709,0,40,0,669,0,-40,false
1994,NE,Room and board facility,,408,816,110.66,370,297.34000000000003,446,259.34000000000003,false
1994,NE,Licensed domiciliary facility,,570,1140,124,471,446,669,347,false
1994,NE,Certified adult family home,,565,1130,119,461,446,669,342,false
1994,NE,Licensed residential-care facility,,625,1250,179,581,446,669,402,false
1994,NE,Licensed group home for children or child caring agency,,550,0,104,0,446,0,-104,false
1994,NE,Center for developmentally disabled,,458,0,12,0,446,0,-12,false
1994,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1995,NE,Living independently,,477,709,19,22,458,687,3,false
1995,NE,Living with an essential person,,709,0,22,0,687,0,-22,false
1995,NE,Room and board facility,,413,826,107.66,368,305.34000000000003,458,260.34000000000003,false
1995,NE,Licensed domiciliary facility,,600,1200,142,513,458,687,371,false
1995,NE,Certified adult family home,,575,1150,117,463,458,687,346,false
1995,NE,Licensed residential-care facility,,660,1320,202,633,458,687,431,false
1995,NE,Licensed group home for children or child caring agency,,560,0,102,0,458,0,-102,false
1995,NE,Center for developmentally disabled,,468,0,10,0,458,0,-10,false
1995,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1996,NE,Living independently,,482,719,12,14,470,705,2,false
1996,NE,Living with an essential person,,719,0,14,0,705,0,-14,false
1996,NE,Room and board facility,,413,826,99.66,356,313.34000000000003,470,256.34000000000003,false
1996,NE,Licensed domiciliary facility,,640,1280,170,575,470,705,405,false
1996,NE,Certified adult family home,,600,1200,130,495,470,705,365,false
1996,NE,Licensed residential-care facility,,710,1420,240,715,470,705,475,false
1996,NE,Licensed group home for children or child caring agency,,560,0,90,0,470,0,-90,false
1996,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1997,NE,Living independently,,492,729,8,3,484,726,-5,false
1997,NE,Living with an essential person,,729,0,3,0,726,0,-3,false
1997,NE,Room and board facility,,423,846,100.33,362,322.67,484,261.67,false
1997,NE,Licensed domiciliary facility,,655,1310,171,584,484,726,413,false
1997,NE,Certified adult family home,,615,1230,131,504,484,726,373,false
1997,NE,Licensed residential-care facility,,730,1460,246,734,484,726,488,false
1997,NE,Licensed group home for children or child caring agency,,575,0,91,0,484,0,-91,false
1997,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1998,NE,Living independently,,502,839,8,98,494,741,90,false
1998,NE,Living with an essential person,,839,0,98,0,741,0,-98,false
1998,NE,Room and board facility,,429.67,856,100.33,362,329.34000000000003,494,261.67,false
1998,NE,Certified adult family home,,625,1245,131,504,494,741,373,false
1998,NE,Licensed assisted living facility,,740,1480,246,739,494,741,493,false
1998,NE,Licensed group home for children or child caring agency,,585,0,91,0,494,0,-91,false
1998,NE,Medicaid facility,,40,80,10,20,30,60,10,true
1999,NE,Living independently,,527,764,27,13,500,751,-14,false
1999,NE,Living with an essential person,,764,0,14,0,750,0,-14,false
1999,NE,Room and board facility,,463,886,129.66,385.33,333.34000000000003,500.67,255.67,false
1999,NE,Certified adult family home,,665,1330,165,579,500,751,414,false
1999,NE,Licensed assisted living facility,,790,1580,290,829,500,751,539,false
1999,NE,Licensed group home for children or child caring agency,,630,0,130,0,500,0,-130,false
1999,NE,Medicaid facility,,40,80,10,20,30,60,10,true
2000,NE,Living independently,,519,769,7,0,512,769,-7,false
2000,NE,Living with an essential person,,782,0,13,0,769,0,-13,false
2000,NE,Room and board facility,,455.34,890,114,377.33,341.34,512.6700000000001,263.33,false
2000,NE,Certified adult family home,,657,1354,145,585,512,769,440,false
2000,NE,Licensed assisted living facility,,782,1564,270,795,512,769,525,false
2000,NE,Licensed group home for children or child caring agency,,622,0,110,0,512,0,-110,false
2000,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2004,NE,Living independently,,576,857,12,11,564,846,-1,false
2004,NE,Room and board facility,,499,798,123,234,376,564,111,false
2004,NE,Adult family home,,730,1460,166,614,564,846,448,false
2004,NE,Licensed center for developmentally disabled,,1010,2020,446,1174,564,846,728,false
2004,NE,Licensed group home for children or child caring agency,,666,0,102,0,564,0,-102,false
2004,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2005,NE,Living independently,,588,874,9,5,579,869,-4,false
2005,NE,Room and board facility,,506,722.34,120,143,386,579.34,23,false
2005,NE,Adult family home,,737,1474,158,605,579,869,447,false
2005,NE,Licensed center for developmentally disabled,,1576,2152,997,1283,579,869,286,false
2005,NE,Licensed group home for children or child caring agency,,673,0,94,0,579,0,-94,false
2005,NE,Assisted living facility,,1017,2034,438,1165,579,869,727,false
2005,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2006,NE,Living independently,,603,904,0,0,603,904,0,true
2006,NE,Room and board facility,,520,1040,118,136,402,904,18,false
2006,NE,Adult family home,,751,1502,148,598,603,904,450,false
2006,NE,Licensed center for developmentally disabled,,590,1180,188,276,402,904,88,false
2006,NE,Licensed group home for children or child caring agency,,687,0,84,0,603,0,-84,false
2006,NE,Assisted living facility,,1031,2062,428,1158,603,904,730,false
2006,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2007,NE,Living independently,,632,935,9,1,623,934,-8,false
2007,NE,Room and board facility,,530,1060,114.66,437.33,415.34000000000003,622.6700000000001,322.66999999999996,false
2007,NE,Adult family home,,761,1522,138,588,623,934,450,false
2007,NE,Licensed center for developmentally disabled,,600,1200.67,184.66,266,415.34000000000003,934.6700000000001,81.34,false
2007,NE,Licensed group home for children or child caring agency,,697,0,74,0,623,0,-74,false
2007,NE,Assisted living facility,,1061,2122,438,1188,623,934,750,false
2007,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2008,NE,Living independently,,644,960,7,4,637,956,-3,false
2008,NE,Room and board facility,,522.67,759.34,98,122,424.66999999999996,637.34,24,false
2008,NE,Adult family home,,770,1540,133,584,637,956,451,false
2008,NE,Licensed center for developmentally disabled,,424.67,1274,0,318,424.67,956,318,false
2008,NE,Licensed group home for children or child caring agency,,706,0,69,0,637,0,-69,false
2008,NE,Assisted living facility,,1070,2122,433,1166,637,956,733,false
2008,NE,Medicaid facility,,50,100,20,40,30,60,20,true
2011,NE,Living independently,,679,1011,5,0,674,1011,-5,false
2011,NE,Room and board facility,,674,1348,0,337,674,1011,337,false
2011,NE,Adult family home,,802,1604,128,593,674,1011,465,false
2011,NE,Licensed center for developmentally disabled,,674,1348,0,337,674,1011,337,false
2011,NE,Licensed group home for children or child caring agency,,738,0,64,0,674,0,-64,false
2011,NE,Assisted living facility,,1112,2224,438,1213,674,1011,775,false
2011,NE,Medicaid facility,,50,100,20,40,30,60,20,true
