year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NJ,Licensed residential facility,,536.05,1053.36,150.05,474.36,385.99999999999994,578.9999999999999,324.31,false
1990,NJ,Living alone or with others,,417.25,604.36,31.25,25.36,386,579,-5.890000000000001,false
1990,NJ,Living alone with an ineligible spouse,,604.36,0,218.36,0,386,0,-218.36,false
1990,NJ,Living with essential person,,604.36,0,25.36,0,579,0,-25.36,false
1990,NJ,Living in household of another,,301.65,479.09,44.31,93.09,257.34,386,48.78,false
1990,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1991,NJ,Licensed residential facility,,557.05,1095.36,150.05,485.36,406.99999999999994,609.9999999999999,335.31,false
1991,NJ,Living alone or with others,,438.25,635.36,31.25,25.36,407,610,-5.890000000000001,false
1991,NJ,Living alone with an ineligible spouse,,635.36,228.36,635.36,24.36,0,204,-611,false
1991,NJ,Living with essential person,,0,0,0,0,0,0,0,true
1991,NJ,Living in household of another,,315.65,499.76,44.31,93.09,271.34,406.66999999999996,48.78,false
1991,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1992,NJ,Licensed residential facility,,572.05,1125.36,150.05,492.36,421.99999999999994,632.9999999999999,342.31,false
1992,NJ,Living alone or with others,,453.25,658.36,31.25,25.36,422,633,-5.890000000000001,false
1992,NJ,Living alone with an ineligible spouse,,658.36,0,236.36,0,422,0,-236.36,false
1992,NJ,Living with essential person,,658.36,0,25.36,0,633,0,-25.36,false
1992,NJ,Living in household of another,,325.65,515.09,44.31,93.09,281.34,422,48.78,false
1992,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1994,NJ,Licensed residential facility,,596.05,1173.36,150.05,504.36,445.99999999999994,668.9999999999999,354.31,false
1994,NJ,Living alone or with others,,477.25,694.36,31.25,25.36,446,669,-5.890000000000001,false
1994,NJ,Living alone with an ineligible spouse,,694.36,0,248.36,0,446,0,-248.36,false
1994,NJ,Living with essential person,,694.36,0,25.36,0,669,0,-25.36,false
1994,NJ,Living in household of another,,341.65,539.09,44.31,93.09,297.34,446,48.78,false
1994,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1995,NJ,Licensed residential facility,,608.05,1197.36,150.05,510.36,457.99999999999994,686.9999999999999,360.31,false
1995,NJ,Living alone or with others,,489.25,712.36,31.25,25.36,458,687,-5.890000000000001,false
1995,NJ,Living alone with an ineligible spouse,,712.36,0,254.36,0,458,0,-254.36,false
1995,NJ,Living with essential person,,712.36,0,25.36,0,687,0,-25.36,false
1995,NJ,Living in household of another,,349.65,551.09,44.31,93.09,305.34,458,48.78,false
1995,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1996,NJ,Licensed residential facility,,620.05,1221.36,150.05,516.36,469.99999999999994,704.9999999999999,366.31,false
1996,NJ,Living alone or with others,,501.25,730.36,31.25,25.36,470,705,-5.890000000000001,false
1996,NJ,Living alone with an ineligible spouse,,730.36,0,260.36,0,470,0,-260.36,false
1996,NJ,Living with essential person,,730.36,0,25.36,0,705,0,-25.36,false
1996,NJ,Living in household of another,,357.65,563.09,44.31,93.09,313.34,470,48.78,false
1996,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1997,NJ,Licensed residential facility,,634.05,1249.36,150.05,523.36,483.99999999999994,725.9999999999999,373.31,false
1997,NJ,Living alone or with others,,515.25,751.36,31.25,25.36,484,726,-5.890000000000001,false
1997,NJ,Living alone with an ineligible spouse,,751.36,6,7,0,744.36,6,-7,false
1997,NJ,Living with essential person,,751.36,6,7,9,744.36,-3,2,false
1997,NJ,Living in household of another,,3,5,0,0,3,5,0,true
1997,NJ,Medicaid facility,,9,8,0,0,9,8,0,true
1998,NJ,Congregate Care,,644.05,1269.36,150.05,528.36,493.99999999999994,740.9999999999999,378.31,false
1998,NJ,Living alone or with others,,525.25,766.36,31.25,25.36,494,741,-5.890000000000001,false
1998,NJ,Living alone with an ineligible spouse,,766.36,0,272.36,0,494,0,-272.36,false
1998,NJ,Living with essential person,,766.36,0,25.36,0,741,0,-25.36,false
1998,NJ,Living in household of another,,373.65,587.09,44.31,93.09,329.34,494,48.78,false
1998,NJ,Medicaid facility,,40,80,10,20,30,60,10,true
1999,NJ,Congregate care,,650.05,1281.36,150.05,530.36,499.99999999999994,750.9999999999999,380.31,false
