year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NM,Licensed adult residential care home,,472.00,751.00,86.00,172.00,386.00,579.00,86.00,TRUE
1991,NM,Licensed adult residential care home,,507.00,810.00,100.00,200.00,407.00,610.00,100.00,TRUE
1992,NM,Licensed adult residential care home,,522.00,833.00,100.00,200.00,422.00,633.00,100.00,TRUE
1994,NM,Licensed adult residential care home,,546.00,869.00,100.00,200.00,446.00,669.00,100.00,TRUE
1995,NM,Licensed adult residential care home,,558.00,887.00,100.00,200.00,458.00,687.00,100.00,TRUE
1996,NM,Licensed adult residential care home,,570.00,905.00,100.00,200.00,470.00,705.00,100.00,TRUE
1997,NM,Licensed adult residential care home,,584.00,926.00,100.00,200.00,484.00,726.00,100.00,TRUE
1998,NM,Licensed adult residential care home,,594.00,941.00,100.00,200.00,494.00,741.00,100.00,TRUE
1999,NM,Licensed adult residential care home,,600.00,951.00,100.00,200.00,500.00,751.00,100.00,TRUE
2000,NM,Licensed adult residential care home,,612.00,969.00,100.00,200.00,512.00,769.00,100.00,TRUE
2004,NM,Licensed adult residential care home,,664.00,1046.00,100.00,200.00,564.00,846.00,100.00,TRUE
2005,NM,Licensed adult residential care home,,679.00,1069.00,100.00,200.00,579.00,869.00,100.00,TRUE
2006,NM,Licensed adult residential care home,,703.00,1104.00,100.00,200.00,603.00,904.00,100.00,TRUE
2007,NM,Licensed adult residential care home,,723.00,1134.00,100.00,200.00,623.00,934.00,100.00,TRUE
2008,NM,Licensed adult residential care home,,737.00,1156.00,100.00,200.00,637.00,956.00,100.00,TRUE
2011,NM,Licensed adult residential care home,,774.00,1211.00,100.00,200.00,674.00,1011.00,100.00,TRUE
