year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NV,Living independently,Aged,422.40,653.46,36.40,74.46,386.00,579.00,38.06,FALSE
1990,NV,Living independently,Blind,495.30,953.60,109.30,374.60,386.00,579.00,265.30,FALSE
1990,NV,Living in household of another,Aged,281.61,435.64,24.27,49.64,257.34,386.00,25.37,FALSE
1990,NV,Living in household of another,Blind,471.30,917.94,213.96,531.94,257.34,386.00,317.98,FALSE
1990,NV,Domiciliary care,Aged and blind,662.40,1287.80,276.40,708.80,386.00,579.00,432.40,FALSE
1991,NV,Living independently,Aged,443.40,684.46,36.40,74.46,407.00,610.00,38.06,FALSE
1991,NV,Living independently,Blind,516.30,984.60,109.30,374.60,407.00,610.00,265.30,FALSE
1991,NV,Living in household of another,Aged,295.61,456.31,24.27,49.64,271.34,406.67,25.37,FALSE
1991,NV,Living in household of another,Blind,485.30,938.61,213.96,531.94,271.34,406.67,317.98,FALSE
1991,NV,Domiciliary care,Aged and blind,683.40,1318.80,276.40,708.80,407.00,610.00,432.40,FALSE
1992,NV,Living independently,Aged,458.40,707.46,36.40,74.46,422.00,633.00,38.06,FALSE
1992,NV,Living independently,Blind,531.30,1007.60,109.30,374.60,422.00,633.00,265.30,FALSE
1992,NV,Living in household of another,Aged,305.61,471.64,24.27,49.64,281.34,422.00,25.37,FALSE
1992,NV,Living in household of another,Blind,495.30,953.94,213.96,531.94,281.34,422.00,317.98,FALSE
1992,NV,Domiciliary care,Aged and blind,698.40,1341.80,276.40,708.80,422.00,633.00,432.40,FALSE
1994,NV,Living independently,Aged,482.40,743.46,36.40,74.46,446.00,669.00,38.06,FALSE
1994,NV,Living independently,Blind,555.30,1043.60,109.30,374.60,446.00,669.00,265.30,FALSE
1994,NV,Living in household of another,Aged,321.61,495.64,24.27,49.64,297.34,446.00,25.37,FALSE
1994,NV,Living in household of another,Blind,511.30,977.94,213.96,531.94,297.34,446.00,317.98,FALSE
1994,NV,Domiciliary care,Aged and blind,757.00,1452.00,311.00,783.00,446.00,669.00,472.00,FALSE
1995,NV,Living independently,Aged,494.40,761.46,36.40,74.46,458.00,687.00,38.06,FALSE
1995,NV,Living independently,Blind,567.30,1061.60,109.30,374.60,458.00,687.00,265.30,FALSE
1995,NV,Living in household of another,Aged,329.61,507.64,24.27,49.64,305.34,458.00,25.37,FALSE
1995,NV,Living in household of another,Blind,519.30,989.94,213.96,531.94,305.34,458.00,317.98,FALSE
1995,NV,Domiciliary care,Aged and blind,769.00,1470.00,311.00,783.00,458.00,687.00,472.00,FALSE
1996,NV,Living independently,Aged,506.40,779.46,36.40,74.46,470.00,705.00,38.06,FALSE
1996,NV,Living independently,Blind,579.30,1079.60,109.30,374.60,470.00,705.00,265.30,FALSE
1996,NV,Living in household of another,Aged,337.61,519.64,24.27,49.64,313.34,470.00,25.37,FALSE
1996,NV,Living in household of another,Blind,527.30,1001.94,213.96,531.94,313.34,470.00,317.98,FALSE
1996,NV,Domiciliary care,Aged and blind,781.00,1488.00,311.00,783.00,470.00,705.00,472.00,FALSE
1997,NV,Living independently,Aged,520.40,800.46,36.40,74.46,484.00,726.00,38.06,FALSE
1997,NV,Living independently,Blind,593.30,1100.60,109.30,374.60,484.00,726.00,265.30,FALSE
1997,NV,Living in household of another,Aged,346.94,533.64,24.27,49.64,322.67,484.00,25.37,FALSE
1997,NV,Living in household of another,Blind,536.63,1015.94,213.96,531.94,322.67,484.00,317.98,FALSE
1997,NV,Domiciliary care,Aged and blind,795.00,1509.00,311.00,783.00,484.00,726.00,472.00,FALSE
1998,NV,Living independently,Aged,530.40,815.46,36.40,74.46,494.00,741.00,38.06,FALSE
1998,NV,Living independently,Blind,603.30,1115.60,109.30,374.60,494.00,741.00,265.30,FALSE
1998,NV,Living in household of another,Aged,353.61,543.64,24.27,49.64,329.34,494.00,25.37,FALSE
1998,NV,Living in household of another,Blind,543.30,1025.94,213.96,531.94,329.34,494.00,317.98,FALSE
1998,NV,Domiciliary care,Aged and blind,823.66,1570.98,329.66,829.98,494.00,741.00,500.32,FALSE
1999,NV,Living independently,Aged,536.40,825.46,36.40,74.46,500.00,751.00,38.06,FALSE
1999,NV,Living independently,Blind,609.30,1125.60,109.30,374.60,500.00,751.00,265.30,FALSE
1999,NV,Living in household of another,Aged,357.61,550.31,24.27,49.64,333.34,500.67,25.37,FALSE
1999,NV,Living in household of another,Blind,547.30,1032.61,213.96,531.94,333.34,500.67,317.98,FALSE
1999,NV,Domiciliary care,Aged and blind,829.66,1580.98,329.66,829.98,500.00,751.00,500.32,FALSE
2000,NV,Living independently,Aged,548.40,843.46,36.40,74.46,512.00,769.00,38.06,FALSE
2000,NV,Living independently,Blind,621.30,1143.60,109.30,374.60,512.00,769.00,265.30,FALSE
2000,NV,Living in household of another,Aged,365.61,561.31,24.27,49.64,341.34,511.67,25.37,FALSE
2000,NV,Living in household of another,Blind,555.30,1044.61,213.96,531.94,341.34,512.67,317.98,FALSE
2000,NV,Domiciliary care,Aged and blind,862.00,1650.00,350.00,881.00,512.00,769.00,531.00,FALSE
2004,NV,Living independently,Aged,600.40,920.46,36.40,74.46,564.00,846.00,38.06,FALSE
2004,NV,Living independently,Blind,673.30,1220.60,109.30,374.60,564.00,846.00,265.30,FALSE
2004,NV,Living in household of another,Aged,400.27,613.64,24.27,49.64,376.00,564.00,25.37,FALSE
2004,NV,Living in household of another,Blind,589.96,1095.94,213.96,531.94,376.00,564.00,317.98,FALSE
2004,NV,Domiciliary care,Aged and blind,914.00,1727.00,350.00,881.00,564.00,846.00,531.00,FALSE
2005,NV,Living independently,Aged,615.40,943.46,36.40,74.46,579.00,869.00,38.06,FALSE
