year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NY,Living alone,,472,681.5,86,102.5,386,579,16.5,false
1990,NY,Living with others,,409,624,23,45,386,579,22,false
1990,NY,Congregate care I,Areas A and B,634.96,1269.92,248.96,690.92,386,579.0000000000001,441.9599999999999,false
1990,NY,Congregate care I,Area C,596.96,1193.92,210.96,614.92,386,579.0000000000001,403.9599999999999,false
1990,NY,Congregate care II,Areas A and B,821,1642,435,1063,386,579,628,false
1990,NY,Congregate care II,Area C,791,1582,405,1003,386,579,598,false
1990,NY,Congregate care III,Area A,868.96,1737.92,482.96,1158.92,386.00000000000006,579,675.96,false
1990,NY,Congregate care III,Areas B and C,844.96,1689.92,458.96,1110.92,386.00000000000006,579,651.96,false
1990,NY,Living in household of another,,280.34,431,23,45,257.34,386,22,false
1990,NY,Medicaid facility,,35,70,5,10,30,60,5,true
1991,NY,Living alone,,493,712.5,86,102.5,407,610,16.5,false
1991,NY,Living with others,,430,655,23,45,407,610,22,false
1991,NY,Congregate care I,Areas A and B,673.48,1346.96,266.48,736.96,407,610,470.48,false
1991,NY,Congregate care I,Area C,635.48,1270.96,228.48,660.96,407,610,432.48,false
1991,NY,Congregate care II,Areas A and B,842,1684,435,1074,407,610,639,false
1991,NY,Congregate care II,Area C,812,1624,405,1014,407,610,609,false
1991,NY,Congregate care III,Area A,889.96,1779.92,482.96,1169.92,407.00000000000006,610,686.96,false
1991,NY,Congregate care III,Areas B and C,865.96,1731.92,458.96,1121.92,407.00000000000006,610,662.96,false
1991,NY,Living in household of another,,294.34,451.67,23,45,271.34,406.67,22,false
1991,NY,Medicaid facility,,35,70,5,10,30,60,5,true
1992,NY,Living alone,,508,735.5,86,102.5,422,633,16.5,false
1992,NY,Living with others,,445,678,23,45,422,633,22,false
1992,NY,Congregate care I,Areas A and B,688.48,1376.96,266.48,743.96,422,633,477.48,false
1992,NY,Congregate care I,Area C,650.48,1300.96,228.48,667.96,422,633,439.48,false
1992,NY,Congregate care II,Areas A and B,857,1714,435,1081,422,633,646,false
1992,NY,Congregate care II,Area C,827,1654,405,1021,422,633,616,false
1992,NY,Congregate care III,Area A,904.96,1809.92,482.96,1176.92,422.00000000000006,633,693.96,false
1992,NY,Congregate care III,Areas B and C,880.96,1761.92,458.96,1128.92,422.00000000000006,633,669.96,false
1992,NY,Living in household of another,,304.34,467,23,45,281.34,422,22,false
1992,NY,Medicaid facility,,35,70,5,10,30,60,5,true
1994,NY,Living alone,,532,771.5,86,102.5,446,669,16.5,false
1994,NY,Living with others,,469,714,23,45,446,669,22,false
1994,NY,Congregate care I,Areas A and B,712.48,1424.96,266.48,755.96,446,669,489.48,false
1994,NY,Congregate care I,Area C,674.48,1348.96,228.48,679.96,446,669,451.48,false
