year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,OH,Adult family home,,450.00,900.00,64.00,321.00,386.00,579.00,257.00,FALSE
1990,OH,Group homes,,550.00,1100.00,164.00,521.00,386.00,579.00,357.00,FALSE
1990,OH,Rest homes,,550.00,1100.00,164.00,521.00,386.00,579.00,357.00,FALSE
1991,OH,Adult family home,,450.00,900.00,43.00,290.00,407.00,610.00,247.00,FALSE
1991,OH,Group home,,500.00,1000.00,93.00,390.00,407.00,610.00,297.00,FALSE
1991,OH,Rest home,,500.00,1000.00,93.00,390.00,407.00,610.00,297.00,FALSE
1992,OH,Adult foster home,,779.00,1492.00,357.00,859.00,422.00,633.00,502.00,FALSE
1992,OH,Adult family home,,779.00,1492.00,357.00,859.00,422.00,633.00,502.00,FALSE
1992,OH,Group home,,879.00,1692.00,457.00,1059.00,422.00,633.00,602.00,FALSE
1992,OH,Rest home,,879.00,1692.00,457.00,1059.00,422.00,633.00,602.00,FALSE
1994,OH,Adult foster home,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Adult family home,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Apartment or room,,602.00,1128.00,156.00,459.00,446.00,669.00,303.00,FALSE
1994,OH,Community alternative home,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Group home,,902.00,1728.00,456.00,1059.00,446.00,669.00,603.00,FALSE
1994,OH,Residential facility,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Rest home,,902.00,1728.00,456.00,1059.00,446.00,669.00,603.00,FALSE
1995,OH,Adult foster home,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Adult family home,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Apartment or room,Community Mental Health Program,614.00,1146.00,156.00,459.00,458.00,687.00,303.00,FALSE
1995,OH,Community alternative home,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Group home,,914.00,1746.00,456.00,1059.00,458.00,687.00,603.00,FALSE
1995,OH,Residential facility,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Rest home,,914.00,1746.00,456.00,1059.00,458.00,687.00,603.00,FALSE
1996,OH,Adult foster home,,876.00,1664.00,406.00,959.00,470.00,705.00,553.00,FALSE
1996,OH,Adult family home,,876.00,1664.00,406.00,959.00,470.00,705.00,553.00,FALSE
1996,OH,Apartment or room,Community Mental Health Program,676.00,1264.00,206.00,559.00,470.00,705.00,353.00,FALSE
1996,OH,Community alternative home,,876.00,1664.00,406.00,959.00,470.00,705.00,553.00,FALSE
1996,OH,Group home,,976.00,1864.00,506.00,1159.00,470.00,705.00,653.00,FALSE
1996,OH,Residential,,976.00,1864.00,506.00,1159.00,470.00,705.00,653.00,FALSE
1997,OH,Adult foster homes,,890.00,1685.00,406.00,959.00,484.00,726.00,553.00,FALSE
1997,OH,Adult family homes,,890.00,1685.00,406.00,959.00,484.00,726.00,553.00,FALSE
1997,OH,Apartment or room,Community Mental Health Program,690.00,1285.00,206.00,559.00,484.00,726.00,353.00,FALSE
1997,OH,Community alternative home,,890.00,1685.00,406.00,959.00,484.00,726.00,553.00,FALSE
1997,OH,Group homes,,990.00,1885.00,506.00,1159.00,484.00,726.00,653.00,FALSE
