year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,OK,Living independently,,450,707,64,128,386,579,64,true
1991,OK,Living independently,,471,738,64,128,407,610,64,true
1992,OK,Living independently,,486,761,64,128,422,633,64,true
1994,OK,Living independently,,503,783,57,114,446,669,57,true
1995,OK,Living independently,,513,797,55,110,458,687,55,true
1996,OK,Living independently,,524,813,54,108,470,705,54,true
1997,OK,Living independently,,537,832,53,106,484,726,53,true
1998,OK,Living independently,,547,847,53,106,494,741,53,true
1999,OK,Living independently,,553,857,53,106,500,751,53,true
2000,OK,Living independently,,565,875,53,106,512,769,53,true
2004,OK,Living independently,,614,946,50,100,564,846,50,true
2005,OK,Living independently,,627,965,48,96,579,869,48,true
2006,OK,Living independently,,651,1000,48,96,603,904,48,true
2007,OK,Living independently,,670,1028,47,94,623,934,47,true
2008,OK,Living independently,,683,1048,46,92,637,956,46,true
2011,OK,Living independently,,716,1095,42,84,674,1011,42,true
