year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,OR,Living independently,Aged and disabled,387.7,579,1.7,0,386,579,-1.7,false
1990,OR,Living independently,Blind,412.7,604.6,26.7,25.6,386,579,-1.0999999999999979,false
1990,OR,Living with an ineligible spouse,Aged and disabled,387.7,0,1.7,0,386,0,-1.7,false
1990,OR,Living with an ineligible spouse,Blind,412.7,0,26.7,0,386,0,-26.7,false
1990,OR,Living with essential person,Blind,604.6,0,25.6,0,579,0,-25.6,false
1990,OR,Living in household of another,Aged and disabled,259.04,386,1.7,0,257.34000000000003,386,-1.7,false
1990,OR,Living in household of another,Blind,281.04,411.6,26.7,25.6,254.34000000000003,386,-1.0999999999999979,false
1990,OR,Adult foster/residential care,Aged and disabled,387.7,775.4,1.7,196.4,386,579,194.70000000000002,false
1990,OR,Adult foster/residential care,Blind,412.7,825.4,26.7,246.4,386,579,219.70000000000002,false
1990,OR,Room and board,Aged and disabled,387.7,775.4,1.7,196.4,386,579,194.70000000000002,false
1990,OR,Room and board,Blind,412.7,825.4,26.7,246.4,386,579,219.70000000000002,false
1991,OR,Living independently,Aged and disabled,408.7,610,1.7,0,407,610,-1.7,false
1991,OR,Living independently,Blind,433.7,635.6,26.7,25.6,407,610,-1.0999999999999979,false
1991,OR,Living with an ineligible spouse,Aged and disabled,408.7,0,1.7,0,407,0,-1.7,false
1991,OR,Living with an ineligible spouse,Blind,433.7,0,26.7,0,407,0,-26.7,false
1991,OR,Living with essential person,Blind,636.6,0,25.6,0,611,0,-25.6,false
1991,OR,Living in household of another,Aged and disabled,273.04,406.67,1.7,0,271.34000000000003,406.67,-1.7,false
1991,OR,Living in household of another,Blind,298.04,432.27,26.7,25.6,271.34000000000003,406.66999999999996,-1.0999999999999979,false
1991,OR,Adult foster/residential care,Aged and disabled,408.7,806.4,1.7,196.4,407,610,194.70000000000002,false
1991,OR,Adult foster/residential care,Blind,433.7,856.4,26.7,246.4,407,610,219.70000000000002,false
1991,OR,Room and board,Aged and disabled,408.7,806.4,1.7,196.4,407,610,194.70000000000002,false
1991,OR,Room and board,Blind,433.7,856.4,26.7,246.4,407,610,219.70000000000002,false
1992,OR,Living independently,Aged and disabled,423.7,633,1.7,0,422,633,-1.7,false
1992,OR,Living independently,Blind,448.7,658.6,26.7,25.6,422,633,-1.0999999999999979,false
1992,OR,Living with an ineligible spouse,Aged and disabled,423.7,0,1.7,0,422,0,-1.7,false
1992,OR,Living with an ineligible spouse,Blind,448.7,0,26.7,0,422,0,-26.7,false
1992,OR,Living with essential person,Blind,658.6,0,25.6,0,633,0,-25.6,false
1992,OR,Living in household of another,Aged and disabled,283.04,422,1.7,0,281.34000000000003,422,-1.7,false
1992,OR,Living in household of another,Blind,308.04,447.6,26.7,25.6,281.34000000000003,422,-1.0999999999999979,false
1992,OR,Adult foster/residential care,Aged and disabled,423.7,829.4,1.7,196.4,422,633,194.70000000000002,false
1992,OR,Adult foster/residential care,Blind,448.7,879.4,26.7,246.4,422,633,219.70000000000002,false
1992,OR,Room and board,Aged and disabled,423.7,829.4,1.7,196.4,422,633,194.70000000000002,false
