year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,PA,Living alone,,418.4,627.7,32.4,48.7,386,579,16.300000000000004,false
1990,PA,Living in household of another,,289.74,434.7,32.4,48.7,257.34000000000003,386,16.300000000000004,false
1990,PA,Living with an essential person,,627.7,845.05,48.7,73.05,579,772,24.349999999999994,false
1990,PA,Living with an essential person in household of another,,434.7,587.72,48.7,73.05,386,514.6700000000001,24.349999999999994,false
1990,PA,Living in domiciliary-care facility or personal-care boarding home,,533.3,952.4,147.3,373.4,385.99999999999994,579,226.09999999999997,false
1991,PA,Living alone,,439.4,658.7,32.4,48.7,407,610,16.300000000000004,false
1991,PA,Living in household of another,,303.74,455.37,32.4,48.7,271.34000000000003,406.67,16.300000000000004,false
1991,PA,Living with an essential person,,659.7,887.05,48.7,73.05,611,814,24.349999999999994,false
1991,PA,Living with an essential person in household of another,,456.04,615.73,48.7,73.05,407.34000000000003,542.6800000000001,24.349999999999994,false
1991,PA,Domiciliary-care facility for adults,,554.3,983.4,147.3,373.4,406.99999999999994,610,226.09999999999997,false
1991,PA,Personal-care boarding home,,559.3,993.4,152.3,383.4,406.99999999999994,610,231.09999999999997,false
1992,PA,Living alone,,454.4,681.7,32.4,48.7,422,633,16.300000000000004,false
1992,PA,Living in household of another,,313.74,470.7,32.4,48.7,281.34000000000003,422,16.300000000000004,false
1992,PA,Living with an essential person,,681.7,917.05,48.7,73.05,633,844,24.349999999999994,false
1992,PA,Living with an essential person in household of another,,470.7,635.72,48.7,73.05,422,562.6700000000001,24.349999999999994,false
1992,PA,Domiciliary-care facility for adults,,569.3,1006.4,147.3,373.4,421.99999999999994,633,226.09999999999997,false
1992,PA,Personal-care boarding home,,574.3,1016.4,152.3,383.4,421.99999999999994,633,231.09999999999997,false
1994,PA,Living alone,,478.4,717.7,32.4,48.7,446,669,16.300000000000004,false
1994,PA,Living in household of another,,329.74,494.7,32.4,48.7,297.34000000000003,446,16.300000000000004,false
1994,PA,Living with an essential person,,717.7,965.05,48.7,73.05,669,892,24.349999999999994,false
1994,PA,Living with an essential person in household of another,,494.7,667.72,48.7,73.05,446,594.6700000000001,24.349999999999994,false
1994,PA,Domiciliary-care facility for adults,,775.3,1406.4,329.3,737.4,445.99999999999994,669.0000000000001,408.09999999999997,false
1994,PA,Personal-care boarding home,,780.3,1416.4,334.3,747.4,445.99999999999994,669.0000000000001,413.09999999999997,false
