year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,RI,Living alone,,450.35,699.50,64.35,120.50,386.00,579.00,56.15,FALSE
1990,RI,Living in household of another,,331.94,522.50,74.60,136.50,257.34,386.00,61.90,FALSE
1990,RI,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1991,RI,Living alone,,471.35,730.50,64.35,120.50,407.00,610.00,56.15,FALSE
1991,RI,Living in household of another,,345.94,543.17,74.60,136.50,271.34,406.67,61.90,FALSE
1991,RI,Shelter care facility,,739.00,0.00,332.00,0.00,407.00,0.00,-332.00,FALSE
1991,RI,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1992,RI,Living alone,,488.79,757.53,66.79,124.53,422.00,633.00,57.74,FALSE
1992,RI,Living in household of another,,358.74,563.27,77.40,141.27,281.34,422.00,63.87,FALSE
1992,RI,Shelter care facility,,766.34,0.00,344.34,0.00,422.00,0.00,-344.34,FALSE
1992,RI,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1994,RI,Living alone,,510.35,789.50,64.35,120.50,446.00,669.00,56.15,FALSE
1994,RI,Living in household of another,,371.94,582.50,74.60,136.50,297.34,446.00,61.90,FALSE
1994,RI,Shelter care facility,,778.00,40.00,0.00,80.00,778.00,-40.00,80.00,FALSE
1994,RI,Medicaid facility,,332.00,10.00,0.00,20.00,332.00,-10.00,20.00,FALSE
1995,RI,Living alone,,522.35,807.50,64.35,120.50,458.00,687.00,56.15,FALSE
1995,RI,Living in household of another,,379.94,594.50,74.60,136.50,305.34,458.00,61.90,FALSE
1995,RI,Shelter care facility,,790.00,0.00,332.00,0.00,458.00,0.00,-332.00,FALSE
1995,RI,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1996,RI,Living alone,,534.35,825.50,64.35,120.50,470.00,705.00,56.15,FALSE
