year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,UT,Living alone or with others,,392,591,6,12,386,579,6,true
1991,UT,Living alone or with others,,413,622,6,12,407,610,6,true
1992,UT,Living alone or with others,,427.3,643.6,5.3,10.6,422,633,5.3,true
1994,UT,Living alone or with others,,447,673.6,1,4.6,446,669,3.5999999999999996,false
1994,UT,Living in household of another,,300.47,455.73,3.13,9.73,297.34000000000003,446,6.6000000000000005,false
1995,UT,Living alone or with others,,458,691.6,0,4.6,458,687,4.6,false
1995,UT,Living in the household of another,,308.47,467.73,3.13,9.73,305.34000000000003,458,6.6000000000000005,false
1996,UT,Living alone or with others,,470,1,0,7,470,-6,7,false
1996,UT,Living in the household of another,,3,6,4,709.6,-1,-703.6,705.6,false
1997,UT,Living alone or with others,,484,4.6,0,3.13,484,1.4699999999999998,3.13,false
1997,UT,Living in the household of another,,730.6,325.8,493.73,9.73,236.87,316.07,-484,false
1998,UT,Living alone or with others,,494,745.6,0,4.6,494,741,4.6,false
1998,UT,Living in the household of another,,332.47,503.73,3.13,9.73,329.34000000000003,494,6.6000000000000005,false
1999,UT,Living alone or with others,,500,755.6,0,4.6,500,751,4.6,false
1999,UT,Living in the household of another,,336.47,510.4,3.13,9.73,333.34000000000003,500.66999999999996,6.6000000000000005,false
2000,UT,Living alone or with others,,512,773.6,0,4.6,512,769,4.6,false
2000,UT,Living in the household of another,,344.47,522.4,3.13,9.73,341.34000000000003,512.67,6.6000000000000005,false
2004,UT,Living alone or with others,,564,850.6,0,4.6,564,846,4.6,false
2004,UT,Living in the household of another,,379.13,573.73,3.13,9.73,376,564,6.6000000000000005,false
2005,UT,Living alone or with others,,579,873.6,0,4.6,579,869,4.6,false
2005,UT,Living in the household of another,,389.13,589.07,3.13,9.73,386,579.34,6.6000000000000005,false
2006,UT,Living alone or with others,,603,908.6,0,4.6,603,904,4.6,false
2006,UT,Living in the household of another,,405.13,612.4,3.13,9.73,402,602.67,6.6000000000000005,false
2007,UT,Living alone or with others,,623,936.6,0,4.6,623,932,4.6,false
2007,UT,Living in the household of another,,418.47,632.4,3.13,9.73,415.34000000000003,622.67,6.6000000000000005,false
2008,UT,Living alone or with others,,637,960.6,0,4.6,637,956,4.6,false
2008,UT,Living in the household of another,,427.8,647.07,3.13,9.73,424.67,637.34,6.6000000000000005,false
2011,UT,Living alone or with others,,674,1015.6,0,4.6,674,1011,4.6,false
2011,UT,Living in the household of another,,452.47,683.73,3.13,9.73,449.34000000000003,674,6.6000000000000005,false
