year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,VT,Living independently,,449.1,693.8,63.1,114.8,386,579,51.699999999999996,false
1990,VT,Living in the household of another,,299.34,439.4,42,53.4,257.34,386,11.399999999999999,false
1990,VT,Custodial-care,Licensed home with limited nursing care,637,1138.8,251,559.8,386,579,308.79999999999995,false
1990,VT,Custodial-care,Licensed community care home,598,1101.2,212,522.2,386,579,310.20000000000005,false
1990,VT,Custodial-care,Family home,484.9,894.2,98.9,315.2,386,579,216.29999999999998,false
1990,VT,Medicaid facility,,45,90,15,30,30,60,15,true
1990,VT,Living independently with an essential person,,693.8,871.64,307.8,292.64,385.99999999999994,579,-15.160000000000025,false
1990,VT,Living in the household of another with ineligible spouse who is an essential person,,449.1,0,191.76,0,257.34000000000003,0,-191.76,false
1991,VT,Living independently,,471.99,728.24,64.99,118.24,407,610,53.25,false
1991,VT,Living in the household of another,,314.6,461.67,43.26,55,271.34000000000003,406.67,11.740000000000002,false
1991,VT,Custodial-care licensed home with limited nursing care,,665.53,1186.59,258.53,576.59,407,609.9999999999999,318.06000000000006,false
1991,VT,Custodial-care licensed community care home,,625.36,1147.87,218.36,537.87,407,609.9999999999999,319.51,false
1991,VT,"Custodial-care, family home",,508.87,934.66,101.87,324.66,407,610,222.79000000000002,false
1991,VT,Medicaid facility,,45,90,15,30,30,60,15,true
1991,VT,Living independently with an essential person,,728.24,911.42,321.24,301.42,407,610,-19.819999999999993,false
1991,VT,Living in the household of another with ineligible spouse who is an essential person,,471.99,0,200.65,0,271.34000000000003,0,-200.65,false
1992,VT,Living independently,,486.99,751.24,64.99,118.24,422,633,53.25,false
1992,VT,Living in the household of another,,324.6,477,43.26,55,281.34000000000003,422,11.740000000000002,false
1992,VT,Custodial-care,Licensed home with limited nursing care,680.53,1209.59,258.53,576.59,422,632.9999999999999,318.06000000000006,false
1992,VT,Custodial-care,Licensed community care home,640.36,1170.87,218.36,537.87,422,632.9999999999999,319.51,false
1992,VT,Custodial-care,Family home,523.87,957.66,101.87,324.66,422,633,222.79000000000002,false
1992,VT,Medicaid facility,,45,90,15,30,30,60,15,true
1992,VT,Living independently with an essential person,,751.24,934.42,329.24,301.42,422,633,-27.819999999999993,false
1992,VT,Living in the household of another with ineligible spouse who is an essential person,,486.99,0,205.65,0,281.34000000000003,0,-205.65,false
1994,VT,Living independently,,500.87,772.06,54.87,103.06,446,669,48.190000000000005,false
1994,VT,Living in the household of another,,333.85,490.87,36.51,44.87,297.34000000000003,446,8.36,false
1994,VT,Level III-residential care home,,694.41,1230.41,248.41,561.41,446,669.0000000000001,313,false
1994,VT,Level IV-residential care home,,654.24,1191.69,208.24,522.69,446,669,314.45000000000005,false
1994,VT,Custodial-care family home,,537.75,978.48,91.75,309.48,446,669,217.73000000000002,false
1994,VT,Medicaid facility,,45,90,15,30,30,60,15,true
1994,VT,Living independently with an essential person,,772.06,948.01,326.06,279.01,445.99999999999994,669,-47.05000000000001,false
1994,VT,In the household of another with ineligible spouse who is an essential person,,500.87,0,203.53,0,297.34000000000003,0,-203.53,false
1995,VT,Living independently,,517.41,796.87,59.41,109.87,458,687,50.46000000000001,false
1995,VT,Living in the household of another,,344.89,507.43,39.55,49.43,305.34,458,9.880000000000003,false
1995,VT,Level III-residential care home,,710.95,1255.22,252.95,568.22,458.00000000000006,687,315.27000000000004,false
1995,VT,Level IV-residential care home,,670.78,1216.5,212.78,529.5,458,687,316.72,false
1995,VT,Custodial-care family home,,554.29,1003.29,96.29,316.29,457.99999999999994,687,220,false
1995,VT,Medicaid facility,,45,90,15,30,30,60,15,true
