year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,WA,Living independently,Area 1,414,601,28,22,386,579,-6,false
1990,WA,Living independently,Area 2,393.55,579,7.55,0,386,579,-7.55,false
1990,WA,Living with ineligible spouse,Area 1,578,0,192,0,386,0,-192,false
1990,WA,Living with ineligible spouse,Area 2,546.15,0,160.15,0,386,0,-160.15,false
1990,WA,Living in household of another,,263.15,392.3,5.81,6.3,257.34,386,0.4900000000000002,false
1990,WA,Living in household of another with ineligible spouse,,376.97,0,119.63,0,257.34000000000003,0,-119.63,false
1990,WA,Living with one essential person,Area 1,601,0,22,0,579,0,-22,false
1990,WA,Living with one essential person,Area 2,579,0,0,0,579,0,0,true
1990,WA,Living in household of another with one essential person,,392.3,0,6.3,0,386,0,-6.3,false
1990,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30,60,11.62,true
1991,WA,Living independently,Area 1,435,632,28,22,407,610,-6,false
1991,WA,Living independently,Area 2,414.55,610,7.55,0,407,610,-7.55,false
1991,WA,Living with ineligible spouse,Area 1,599,0,192,0,407,0,-192,false
1991,WA,Living with ineligible spouse,Area 2,567.15,0,160.15,0,407,0,-160.15,false
1991,WA,Living in household of another,,277.15,412.97,5.81,6.3,271.34,406.67,0.4900000000000002,false
1991,WA,Living in household of another with ineligible spouse,,390.97,0,119.63,0,271.34000000000003,0,-119.63,false
1991,WA,Living with one essential person,Area 1,633,0,22,0,611,0,-22,false
1991,WA,Living with one essential person,Area 2,611,0,0,0,611,0,0,true
1991,WA,Living in household of another with one essential person,,413.64,0,6.3,0,407.34,0,-6.3,false
1991,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30,60,11.62,true
1992,WA,Living independently,Area 1,450,655,28,22,422,633,-6,false
1992,WA,Living independently,Area 2,429.55,633,7.55,0,422,633,-7.55,false
1992,WA,Living with ineligible spouse,Area 1,614,0,192,0,422,0,-192,false
1992,WA,Living with ineligible spouse,Area 2,582.15,0,160.15,0,422,0,-160.15,false
1992,WA,Living in household of another,,287.15,428.3,5.81,6.3,281.34,422,0.4900000000000002,false
1992,WA,Living in household of another with ineligible spouse,,400.97,0,119.63,0,281.34000000000003,0,-119.63,false
1992,WA,Living with one essential person,Area 1,655,0,22,0,633,0,-22,false
1992,WA,Living with one essential person,Area 2,633,0,0,0,633,0,0,true
1992,WA,Living in household of another with one essential person,,428.3,0,6.3,0,422,0,-6.3,false
