year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,WI,Living independently,,488.72,744.86,102.72,165.86,386.00,579.00,63.14,FALSE
1990,WI,Living in household of another,,360.06,551.86,102.72,165.86,257.34,386.00,63.14,FALSE
1990,WI,Living independently with an ineligible spouse,,540.08,0.00,154.08,0.00,386.00,0.00,-154.08,FALSE
1990,WI,Living in household of another with ineligible spouse,,411.42,0.00,154.08,0.00,257.34,0.00,-154.08,FALSE
1990,WI,Private nonmedical group home or supported living arrangements,,589.16,1098.02,203.16,519.02,386.00,579.00,315.86,FALSE
1990,WI,Living independently with an essential person,(nonspouse),681.72,937.86,102.72,165.86,579.00,772.00,63.14,FALSE
1990,WI,Living in household of another with an essential person,(nonspouse),488.72,680.53,102.72,165.86,386.00,514.67,63.14,FALSE
1990,WI,Living independently with an ineligible spouse who is an essential person,,733.08,0.00,154.08,0.00,579.00,0.00,-154.08,FALSE
1990,WI,Living in household of another with an ineligible spouse who is an essential person,,540.08,0.00,154.08,0.00,386.00,0.00,-154.08,FALSE
1991,WI,Living independently,,509.72,775.86,102.72,165.86,407.00,610.00,63.14,FALSE
1991,WI,Living in household of another,,374.06,572.53,102.72,165.86,271.34,406.67,63.14,FALSE
1991,WI,Living independently with an ineligible spouse,,561.08,0.00,154.08,0.00,407.00,0.00,-154.08,FALSE
1991,WI,Living in household of another with ineligible spouse,,425.42,0.00,154.08,0.00,271.34,0.00,-154.08,FALSE
1991,WI,Private nonmedical group home or natural residential settings,,610.16,1129.02,203.16,519.02,407.00,610.00,315.86,FALSE
1991,WI,Living independently with an essential person,(nonspouse),713.72,979.86,102.72,165.86,611.00,814.00,63.14,FALSE
1991,WI,Living in household of another with an essential person,(nonspouse),510.06,708.54,102.72,165.86,407.34,542.68,63.14,FALSE
1991,WI,Living independently with an ineligible spouse who is an essential person,,765.08,0.00,154.08,0.00,611.00,0.00,-154.08,FALSE
1991,WI,Living in household of another with an ineligible spouse who is an essential person,,561.42,0.00,154.08,0.00,407.34,0.00,-154.08,FALSE
1992,WI,Living independently,,514.72,778.86,92.72,145.86,422.00,633.00,53.14,FALSE
1992,WI,Living in household of another,,374.06,567.86,92.72,145.86,281.34,422.00,53.14,FALSE
1992,WI,Living independently with an ineligible spouse,,566.08,0.00,144.08,0.00,422.00,0.00,-144.08,FALSE
1992,WI,Living in household of another with ineligible spouse,,425.42,0.00,144.08,0.00,281.34,0.00,-144.08,FALSE
1992,WI,Private nonmedical group home or natural residential settings,,615.16,1132.02,193.16,499.02,422.00,633.00,305.86,FALSE
1992,WI,Living independently with an essential person,(nonspouse),725.72,989.86,92.72,145.86,633.00,844.00,53.14,FALSE
1992,WI,Living in household of another with an essential person,(nonspouse),514.72,708.53,92.72,145.86,422.00,562.67,53.14,FALSE
1992,WI,Living independently with an ineligible spouse who is an essential person,,777.08,0.00,144.08,0.00,633.00,0.00,-144.08,FALSE
1992,WI,Living in household of another with an ineligible spouse who is an essential person,,566.08,0.00,144.08,0.00,422.00,0.00,-144.08,FALSE
1994,WI,Living independently,,530.70,802.67,84.70,133.67,446.00,669.00,48.97,FALSE
1994,WI,Living in household of another,,382.04,579.67,84.70,133.67,297.34,446.00,48.97,FALSE
1994,WI,Living independently with an ineligible spouse,,578.03,0.00,132.03,0.00,446.00,0.00,-132.03,FALSE
1994,WI,Living in household of another with ineligible spouse,,434.04,0.00,136.70,0.00,297.34,0.00,-136.70,FALSE
1994,WI,Private nonmedical group home or natural residential settings,,627.97,1152.26,181.97,483.26,446.00,669.00,301.29,FALSE
1994,WI,Living independently with an essential person,(nonspouse),753.70,1025.67,84.70,133.67,669.00,892.00,48.97,FALSE
1994,WI,Living in household of another with an essential person,(nonspouse),530.70,728.34,84.70,133.67,446.00,594.67,48.97,FALSE
1994,WI,Living independently with an ineligible spouse who is an essential person,,801.03,0.00,132.03,0.00,669.00,0.00,-132.03,FALSE
1994,WI,Living in household of another with an ineligible spouse who is an essential person,,582.70,0.00,136.70,0.00,446.00,0.00,-136.70,FALSE
1995,WI,Living independently,,541.78,819.05,83.78,132.05,458.00,687.00,48.27,FALSE
1995,WI,Living in household of another,,389.12,590.05,83.78,132.05,305.34,458.00,48.27,FALSE
1995,WI,Living independently with an ineligible spouse,,588.43,0.00,130.43,0.00,458.00,0.00,-130.43,FALSE
1995,WI,Living in household of another with ineligible spouse,,440.39,0.00,135.05,0.00,305.34,0.00,-135.05,FALSE
1995,WI,Private nonmedical group home or natural residential settings,,637.77,1164.41,179.77,477.41,458.00,687.00,297.64,FALSE
1995,WI,Living independently with an essential person,(nonspouse),770.78,1048.05,83.78,132.05,687.00,916.00,48.27,FALSE
1995,WI,Living in household of another with an essential person,(nonspouse),541.78,742.72,83.78,132.05,458.00,610.67,48.27,FALSE
1995,WI,Living independently with an ineligible spouse who is an essential person,,817.43,0.00,130.43,0.00,687.00,0.00,-130.43,FALSE
1995,WI,Living in household of another with an ineligible spouse who is an essential person,,593.05,0.00,135.05,0.00,458.00,0.00,-135.05,FALSE
1996,WI,Living independently,,553.78,837.05,83.78,132.05,470.00,705.00,48.27,FALSE
1996,WI,Living in household of another,,397.12,602.05,83.78,132.05,313.34,470.00,48.27,FALSE
1996,WI,Living independently with an ineligible spouse,,600.43,0.00,130.43,0.00,470.00,0.00,-130.43,FALSE
1996,WI,Living in household of another with ineligible spouse,,448.39,0.00,135.05,0.00,313.34,0.00,-135.05,FALSE
1996,WI,Private nonmedical group home or natural residential settings,,649.77,1182.41,179.77,477.41,470.00,705.00,297.64,FALSE
1996,WI,Living independently with an essential person,(nonspouse),788.78,1072.05,83.78,132.05,705.00,940.00,48.27,FALSE
1996,WI,Living in household of another with an essential person,(nonspouse),553.78,837.05,83.78,132.05,470.00,705.00,48.27,FALSE
1996,WI,Living independently with an ineligible spouse who is an essential person,,835.43,0.00,130.43,0.00,705.00,0.00,-130.43,FALSE
1996,WI,Living in household of another with an ineligible spouse who is an essential person,,605.05,0.00,135.05,0.00,470.00,0.00,-135.05,FALSE
1997,WI,Living independently,,567.78,858.05,83.78,132.05,484.00,726.00,48.27,FALSE
1997,WI,Living in household of another,,406.45,616.05,83.78,132.05,322.67,484.00,48.27,FALSE
1997,WI,Living independently with an ineligible spouse,,614.43,0.00,130.43,0.00,484.00,0.00,-130.43,FALSE
1997,WI,Living in household of another with ineligible spouse,,457.72,0.00,135.05,0.00,322.67,0.00,-135.05,FALSE
1997,WI,Private nonmedical group home or natural residential settings,,663.77,1203.41,179.77,477.41,484.00,726.00,297.64,FALSE
1997,WI,Living independently with an essential person,(nonspouse),809.78,1100.05,83.78,132.05,726.00,968.00,48.27,FALSE
1997,WI,Living in household of another with an essential person,(nonspouse),567.78,858.05,83.78,132.05,484.00,726.00,48.27,FALSE
1997,WI,Living independently with an ineligible spouse who is an essential person,,856.43,0.00,130.43,0.00,726.00,0.00,-130.43,FALSE
