year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,WY,Living independently,,406,619,20,40,386,579,20,true
1990,WY,Living in the household of another,,277.34,426,20,40,257.34,386,20,true
1991,WY,Living independently,,427,650,20,40,407,610,20,true
1991,WY,Living in the household of another,,291.34,446.67,20,40,271.34,406.67,20,true
1992,WY,Living independently,,442,673,20,40,422,633,20,true
1992,WY,Living in the household of another,,301.34,462,20,40,281.34,422,20,true
1994,WY,Living independently,,455.7,688.4,9.7,19.4,446,669,9.7,true
1994,WY,Living in the household of another,,307.04,465.07,9.7,19.4,297.34000000000003,445.67,9.7,true
1995,WY,Living independently,,467.7,711.6,9.7,24.6,458,687,14.900000000000002,false
1995,WY,Living in the household of another,,318.47,487.74,13.13,29.74,305.34000000000003,458,16.61,false
1996,WY,Living independently,,479.7,729.6,9.7,24.6,470,705,14.900000000000002,false
1996,WY,Living in the household of another,,326.47,499.74,13.13,29.74,313.34000000000003,470,16.61,false
1997,WY,Living independently,,493.7,750.6,9.7,24.6,484,726,14.900000000000002,false
1997,WY,Living in the household of another,,335.8,513.74,13.13,29.74,322.67,484,16.61,false
1998,WY,Living independently,,503.7,765.6,9.7,24.6,494,741,14.900000000000002,false
1998,WY,Living in the household of another,,342.47,523.74,13.13,29.74,329.34000000000003,494,16.61,false
1999,WY,Living independently,,509.7,775.6,9.7,24.6,500,751,14.900000000000002,false
1999,WY,Living in the household of another,,346.47,530.41,13.13,29.74,333.34000000000003,500.66999999999996,16.61,false
2000,WY,Living independently,,521.9,794.12,9.9,25.12,512,769,15.22,false
2000,WY,Living in the household of another,,354.75,543.03,13.41,30.36,341.34,512.67,16.95,false
2004,WY,Living independently,,573.9,871.12,9.9,25.12,564,846,15.22,false
2004,WY,Living in the household of another,,389.41,594.36,13.41,30.36,376,564,16.95,false
2005,WY,Living independently,,589.44,895.48,10.44,26.48,579,869,16.04,false
2005,WY,Living in the household of another,,399.24,611.36,13.24,32.02,386,579.34,18.78,false
2006,WY,Living independently,,613.44,930.48,10.44,26.48,603,904,16.04,false
2006,WY,Living in the household of another,,415.24,635.02,13.24,32.35,402,602.67,19.11,false
2007,WY,Living independently,,648,989.6,25,55.6,623,934,30.6,false
2007,WY,Living in the household of another,,443.14,683.81,27.8,61.14,415.34,622.67,33.34,false
2008,WY,Living independently,,662,1011.6,25,55.6,637,956,30.6,false
2008,WY,Living in the household of another,,452.47,698.48,27.8,61.14,424.67,637.34,33.34,false
2011,WY,Living independently,,699,1066.6,25,55.6,674,1010.9999999999999,30.6,false
2011,WY,Living in the household of another,,477.14,735.14,27.8,61.14,449.34,674,33.34,false
