year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
1990,AL,Receiving personal care in a private home or a personal care home,Level A,446,699,60,120
1990,AL,Receiving personal care in a private home or a personal care home,Level B,442,691,56,112
1990,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level A,317.34,506,60,120
1990,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level B,313.34,498,56,112
1990,AL,Receiving nursing care in a private home or personal care home,,446,699,60,120
1990,AL,Receiving nursing care and support and maintenance in a private home or personal care home,,317.34,506,60,120
1990,AL,Living in foster home with personal care or nursing care,,496,799,110,220
1990,AL,Living in cerebral palsy treatment center,,582,971,196,392
1990,AK,Living independently,,717,1063,331,484
1990,AK,Living independently with ineligible spouse,,862,0,476,0
1990,AK,Living in household of another,,594.34,883,337,497
1990,AK,Living in household of another with ineligible spouse,,681.34,0,424,0
1990,AK,Medicaid facility,,75,150,45,90
1990,AZ,Requires housekeeping services,,456,0,70,0
1990,AZ,Licensed private nursing homes,,466,739,80,160
1990,AZ,Licensed county operated nursing homes,,174,348,174,348
1990,AZ,Licensed supervisory care homes,,436,679,50,100
1990,AZ,Adult foster care homes,,436,679,50,100
1990,AZ,24-hour treatment facilities,,436,679,50,100
1990,CA,Independent living with cooking facilities,Aged and disabled,630,1167,244,588
1990,CA,Independent living with cooking facilities,Blind,704,1372,318,793
1990,CA,Nonmedical out-of-home care,,709,1418,323,839
1990,CA,Independent living without cooking facilities,Aged and disabled,698,1303,312,724
1990,CA,Living in household of another,Aged and disabled,501.34,974,244,588
1990,CA,Living in household of another,Blind,575.34,1179,318,793
1990,CA,Disabled minor in home of parent/guardian/relative,,499,0,113,0
1990,CA,Nonmedical out-of-home careliving in household of another,,580.34,1225,323,839
1990,CA,Disabled minor in the household of another,,370.34,0,113,0
1990,CA,Medicaid facility,,42,84,12,24
1990,CO,Living independently,Aged,444,888,54,309
1990,CO,Living independently,Blind and disabled,390,770,4,191
1990,CO,Adult foster care,,581,0,195,0
1990,CO,Home care,Aged,763,0,377,0
1990,CO,Home care,Blind and disabled,709,0,323,0
1990,CO,Individual with essential spouse,Blind and disabled,514,0,128,0
1990,CT,Independent community living,,752,1104,366,525
1990,DE,Living in adult residential care facility,,526,1027,140,448
1990,DC,Adult foster-care home,(50 beds or less),533.2,1066.4,147.2,487.4
1990,DC,Adult foster-care home,(over 50 beds),643.2,1286.4,257.2,707.4
1990,DC,Living independently,,401,609,15,30
1990,DC,Living in household of another,,272.34,416,15,30
1990,DC,Living independently with an essential person,,594,802,15,30
1990,DC,Living in household of another with an essential person,,401,544.67,15,30
1990,DC,Medicaid facility,,60,120,30,60
