full_name,full_name_upper,short_name,abbr
Alabama,ALABAMA,Ala,AL
Alaska,ALASKA,Alaska,AK
Arizona,ARIZONA,Ariz,AZ
Arkansas,ARKANSAS,Ark,AR
California,CALIFORNIA,Calif,CA
Colorado,COLORADO,Colo,CO
Connecticut,CONNECTICUT,Conn,CT
Delaware,DELAWARE,Del,DE
District of Columbia,DISTRICT OF COLUMBIA,Dis Col,DC
Florida,FLORIDA,Fla,FL
Georgia,GEORGIA,Ga,GA
Hawaii,HAWAII,Hi,HI
Idaho,IDAHO,Ida,ID
Illinois,ILLINIOS,Ill,IL
Indiana,INDIANA,Ind,IN
Iowa,IOWA,Iowa,IA
Kansas,KANSAS,Kan,KS
Kentucky,KENTUCKY,Ky,KY
Louisiana,LOUISIANA,La,LA
Maine,MAINE,Maine,ME
Maryland,MARYLAND,Md,MD
Massachusetts,MASSACHUSETTS,Mass,MA
Michigan,MICHIGAN,Mich,MI
Minnesota,MINNESOTA,Minn,MN
Mississippi,MISSISSIPPI,Miss,MS
Missouri,MISSOURI,Mo,MO
Montana,MONTANA,Mont,MT
Nebraska,NEBRASKA,Neb,NE
Nevada,NEVADA,Nev,NV
New Hampshire,NEW HAMPSHIRE,N Hamp,NH
New Jersey,NEW JERSEY,N Jers,NJ
New Mexico,NEW MEXICO,N Mex,NM
New York,NEW YORK,N York,NY
North Carolina,NORTH CAROLINA,N Car,NC
North Dakota,NORTH DAKOTA,N Dak,ND
Ohio,OHIO,Ohio,OH
Oklahoma,OKLAHOMA,Okla,OK
Oregon,OREGON,Ore,OR
Pennsylvania,PENNSYLVANIA,Pa,PA
Rhode Island,RHODE ISLAND,RI,RI
South Carolina,SOUTH CAROLINA,S Car,SC
South Dakota,SOUTH DAKOTA,S Dak,SD
Tennessee,TENNESSEE,Tenn,TN
Texas,TEXAS,Texas,TX
Utah,UTAH,Utah,UT
Vermont,VERMONT,Vt,VT
Virginia,VIRGINIA,Va,VA
Washington,WASHINGTON,Wash,WA
West Virginia,WEST VIRGINIA,W Va,WV
Wisconsin,WISCONSIN,Wis,WI
Wyoming,WYOMING,Wyo,WY
