year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
1998,AL,Receiving IHC in a private home or a personal care,Level A,554,861,60,120
1998,AL,Receiving IHC in a private home or a personal care,Level B,550,853,56,112
1998,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,389.34,614,60,120
1998,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,385.34,606,56,112
1998,AL,Receiving specialized IHC in a private home or personal care home,,554,861,60,120
1998,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,389.34,614,60,120
1998,AL,Living in foster home with IHC or specialized IHC,,604,961,110,220
1998,AL,Living in cerebral palsy treatment center,,690,1133,196,392
1998,AK,Living independently,,856,1269,362,528
1998,AK,Living independently with ineligible spouse,,1015,N/A,521,N/A
1998,AK,Living in household of another,,697.34,1037,368,543
1998,AK,Living in household of another with ineligible spouse,,793.34,N/A,464,N/A
1998,AK,Medicaid facility,,75,150,45,90
1998,AZ,Requires housekeeping services,,564,N/A,70,N/A
1998,AZ,Licensed supervisory care homes,,544,841,50,100
1998,AZ,Adult foster care homes,,544,841,50,100
1998,AZ,24-hour treatment facilities,,544,841,50,100
1998,AZ,Licensed private nursinghomes,,574,901,80,160
1998,CA,Independent living with cooking facilities,Aged and disabled,650.4,1155.71,156.4,414.71
1998,CA,Independent living with cooking facilities,Blind,705.4,1339.18,211.4,598.18
1998,CA,Nonmedical out-of-home care,,796,1592,302,851
1998,CA,Independent living without cooking facilities,Aged and disabled,718.4,1291.71,224.4,550.71
1998,CA,Living in household of another,Aged and disabled,497.8,946.02,168.46,452.02
1998,CA,Living in household of another,Blind,563.4,1129.49,234.06,635.49
1998,CA,Disabled minor in home of parent,,557.4,N/A,63.4,N/A
1998,CA,Nonmedical out-of-home careliving in household of another,,638.34,1312.33,309,818.33
1998,CA,Disabled minor in the household of another,,396.17,N/A,66.83,N/A
1998,CA,Medicaid facility,,42,84,12,24
1998,CO,Living independently,Aged,533,1086,39,345
1998,CO,Living independently,Blind and disabled,494,979,0,238
1998,CO,Adult foster care,,725,N/A,231,N/A
1998,CO,Home care,Aged,938,N/A,444,N/A
1998,CO,Home care,Blind and disabled,879,N/A,385,N/A
1998,CO,Individual with essential spouse,Blind and disabled,627,N/A,133,N/A
1998,CT,Independent community living,,747,1094,253,353
1998,CT,Licensed room and board facility,,494,741,0,0
1998,DE,Living in adult residential care facility,,634,1189,140,448
1998,DC,Adult foster-care home,(50 beds or less),761,1517,267,776
1998,DC,Adult foster-care home,(over 50 beds),871,1737,377,996
1998,DC,Medicaid facility,,70,140,40,80
1998,FL,Community care program,Adult family care homes,665,N/A,171,N/A
1998,FL,Community care program,Assisted living facilities,665,N/A,171,N/A
1998,FL,Medicaid facility,,35,70,5,10
1998,HI,Living independently,,498.9,749.8,4.9,8.8
1998,HI,Domiciliary Care,(1 to 5 residents),1015.9,2031.8,521.9,1290.8
