year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,CA,Independent living with cooking facilities,Aged and disabled,630.00,1167.00,244.00,588.00,386.00,923.00,344.00,FALSE
1990,CA,Independent living with cooking facilities,Blind,704.00,1372.00,318.00,793.00,386.00,1054.00,475.00,FALSE
1990,CA,Nonmedical out-of-home care,,709.00,1418.00,323.00,839.00,386.00,1095.00,516.00,FALSE
1990,CA,Independent living without cooking facilities,Aged and disabled,698.00,1303.00,312.00,724.00,386.00,991.00,412.00,FALSE
1990,CA,Living in household of another,Aged and disabled,501.34,974.00,244.00,588.00,257.34,730.00,344.00,FALSE
1990,CA,Living in household of another,Blind,575.34,1179.00,318.00,793.00,257.34,861.00,475.00,FALSE
1990,CA,Disabled minor in home of parent/guardian/relative,,499.00,0.00,113.00,0.00,386.00,-113.00,-113.00,FALSE
1990,CA,Nonmedical out-of-home care living in household of another,,580.34,1225.00,323.00,839.00,257.34,902.00,516.00,FALSE
1990,CA,Disabled minor in the household of another,,370.34,0.00,113.00,0.00,257.34,-113.00,-113.00,FALSE
1990,CA,Medicaid facility,,42.00,84.00,12.00,24.00,30.00,72.00,12.00,TRUE
1991,CA,Independent living with cooking facilities,Aged and disabled,630.00,1167.00,223.00,557.00,407.00,944.00,334.00,FALSE
1991,CA,Independent living with cooking facilities,Blind,704.00,1372.00,297.00,762.00,407.00,1075.00,465.00,FALSE
1991,CA,Nonmedical out-of-home care,,709.00,1418.00,302.00,808.00,407.00,1116.00,506.00,FALSE
1991,CA,Independent living without cooking facilities,Aged and disabled,698.00,1303.00,291.00,693.00,407.00,1012.00,402.00,FALSE
1991,CA,Living in household of another,Aged and disabled,501.34,974.00,230.00,567.33,271.34,744.00,337.33,FALSE
1991,CA,Living in household of another,Blind,575.34,1179.00,304.00,772.33,271.34,875.00,468.33,FALSE
1991,CA,Disabled minor in home of parent/guardian/relative,,499.00,0.00,92.00,0.00,407.00,-92.00,-92.00,FALSE
1991,CA,Nonmedical out-of-home care living in household of another,,580.34,1225.00,309.00,818.33,271.34,916.00,509.33,FALSE
1991,CA,Disabled minor in the household of another,,370.34,0.00,99.00,0.00,271.34,-99.00,-99.00,FALSE
1991,CA,Medicaid facility,,42.00,84.00,12.00,24.00,30.00,72.00,12.00,TRUE
1992,CA,Independent living with cooking facilities,Aged and disabled,645.00,1190.00,223.00,557.00,422.00,967.00,334.00,FALSE
1992,CA,Independent living with cooking facilities,Blind,719.00,1395.00,297.00,762.00,422.00,1098.00,465.00,FALSE
1992,CA,Nonmedical out-of-home care,,724.00,1441.00,302.00,808.00,422.00,1139.00,506.00,FALSE
1992,CA,Independent living without cooking facilities,Aged and disabled,713.00,1326.00,291.00,693.00,422.00,1035.00,402.00,FALSE
1992,CA,Living in household of another,Aged and disabled,511.34,989.33,230.00,567.33,281.34,759.33,337.33,FALSE
1992,CA,Living in household of another,Blind,585.34,1194.33,304.00,772.33,281.34,890.33,468.33,FALSE
1992,CA,Disabled minor in home of parent/guardian/relative,,514.00,0.00,92.00,0.00,422.00,-92.00,-92.00,FALSE
1992,CA,Nonmedical out-of-home care living in household of another,,590.34,1240.33,309.00,818.33,281.34,931.33,509.33,FALSE
1992,CA,Disabled minor in the household of another,,380.34,0.00,99.00,0.00,281.34,-99.00,-99.00,FALSE
1992,CA,Medicaid facility,,42.00,84.00,12.00,24.00,30.00,72.00,12.00,TRUE
1994,CA,Independent living with cooking facilities,Aged and disabled,603.40,1109.22,157.40,440.22,446.00,951.82,282.82,FALSE
