year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,CO,Living independently or in the home of another,Aged,444.00,888.00,54.00,309.00,390.00,579.00,255.00,FALSE
1990,CO,Living independently,Blind/Disabled,390.00,770.00,4.00,191.00,386.00,579.00,187.00,FALSE
1990,CO,Adult foster care,Blind/Disabled,581.00,0.00,195.00,0.00,386.00,0.00,-195.00,FALSE
1990,CO,Home care,Aged,763.00,0.00,377.00,0.00,386.00,0.00,-377.00,FALSE
1990,CO,Home care,Blind/Disabled,709.00,0.00,323.00,0.00,386.00,0.00,-323.00,FALSE
1990,CO,Individual with essential spouse,Blind/Disabled,514.00,0.00,128.00,0.00,386.00,0.00,-128.00,FALSE
1991,CO,Living independently or in the home of another,Aged,452.00,904.00,45.00,294.00,407.00,610.00,249.00,FALSE
1991,CO,Living independently,Blind/Disabled,407.00,814.00,0.00,204.00,407.00,610.00,204.00,FALSE
1991,CO,Adult foster care,Blind/Disabled,604.00,0.00,197.00,0.00,407.00,0.00,-197.00,FALSE
1991,CO,Home care,Aged,771.00,0.00,364.00,0.00,407.00,0.00,-364.00,FALSE
1991,CO,Home care,Blind/Disabled,726.00,0.00,319.00,0.00,407.00,0.00,-319.00,FALSE
1991,CO,Individual with essential spouse,Blind/Disabled,535.00,0.00,128.00,0.00,407.00,0.00,-128.00,FALSE
1992,CO,Living independently or in the home of another,Aged,478.00,956.00,56.00,323.00,422.00,633.00,267.00,FALSE
1992,CO,Living independently,Blind/Disabled,422.00,844.00,0.00,211.00,422.00,633.00,211.00,FALSE
1992,CO,Adult foster care,Blind/Disabled,628.00,0.00,206.00,0.00,422.00,0.00,-206.00,FALSE
1992,CO,Home care,Aged,778.00,0.00,356.00,0.00,422.00,0.00,-356.00,FALSE
1992,CO,Home care,Blind/Disabled,722.00,0.00,300.00,0.00,422.00,0.00,-300.00,FALSE
1992,CO,Individual with essential spouse,Blind/Disabled,550.00,0.00,128.00,0.00,422.00,0.00,-128.00,FALSE
1994,CO,Living independently or in the home of another,Aged,502.00,992.00,56.00,323.00,446.00,669.00,267.00,FALSE
1994,CO,Living independently,Blind/Disabled,446.00,880.00,0.00,211.00,446.00,669.00,211.00,FALSE
1994,CO,Adult foster care,Blind/Disabled,652.00,0.00,206.00,0.00,446.00,0.00,-206.00,FALSE
1994,CO,Home care,Aged,802.00,0.00,356.00,0.00,446.00,0.00,-356.00,FALSE
1994,CO,Home care,Blind/Disabled,746.00,0.00,300.00,0.00,446.00,0.00,-300.00,FALSE
1994,CO,Individual with essential spouse,Blind/Disabled,574.00,0.00,128.00,0.00,446.00,0.00,-128.00,FALSE
1995,CO,Living independently or in the home of another,Aged,514.00,1010.00,56.00,323.00,458.00,687.00,267.00,FALSE
1995,CO,Living independently,Blind/Disabled,458.00,898.00,0.00,211.00,458.00,687.00,211.00,FALSE
1995,CO,Adult foster care,Blind/Disabled,664.00,0.00,206.00,0.00,458.00,0.00,-206.00,FALSE
1995,CO,Home care,Aged,814.00,0.00,356.00,0.00,458.00,0.00,-356.00,FALSE
1995,CO,Home care,Blind/Disabled,758.00,0.00,300.00,0.00,458.00,0.00,-300.00,FALSE
1995,CO,Individual with essential spouse,Blind/Disabled,586.00,0.00,128.00,0.00,458.00,0.00,-128.00,FALSE
1996,CO,Living independently or in the home of another,Aged,526.00,1028.00,56.00,323.00,470.00,705.00,267.00,FALSE
1996,CO,Living independently,Blind/Disabled,470.00,916.00,0.00,211.00,470.00,705.00,211.00,FALSE
1996,CO,Adult foster care,Blind/Disabled,676.00,0.00,206.00,0.00,470.00,0.00,-206.00,FALSE
1996,CO,Home care,Aged,826.00,0.00,356.00,0.00,470.00,0.00,-356.00,FALSE
1996,CO,Home care,Blind/Disabled,770.00,0.00,300.00,0.00,470.00,0.00,-300.00,FALSE
1996,CO,Individual with essential spouse,Blind/Disabled,598.00,0.00,128.00,0.00,470.00,0.00,-128.00,FALSE
1997,CO,Living independently or in the home of another,Aged,546.00,1072.00,62.00,346.00,484.00,726.00,284.00,FALSE
1997,CO,Living independently,Blind/Disabled,484.00,964.00,0.00,238.00,484.00,726.00,238.00,FALSE
1997,CO,Adult foster care,Blind/Disabled,699.00,0.00,215.00,0.00,484.00,0.00,-215.00,FALSE
1997,CO,Home care,Aged,851.00,0.00,367.00,0.00,484.00,0.00,-367.00,FALSE
1997,CO,Home care,Blind/Disabled,851.00,0.00,367.00,0.00,484.00,0.00,-367.00,FALSE
1997,CO,Individual with essential spouse,Blind/Disabled,617.00,0.00,133.00,0.00,484.00,0.00,-133.00,FALSE
1998,CO,Living independently or in the home of another,Aged,533.00,1086.00,39.00,345.00,494.00,741.00,306.00,FALSE
1998,CO,Living independently,Blind/Disabled,494.00,979.00,0.00,238.00,494.00,741.00,238.00,FALSE
1998,CO,Adult foster care,Blind/Disabled,725.00,0.00,231.00,0.00,494.00,0.00,-231.00,FALSE
1998,CO,Home care,Aged,938.00,0.00,444.00,0.00,494.00,0.00,-444.00,FALSE
1998,CO,Home care,Blind/Disabled,879.00,0.00,385.00,0.00,494.00,0.00,-385.00,FALSE
1998,CO,Individual with essential spouse,Blind/Disabled,627.00,0.00,133.00,0.00,494.00,0.00,-133.00,FALSE
1999,CO,Living independently or in the home of another,Aged,536.00,1072.00,36.00,321.00,500.00,751.00,285.00,FALSE
1999,CO,Living independently,Blind/Disabled,500.00,1000.00,0.00,249.00,500.00,751.00,249.00,FALSE
1999,CO,Adult foster care,Blind/Disabled,730.00,0.00,230.00,0.00,500.00,0.00,-230.00,FALSE
1999,CO,Home care,Aged,932.00,0.00,432.00,0.00,500.00,0.00,-432.00,FALSE
1999,CO,Home care,Blind/Disabled,896.00,0.00,396.00,0.00,500.00,0.00,-396.00,FALSE
1999,CO,Individual with essential spouse,Blind/Disabled,730.00,0.00,230.00,0.00,500.00,0.00,-230.00,FALSE
2000,CO,Living independently or in the home of another,Aged,548.00,1096.00,36.00,327.00,512.00,769.00,291.00,FALSE
2000,CO,Living independently,Blind/Disabled,512.00,1024.00,0.00,255.00,512.00,769.00,255.00,FALSE
2000,CO,Adult foster care,Blind/Disabled,742.00,0.00,230.00,0.00,512.00,0.00,-230.00,FALSE
2000,CO,Home care,Aged,944.00,0.00,432.00,0.00,512.00,0.00,-432.00,FALSE
2000,CO,Home care,Blind/Disabled,908.00,0.00,396.00,0.00,512.00,0.00,-396.00,FALSE
2000,CO,Individual with essential spouse,Blind/Disabled,769.00,0.00,257.00,0.00,512.00,0.00,-257.00,FALSE
2004,CO,Living independently or in the home of another,Aged,601.00,1193.00,37.00,347.00,564.00,846.00,310.00,FALSE
2004,CO,Adult foster care,Blind/Disabled,803.00,1588.00,239.00,742.00,564.00,846.00,503.00,FALSE
2004,CO,Home care,Aged,967.00,0.00,403.00,0.00,564.00,0.00,-403.00,FALSE
2004,CO,Home care,Blind/Disabled,967.00,0.00,403.00,0.00,564.00,0.00,-403.00,FALSE
2005,CO,Living independently or in the home of another,Aged,604.00,1208.00,25.00,339.00,579.00,869.00,314.00,FALSE
2005,CO,Adult foster care,Blind/Disabled,818.00,1611.00,239.00,742.00,579.00,869.00,503.00,FALSE
2005,CO,Home care,Aged,982.00,0.00,403.00,0.00,579.00,0.00,-403.00,FALSE
2005,CO,Home care,Blind/Disabled,982.00,0.00,403.00,0.00,579.00,0.00,-403.00,FALSE
2006,CO,Living independently or in the home of another,Aged,628.00,1256.00,25.00,352.00,603.00,904.00,327.00,FALSE
2006,CO,Adult foster care,Blind/Disabled,873.69,1747.38,270.69,843.38,603.00,904.00,572.69,FALSE
2006,CO,Home care,Aged,1067.15,0.00,464.15,0.00,603.00,0.00,-464.15,FALSE
2006,CO,Home care,Blind/Disabled,1067.15,0.00,464.15,0.00,603.00,0.00,-464.15,FALSE
2007,CO,Living independently or in the home of another,Aged,648.00,1296.00,25.00,362.00,623.00,934.00,337.00,FALSE
2007,CO,Adult foster care,Blind/Disabled,918.00,1836.00,295.00,902.00,623.00,934.00,607.00,FALSE
2007,CO,Home care,Aged,1087.15,0.00,464.15,0.00,623.00,0.00,-464.15,FALSE
2007,CO,Home care,Blind/Disabled,1087.15,0.00,464.15,0.00,623.00,0.00,-464.15,FALSE
