year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,CT,Independent community living,,752.00,1104.00,366.00,525.00,386.00,579.00,159.00,FALSE
1991,CT,Independent community living,,766.00,1132.00,359.00,522.00,407.00,610.00,163.00,FALSE
1992,CT,Independent community living,,747.10,1094.20,325.10,461.20,422.00,633.00,136.10,FALSE
1994,CT,Independent community living,,747.10,1094.20,301.10,425.20,446.00,669.00,124.10,FALSE
1995,CT,Independent community living,,747.00,1093.00,289.00,406.00,458.00,687.00,117.00,FALSE
1996,CT,Independent community living,,747.00,1094.00,277.00,389.00,470.00,705.00,112.00,FALSE
1997,CT,Independent community living,,747.00,1094.00,263.00,368.00,484.00,726.00,105.00,FALSE
1998,CT,Independent community living,,747.00,1094.00,253.00,353.00,494.00,741.00,100.00,FALSE
1998,CT,Licensed room and board facility,,494.00,741.00,0.00,0.00,494.00,741.00,0.00,TRUE
1999,CT,Independent community living,,747.00,1094.00,247.00,343.00,500.00,751.00,96.00,FALSE
1999,CT,Licensed room and board facility,,500.00,751.00,0.00,0.00,500.00,751.00,0.00,TRUE
1999,CT,Medicaid facility,,50.00,100.00,20.00,40.00,30.00,60.00,20.00,TRUE
2000,CT,Independent community living,,747.00,1094.00,235.00,325.00,512.00,769.00,90.00,FALSE
2000,CT,Licensed room and board facility,,512.00,769.00,0.00,0.00,512.00,769.00,0.00,TRUE
2000,CT,Medicaid facility,,51.00,102.00,21.00,42.00,30.00,60.00,21.00,TRUE
2004,CT,Independent community living,,747.00,1096.00,183.00,250.00,564.00,846.00,67.00,FALSE
2004,CT,Licensed room and board facility,,564.00,846.00,0.00,0.00,564.00,846.00,0.00,TRUE
2004,CT,Medicaid facility,,56.00,112.00,26.00,52.00,30.00,60.00,26.00,TRUE
2005,CT,Independent community living,,747.00,1096.00,168.00,227.00,579.00,869.00,59.00,FALSE
2005,CT,Licensed room and board facility,,579.00,869.00,0.00,0.00,579.00,869.00,0.00,TRUE
2005,CT,Medicaid facility,,57.00,114.00,27.00,54.00,30.00,60.00,27.00,TRUE
2006,CT,Independent community living,,771.00,1144.00,168.00,240.00,603.00,904.00,72.00,FALSE
2006,CT,Licensed room and board facility,,603.00,904.00,0.00,0.00,603.00,904.00,0.00,TRUE
2006,CT,Medicaid facility,,59.00,118.00,29.00,58.00,30.00,60.00,29.00,TRUE
2007,CT,Independent community living,,791.00,1184.00,168.00,250.00,623.00,934.00,82.00,FALSE
2007,CT,Licensed room and board facility,,623.00,934.00,0.00,0.00,623.00,934.00,0.00,TRUE
2007,CT,Medicaid facility,,61.00,122.00,31.00,62.00,30.00,60.00,31.00,TRUE
2008,CT,Independent community living,,805.00,1212.00,168.00,256.00,637.00,956.00,88.00,FALSE
2008,CT,Licensed room and board facility,,637.00,956.00,0.00,0.00,637.00,956.00,0.00,TRUE
2008,CT,Medicaid facility,,63.00,126.00,33.00,66.00,30.00,60.00,33.00,TRUE
2011,CT,Independent community living,,842.00,1285.00,168.00,274.00,674.00,1011.00,106.00,FALSE
2011,CT,Licensed room and board facility,,674.00,1011.00,0.00,0.00,674.00,1011.00,0.00,TRUE
2011,CT,Medicaid facility,,69.00,138.00,39.00,78.00,30.00,60.00,39.00,TRUE
