year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,HI,Living independently,,390.90,587.80,4.90,8.80,386.00,579.00,3.90,FALSE
1990,HI,Domiciliary care facility,I,650.90,1301.80,264.90,722.80,386.00,579.00,457.90,FALSE
1990,HI,Domiciliary care facility,II,735.90,1471.80,349.90,892.80,386.00,579.00,542.90,FALSE
1990,HI,Domiciliary care facility,III,837.90,1675.80,451.90,1096.80,386.00,579.00,644.90,FALSE
1991,HI,Living independently,,411.90,618.80,4.90,8.80,407.00,610.00,3.90,FALSE
1991,HI,Domiciliary care facility,I,671.90,1343.80,264.90,733.80,407.00,610.00,468.90,FALSE
1991,HI,Domiciliary care facility,II,756.90,1513.80,349.90,903.80,407.00,610.00,553.90,FALSE
1991,HI,Domiciliary care facility,III,858.90,1717.80,451.90,1107.80,407.00,610.00,655.90,FALSE
1992,HI,Living independently,,426.90,641.80,4.90,8.80,422.00,633.00,3.90,FALSE
1992,HI,Domiciliary care facility,I,686.90,1373.80,264.90,740.80,422.00,633.00,475.90,FALSE
1992,HI,Domiciliary care facility,II,771.90,1543.80,349.90,910.80,422.00,633.00,560.90,FALSE
1992,HI,Domiciliary care facility,III,873.90,1747.80,451.90,1114.80,422.00,633.00,662.90,FALSE
1994,HI,Living independently,,450.90,677.80,4.90,8.80,446.00,669.00,3.90,FALSE
1994,HI,Domiciliary care facility,I,730.90,1461.80,284.90,792.80,446.00,669.00,507.90,FALSE
1994,HI,Domiciliary care facility,II,815.90,1631.80,369.90,962.80,446.00,669.00,592.90,FALSE
1994,HI,Domiciliary care facility,III,917.90,1835.80,471.90,1166.80,446.00,669.00,694.90,FALSE
1995,HI,Living independently,,462.90,695.80,4.90,8.80,458.00,687.00,3.90,FALSE
1995,HI,Domiciliary care facility,I,742.90,1485.80,284.90,798.80,458.00,687.00,513.90,FALSE
1995,HI,Domiciliary care facility,II,827.90,1655.80,369.90,968.80,458.00,687.00,598.90,FALSE
1995,HI,Domiciliary care facility,III,929.90,1859.80,471.90,1172.80,458.00,687.00,700.90,FALSE
1996,HI,Living independently,,474.90,713.80,4.90,8.80,470.00,705.00,3.90,FALSE
1996,HI,Domiciliary care facility,I,754.90,1509.80,284.90,804.80,470.00,705.00,519.90,FALSE
1996,HI,Domiciliary care facility,II,839.90,1679.80,369.90,974.80,470.00,705.00,604.90,FALSE
1996,HI,Domiciliary care facility,III,941.90,1883.80,471.90,1178.80,470.00,705.00,706.90,FALSE
1997,HI,Living independently,,488.90,734.80,4.90,8.80,484.00,726.00,3.90,FALSE
1997,HI,Domiciliary care facility,I,768.90,1537.80,284.90,811.80,484.00,726.00,526.90,FALSE
1997,HI,Domiciliary care facility,II,853.90,1707.80,369.90,981.80,484.00,726.00,611.90,FALSE
1997,HI,Domiciliary care facility,III,955.90,1911.80,471.90,1185.80,484.00,726.00,713.90,FALSE
1998,HI,Living independently,,498.90,749.80,4.90,8.80,494.00,741.00,3.90,FALSE
1998,HI,Domiciliary care facility,(1 to 5 residents),1015.90,2031.80,521.90,1290.80,494.00,741.00,768.90,FALSE
1998,HI,Domiciliary care facility,(6 or more residents),1123.90,2247.80,629.90,1506.80,494.00,741.00,876.90,FALSE
1999,HI,Living independently,,504.90,759.80,4.90,8.80,500.00,751.00,3.90,FALSE
1999,HI,Domiciliary care facility,(1 to 5 residents),1021.90,2043.80,521.90,1292.80,500.00,751.00,770.90,FALSE
1999,HI,Domiciliary care facility,(6 or more residents),1129.90,2259.80,629.90,1508.80,500.00,751.00,878.90,FALSE
2000,HI,Living independently,,516.90,777.80,4.90,8.80,512.00,769.00,3.90,FALSE
2000,HI,Domiciliary care facility,(1 to 5 residents),1033.90,2067.80,521.90,1298.80,512.00,769.00,776.90,FALSE
2000,HI,Domiciliary care facility,(6 or more residents),1141.90,2283.80,629.90,1514.80,512.00,769.00,884.90,FALSE
2004,HI,Foster care home,,1085.90,2171.80,521.90,1325.80,564.00,846.00,803.90,FALSE
2004,HI,Domiciliary care facility,(1 to 5 residents),1085.90,2171.80,521.90,1325.80,564.00,846.00,803.90,FALSE
2004,HI,Domiciliary care facility,(6 or more residents),1193.90,2387.80,629.90,1541.80,564.00,846.00,911.90,FALSE
2005,HI,Foster care home,,1100.90,2201.80,521.90,1332.80,579.00,869.00,810.90,FALSE
2005,HI,Domiciliary care facility,(1 to 5 residents),1100.90,2201.80,521.90,1332.80,579.00,869.00,810.90,FALSE
2005,HI,Domiciliary care facility,(6 or more residents),1208.90,2417.80,629.90,1548.80,579.00,869.00,918.90,FALSE
2006,HI,Foster care home,,1124.90,2249.80,521.90,1345.80,603.00,904.00,823.90,FALSE
2006,HI,Domiciliary care facility,(1 to 5 residents),1124.90,2249.80,521.90,1345.80,603.00,904.00,823.90,FALSE
2006,HI,Domiciliary care facility,(6 or more residents),1232.90,2465.80,629.90,1561.80,603.00,904.00,931.90,FALSE
2007,HI,Foster care home,,1244.90,2489.80,621.90,1555.80,623.00,934.00,933.90,FALSE
2007,HI,Domiciliary care facility,(1 to 5 residents),1244.90,2489.80,621.90,1555.80,623.00,934.00,933.90,FALSE
2007,HI,Domiciliary care facility,(6 or more residents),1352.90,2705.80,729.90,1771.80,623.00,934.00,1041.90,FALSE
2008,HI,Foster care home,,1278.90,2557.90,641.90,1601.80,637.00,956.10,959.90,FALSE
2008,HI,Medicaid facility,,50.00,100.00,20.00,40.00,30.00,60.00,20.00,TRUE
2008,HI,Domiciliary care facility,(1 to 5 residents),1278.90,2557.90,641.90,1601.80,637.00,956.10,959.90,FALSE
2008,HI,Domiciliary care facility,(6 or more residents),1386.90,2773.80,749.90,1817.80,637.00,956.00,1067.90,FALSE
2011,HI,Foster care home,,1325.90,2651.80,651.90,1640.80,674.00,1011.00,988.90,FALSE
2011,HI,Medicaid facility,,50.00,100.00,20.00,40.00,30.00,60.00,20.00,TRUE
2011,HI,Domiciliary care facility,(1 to 5 residents),1325.90,2651.80,651.90,1640.80,674.00,1011.00,988.90,FALSE
2011,HI,Domiciliary care facility,(6 or more residents),1433.90,2867.80,759.90,1856.80,674.00,1011.00,1096.90,FALSE
