year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,IN,Licensed residential facility,,789.00,0.00,403.00,0.00,386.00,0.00,-403.00,FALSE
1991,IN,Licensed residential facility,,789.00,0.00,382.00,0.00,407.00,0.00,-382.00,FALSE
1992,IN,Licensed residential facility,,789.00,0.00,367.00,0.00,422.00,0.00,-367.00,FALSE
1994,IN,Licensed residential facility,,789.00,0.00,343.00,0.00,446.00,0.00,-343.00,FALSE
1995,IN,Licensed residential facility,,789.00,0.00,331.00,0.00,458.00,0.00,-331.00,FALSE
1996,IN,Licensed residential facility,,1100.36,0.00,630.36,0.00,470.00,0.00,-630.36,FALSE
1997,IN,Licensed residential facility,,1100.36,0.00,616.36,0.00,484.00,0.00,-616.36,FALSE
1998,IN,Licensed residential facility,,1220.20,0.00,726.20,0.00,494.00,0.00,-726.20,FALSE
1999,IN,Licensed residential facility,,1269.61,0.00,769.61,0.00,500.00,0.00,-769.61,FALSE
2000,IN,Licensed residential facility,,1348.79,0.00,836.79,0.00,512.00,0.00,-836.79,FALSE
2004,IN,Licensed residential facility,,1271.85,0.00,707.85,0.00,564.00,0.00,-707.85,FALSE
2004,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
2005,IN,Licensed residential facility,,1196.85,0.00,617.85,0.00,579.00,0.00,-617.85,FALSE
2005,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
2006,IN,Licensed residential facility,,1196.90,0.00,593.90,0.00,603.00,0.00,-593.90,FALSE
2006,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
2007,IN,Licensed residential facility,,1216.90,0.00,593.90,0.00,623.00,0.00,-593.90,FALSE
2007,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
2008,IN,Licensed residential facility,,1196.90,0.00,559.90,0.00,637.00,0.00,-559.90,FALSE
2008,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
2011,IN,Licensed residential facility,,1501.06,0.00,827.06,0.00,674.00,0.00,-827.06,FALSE
2011,IN,Medicaid facility,,52.00,104.00,22.00,44.00,30.00,60.00,22.00,TRUE
