year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1991,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1992,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1994,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1995,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1996,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1997,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1998,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
1999,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2000,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2004,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2005,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2006,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2007,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2008,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
2011,LA,Medicaid facility,,38.00,76.00,8.00,16.00,30.00,60.00,8.00,TRUE
