year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MD,Care home,Minimal supervision,457.75,0.00,71.75,0.00,386.00,0.00,-71.75,FALSE
1990,MD,Care home,Moderate supervision,584.75,0.00,198.75,0.00,386.00,0.00,-198.75,FALSE
1990,MD,Care home,Specialized and intensive supervision,1063.75,0.00,677.75,0.00,386.00,0.00,-677.75,FALSE
1990,MD,DomCare,,604.75,0.00,218.75,0.00,386.00,0.00,-218.75,FALSE
1991,MD,Care home,Minimal supervision,480.00,0.00,73.00,0.00,407.00,0.00,-73.00,FALSE
1991,MD,Care home,Moderate supervision,613.00,0.00,206.00,0.00,407.00,0.00,-206.00,FALSE
1991,MD,Care home,Extensive supervision,865.00,0.00,458.00,0.00,407.00,0.00,-458.00,FALSE
1991,MD,Care home,Specialized and intensive supervision,1116.00,0.00,709.00,0.00,407.00,0.00,-709.00,FALSE
1991,MD,DomCare,,654.00,0.00,247.00,0.00,407.00,0.00,-247.00,FALSE
1992,MD,Care home,Minimal supervision,500.00,0.00,78.00,0.00,422.00,0.00,-78.00,FALSE
1992,MD,Care home,Moderate supervision,633.00,0.00,211.00,0.00,422.00,0.00,-211.00,FALSE
1992,MD,Care home,Extensive supervision,885.00,0.00,463.00,0.00,422.00,0.00,-463.00,FALSE
1992,MD,Care home,Specialized and intensive supervision,1136.00,0.00,714.00,0.00,422.00,0.00,-714.00,FALSE
1992,MD,DomCare,,654.00,0.00,232.00,0.00,422.00,0.00,-232.00,FALSE
1994,MD,Care home,Minimal supervision,512.00,0.00,66.00,0.00,446.00,0.00,-66.00,FALSE
1994,MD,Care home,Moderate supervision,633.00,0.00,187.00,0.00,446.00,0.00,-187.00,FALSE
1994,MD,Care home,Extensive supervision,909.00,0.00,463.00,0.00,446.00,0.00,-463.00,FALSE
1994,MD,Care home,Specialized and intensive supervision,1136.00,0.00,690.00,0.00,446.00,0.00,-690.00,FALSE
1994,MD,DomCare,,654.00,0.00,208.00,0.00,446.00,0.00,-208.00,FALSE
1995,MD,Care home,Minimal supervision,524.00,0.00,66.00,0.00,458.00,0.00,-66.00,FALSE
1995,MD,Care home,Moderate supervision,633.00,0.00,175.00,0.00,458.00,0.00,-175.00,FALSE
1995,MD,Care home,Extensive supervision,921.00,0.00,463.00,0.00,458.00,0.00,-463.00,FALSE
1995,MD,Care home,Specialized and intensive supervision,1136.00,0.00,678.00,0.00,458.00,0.00,-678.00,FALSE
1995,MD,DomCare,,654.00,0.00,196.00,0.00,458.00,0.00,-196.00,FALSE
1996,MD,Care home,Minimal supervision,536.00,0.00,66.00,0.00,470.00,0.00,-66.00,FALSE
1996,MD,Care home,Moderate supervision,645.00,0.00,175.00,0.00,470.00,0.00,-175.00,FALSE
1996,MD,Care home,Extensive supervision,933.00,0.00,463.00,0.00,470.00,0.00,-463.00,FALSE
1996,MD,Care home,Specialized and intensive supervision,1136.00,0.00,666.00,0.00,470.00,0.00,-666.00,FALSE
1996,MD,DomCare,,654.00,0.00,184.00,0.00,470.00,0.00,-184.00,FALSE
1997,MD,Care home,Minimal supervision,550.00,0.00,66.00,0.00,484.00,0.00,-66.00,FALSE
1997,MD,Care home,Moderate supervision,659.00,0.00,175.00,0.00,484.00,0.00,-175.00,FALSE
1997,MD,Care home,Extensive supervision,947.00,0.00,463.00,0.00,484.00,0.00,-463.00,FALSE
1997,MD,Care home,Specialized and intensive supervision,1150.00,0.00,666.00,0.00,484.00,0.00,-666.00,FALSE
1997,MD,DomCare,,654.00,0.00,170.00,0.00,484.00,0.00,-170.00,FALSE
1998,MD,Care home,Minimal supervision,560.00,0.00,66.00,0.00,494.00,0.00,-66.00,FALSE
1998,MD,Care home,Moderate supervision,669.00,0.00,175.00,0.00,494.00,0.00,-175.00,FALSE
1998,MD,Care home,Extensive supervision,957.00,0.00,463.00,0.00,494.00,0.00,-463.00,FALSE
1998,MD,Care home,Specialized and intensive supervision,1160.00,0.00,666.00,0.00,494.00,0.00,-666.00,FALSE
1998,MD,DomCare,,678.00,0.00,184.00,0.00,494.00,0.00,-184.00,FALSE
1999,MD,Care home,Minimal supervision,566.00,0.00,66.00,0.00,500.00,0.00,-66.00,FALSE
1999,MD,Care home,Moderate supervision,675.00,0.00,175.00,0.00,500.00,0.00,-175.00,FALSE
1999,MD,Care home,Extensive supervision,963.00,0.00,463.00,0.00,500.00,0.00,-463.00,FALSE
1999,MD,Care home,Specialized and intensive supervision,1166.00,0.00,666.00,0.00,500.00,0.00,-666.00,FALSE
1999,MD,DomCare,,684.00,0.00,184.00,0.00,500.00,0.00,-184.00,FALSE
2000,MD,Care home,Minimal supervision,578.00,1156.00,66.00,132.00,512.00,1024.00,66.00,TRUE
2000,MD,Care home,Moderate supervision,687.00,1374.00,175.00,350.00,512.00,1024.00,175.00,TRUE
2000,MD,Care home,Extensive supervision,975.00,1950.00,463.00,926.00,512.00,1024.00,463.00,TRUE
2000,MD,Care home,Specialized and intensive supervision,1178.00,2356.00,666.00,1332.00,512.00,1024.00,666.00,TRUE
2000,MD,DomCare,,696.00,1392.00,184.00,368.00,512.00,1024.00,184.00,TRUE
2004,MD,Care home,Minimal supervision,630.00,1260.00,66.00,132.00,564.00,1128.00,66.00,TRUE
2004,MD,Care home,Moderate supervision,739.00,1478.00,175.00,350.00,564.00,1128.00,175.00,TRUE
2004,MD,Care home,Extensive supervision,1027.00,2054.00,463.00,926.00,564.00,1128.00,463.00,TRUE
2004,MD,Care home,Specialized and intensive supervision,1230.00,2460.00,666.00,1332.00,564.00,1128.00,666.00,TRUE
2004,MD,Assisted living facility,,748.00,1496.00,184.00,368.00,564.00,1128.00,184.00,TRUE
2005,MD,Care home,Minimal supervision,645.00,1290.00,66.00,132.00,579.00,1158.00,66.00,TRUE
2005,MD,Care home,Moderate supervision,754.00,1508.00,175.00,350.00,579.00,1158.00,175.00,TRUE
2005,MD,Care home,Extensive supervision,1042.00,2084.00,463.00,926.00,579.00,1158.00,463.00,TRUE
2005,MD,Care home,Specialized and intensive supervision,1245.00,2490.00,666.00,1332.00,579.00,1158.00,666.00,TRUE
2005,MD,Assisted living facility,,763.00,1526.00,184.00,368.00,579.00,1158.00,184.00,TRUE
2006,MD,Care home,Minimal supervision,669.00,1338.00,66.00,132.00,603.00,1206.00,66.00,TRUE
2006,MD,Care home,Moderate supervision,778.00,1556.00,175.00,350.00,603.00,1206.00,175.00,TRUE
2006,MD,Care home,Extensive supervision,1066.00,2132.00,463.00,926.00,603.00,1206.00,463.00,TRUE
2006,MD,Care home,Specialized and intensive supervision,1269.00,2538.00,666.00,1332.00,603.00,1206.00,666.00,TRUE
