year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,MI,Living independently,,416.20,624.30,30.20,45.30,386.00,579.00,15.10,FALSE
1990,MI,Living in household of another,,278.34,417.50,21.00,31.50,257.34,386.00,10.50,FALSE
1990,MI,Domiciliary care,,473.00,946.00,87.00,367.00,386.00,579.00,280.00,FALSE
1990,MI,Personal care facility,,543.50,1087.00,157.50,508.00,386.00,579.00,350.50,FALSE
1990,MI,Home for the aged,,565.30,1130.60,179.30,551.60,386.00,579.00,372.30,FALSE
1990,MI,Living independently with essential person,,609.20,817.30,30.20,45.30,579.00,772.00,15.10,FALSE
1990,MI,Living in the household of another with essential person,,407.00,546.17,21.00,31.50,386.00,514.67,10.50,FALSE
1990,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1991,MI,Living independently,,437.80,656.20,30.80,46.20,407.00,610.00,15.40,FALSE
1991,MI,Living in household of another,,292.74,438.77,21.40,32.10,271.34,406.67,10.70,FALSE
1991,MI,Domiciliary care,,498.00,996.00,91.00,386.00,407.00,610.00,295.00,FALSE
1991,MI,Personal care facility,,568.50,1137.00,161.50,527.00,407.00,610.00,365.50,FALSE
1991,MI,Home for the aged,,590.30,1180.60,183.30,570.60,407.00,610.00,387.30,FALSE
1991,MI,Living independently with essential person,,641.80,860.20,30.80,46.20,611.00,814.00,15.40,FALSE
1991,MI,Living in the household of another with essential person,,428.74,574.78,21.40,32.10,407.34,542.68,10.70,FALSE
1991,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1992,MI,Living independently,,436.00,654.00,14.00,21.00,422.00,633.00,7.00,FALSE
1992,MI,Living in household of another,,290.67,436.00,9.33,14.00,281.34,422.00,4.67,FALSE
1992,MI,Domiciliary care,,509.00,1018.00,87.00,385.00,422.00,633.00,298.00,FALSE
1992,MI,Personal care facility,,579.50,1159.00,157.50,526.00,422.00,633.00,368.50,FALSE
1992,MI,Home for the aged,,601.30,1202.60,179.30,569.60,422.00,633.00,390.30,FALSE
1992,MI,Living independently with essential person,,647.00,865.00,14.00,21.00,633.00,844.00,7.00,FALSE
1992,MI,Living in the household of another with essential person,,431.33,576.67,9.33,14.00,422.00,562.67,4.67,FALSE
1992,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1994,MI,Living independently,,460.00,690.00,14.00,21.00,446.00,669.00,7.00,FALSE
1994,MI,Living in household of another,,306.67,460.00,9.33,14.00,297.34,446.00,4.67,FALSE
1994,MI,Domiciliary care,,521.00,1042.00,75.00,373.00,446.00,669.00,298.00,FALSE
1994,MI,Personal care facility,,591.50,1183.00,145.50,514.00,446.00,669.00,368.50,FALSE
1994,MI,Home for the aged,,613.30,1226.60,167.30,557.60,446.00,669.00,390.30,FALSE
1994,MI,Living independently with essential person,,683.00,913.00,14.00,21.00,669.00,892.00,7.00,FALSE
1994,MI,Living in the household of another with essential person,,455.33,608.67,9.33,14.00,446.00,594.67,4.67,FALSE
1994,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1995,MI,Living independently,,472.00,715.00,14.00,28.00,458.00,687.00,14.00,TRUE
1995,MI,Living in household of another,,314.67,476.66,9.33,18.66,305.34,458.00,9.33,TRUE
1995,MI,Domiciliary care,,533.00,1066.00,75.00,379.00,458.00,687.00,304.00,FALSE
1995,MI,Personal care facility,,603.50,1207.00,145.50,520.00,458.00,687.00,374.50,FALSE
1995,MI,Home for the aged,,625.30,1250.60,167.30,563.60,458.00,687.00,396.30,FALSE
1995,MI,Living independently with essential person,,701.00,937.00,14.00,21.00,687.00,916.00,7.00,FALSE
1995,MI,Living in the household of another with essential person,,467.33,624.67,9.33,14.00,458.00,610.67,4.67,FALSE
1995,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1996,MI,Living independently,,484.00,733.00,14.00,28.00,470.00,705.00,14.00,TRUE
1996,MI,Living in household of another,,322.67,488.66,9.33,18.66,313.34,470.00,9.33,TRUE
1996,MI,Domiciliary care,,545.00,1084.00,75.00,379.00,470.00,705.00,304.00,FALSE
1996,MI,Personal care facility,,615.50,1225.00,145.50,520.00,470.00,705.00,374.50,FALSE
1996,MI,Home for the aged,,637.30,1268.60,167.30,563.60,470.00,705.00,396.30,FALSE
1996,MI,Living independently with essential person,,719.00,961.00,14.00,21.00,705.00,940.00,7.00,FALSE
1996,MI,Living in the household of another with essential person,,479.33,640.67,9.33,14.00,470.00,626.67,4.67,FALSE
1996,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
1997,MI,Living independently,,498.00,754.00,14.00,28.00,484.00,726.00,14.00,TRUE
1997,MI,Living in household of another,,332.00,502.66,9.33,18.66,322.67,484.00,9.33,TRUE
1997,MI,Domiciliary care,,571.00,1142.00,87.00,416.00,484.00,726.00,329.00,FALSE
1997,MI,Personal care facility,,641.50,1283.00,157.50,557.00,484.00,726.00,399.50,FALSE
1997,MI,Home for the aged,,663.30,1326.60,179.30,600.60,484.00,726.00,421.30,FALSE
1997,MI,Living independently with essential person,,740.00,989.00,14.00,21.00,726.00,968.00,7.00,FALSE
1997,MI,Living in the household of another with essential person,,493.33,659.34,9.33,14.00,484.00,645.34,4.67,FALSE
1997,MI,Medicaid facility,,37.00,74.00,7.00,14.00,30.00,60.00,7.00,TRUE
