year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,NH,Living independently or household of another,,413.00,600.00,27.00,21.00,386.00,579.00,-6.00,FALSE
1990,NH,Living with an essential person,,0.00,785.00,0.00,13.00,0.00,772.00,13.00,FALSE
1990,NH,Residential care facility for adults,,653.00,1306.00,267.00,534.00,386.00,772.00,267.00,TRUE
1990,NH,Community residences,Nonsubsidized,595.00,1190.00,196.00,392.00,399.00,798.00,196.00,TRUE
1990,NH,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1991,NH,Living independently or household of another,,434.00,631.00,27.00,21.00,407.00,610.00,-6.00,FALSE
1991,NH,Living with an essential person,,0.00,827.00,0.00,13.00,0.00,814.00,13.00,FALSE
1991,NH,Residential care facility for adults,,653.00,1306.00,246.00,492.00,407.00,814.00,246.00,TRUE
1991,NH,Community residences,Nonsubsidized,595.00,1190.00,188.00,376.00,407.00,814.00,188.00,TRUE
1991,NH,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1992,NH,Living independently or household of another,,449.00,654.00,27.00,21.00,422.00,633.00,-6.00,FALSE
1992,NH,Living with an essential person,,0.00,857.00,0.00,13.00,0.00,844.00,13.00,FALSE
1992,NH,Residential care facility for adults,,653.00,1306.00,231.00,462.00,422.00,844.00,231.00,TRUE
1992,NH,Community residences,Nonsubsidized,595.00,1190.00,173.00,346.00,422.00,844.00,173.00,TRUE
1992,NH,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1994,NH,Living independently or household of another,,473.00,690.00,27.00,21.00,446.00,669.00,-6.00,FALSE
1994,NH,Living with an essential person,,0.00,905.00,0.00,13.00,0.00,892.00,13.00,FALSE
1994,NH,Residential care facility for adults,,653.00,1306.00,207.00,414.00,446.00,892.00,207.00,TRUE
1994,NH,Enhanced family care facilities,,653.00,1306.00,207.00,414.00,446.00,892.00,207.00,TRUE
1994,NH,Community residences,Nonsubsidized,595.00,1190.00,149.00,298.00,446.00,892.00,149.00,TRUE
1994,NH,Community residences,Subsidized,535.00,1070.00,89.00,178.00,446.00,892.00,89.00,TRUE
1994,NH,Medicaid facility,,40.00,80.00,10.00,20.00,30.00,60.00,10.00,TRUE
1995,NH,Living independently or household of another,,485.00,708.00,27.00,21.00,458.00,687.00,-6.00,FALSE
1995,NH,Living with an essential person,,0.00,929.00,0.00,13.00,0.00,916.00,13.00,FALSE
