year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,OH,Adult family/foster home,,450.00,900.00,64.00,321.00,386.00,579.00,257.00,FALSE
1990,OH,Adult group home,,550.00,1100.00,164.00,521.00,386.00,579.00,357.00,FALSE
1990,OH,Rest home,,550.00,1100.00,164.00,521.00,386.00,579.00,357.00,FALSE
1991,OH,Adult family/foster home,,450.00,900.00,43.00,290.00,407.00,610.00,247.00,FALSE
1991,OH,Adult group home,,500.00,1000.00,93.00,390.00,407.00,610.00,297.00,FALSE
1991,OH,Rest home,,500.00,1000.00,93.00,390.00,407.00,610.00,297.00,FALSE
1992,OH,Adult family/foster home,,779.00,1492.00,357.00,859.00,422.00,633.00,502.00,FALSE
1992,OH,Adult group home,,879.00,1692.00,457.00,1059.00,422.00,633.00,602.00,FALSE
1992,OH,Rest home,,879.00,1692.00,457.00,1059.00,422.00,633.00,602.00,FALSE
1994,OH,Adult family/foster home,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Adult community mental health housing,,602.00,1128.00,156.00,459.00,446.00,669.00,303.00,FALSE
1994,OH,Adult community alternative home,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Adult group home,,902.00,1728.00,456.00,1059.00,446.00,669.00,603.00,FALSE
1994,OH,Adult residential care facility,,802.00,1528.00,356.00,859.00,446.00,669.00,503.00,FALSE
1994,OH,Rest home,,902.00,1728.00,456.00,1059.00,446.00,669.00,603.00,FALSE
1995,OH,Adult family/foster home,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Adult community mental health housing,,614.00,1146.00,156.00,459.00,458.00,687.00,303.00,FALSE
1995,OH,Adult community alternative home,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Adult group home,,914.00,1746.00,456.00,1059.00,458.00,687.00,603.00,FALSE
1995,OH,Adult residential care facility,,814.00,1546.00,356.00,859.00,458.00,687.00,503.00,FALSE
1995,OH,Rest home,,914.00,1746.00,456.00,1059.00,458.00,687.00,603.00,FALSE
1996,OH,Adult family/foster home,,876.00,1664.00,406.00,959.00,470.00,705.00,553.00,FALSE
1996,OH,Adult community mental health housing,,676.00,1264.00,206.00,559.00,470.00,705.00,353.00,FALSE
1996,OH,Adult community alternative home,,876.00,1664.00,406.00,959.00,470.00,705.00,553.00,FALSE
1996,OH,Adult group home,,976.00,1864.00,506.00,1159.00,470.00,705.00,653.00,FALSE
1996,OH,Rest home,,976.00,1864.00,506.00,1159.00,470.00,705.00,653.00,FALSE
1997,OH,Adult family/foster home,,890.00,1685.00,406.00,959.00,484.00,726.00,553.00,FALSE
1997,OH,Adult community mental health housing,,690.00,1285.00,206.00,559.00,484.00,726.00,353.00,FALSE
1997,OH,Adult community alternative home,,890.00,1685.00,406.00,959.00,484.00,726.00,553.00,FALSE
1997,OH,Adult group home,,990.00,1885.00,506.00,1159.00,484.00,726.00,653.00,FALSE
1997,OH,Rest home,,990.00,1885.00,506.00,1159.00,484.00,726.00,653.00,FALSE
1998,OH,Adult family/foster home,,950.00,1800.00,456.00,1059.00,494.00,741.00,603.00,FALSE
1998,OH,Adult community mental health housing,,750.00,1400.00,256.00,659.00,494.00,741.00,403.00,FALSE
1998,OH,Adult community alternative home,,950.00,1800.00,456.00,1059.00,494.00,741.00,603.00,FALSE
1998,OH,Adult group home,,1050.00,2000.00,556.00,1259.00,494.00,741.00,703.00,FALSE
1998,OH,Rest home,,1050.00,2000.00,556.00,1259.00,494.00,741.00,703.00,FALSE
1999,OH,Adult family/foster home,,956.00,1810.00,456.00,1059.00,500.00,751.00,603.00,FALSE
1999,OH,Adult community mental health housing,,756.00,1410.00,256.00,659.00,500.00,751.00,403.00,FALSE
1999,OH,Adult community alternative home,,956.00,1810.00,456.00,1059.00,500.00,751.00,603.00,FALSE
1999,OH,Adult group home,,1056.00,2010.00,556.00,1259.00,500.00,751.00,703.00,FALSE
1999,OH,Rest home,,1056.00,2010.00,556.00,1259.00,500.00,751.00,703.00,FALSE
1999,OH,Adult residential care facility,,956.00,1810.00,456.00,1059.00,500.00,751.00,603.00,FALSE
2000,OH,Adult family/foster home,,968.00,1828.00,456.00,1059.00,512.00,769.00,603.00,FALSE
2000,OH,Adult community mental health housing,,768.00,1428.00,256.00,659.00,512.00,769.00,403.00,FALSE
2000,OH,Adult community alternative home,,968.00,1828.00,456.00,1059.00,512.00,769.00,603.00,FALSE
2000,OH,Adult group home,,1068.00,2028.00,556.00,1259.00,512.00,769.00,703.00,FALSE
2000,OH,Rest home,,1068.00,2028.00,556.00,1259.00,512.00,769.00,703.00,FALSE
2000,OH,Adult residential care facility,,968.00,1828.00,456.00,1059.00,512.00,769.00,603.00,FALSE
2004,OH,Adult family/foster home,,1070.00,2005.00,506.00,1159.00,564.00,846.00,653.00,FALSE
2004,OH,Adult community mental health housing,,870.00,1605.00,306.00,759.00,564.00,846.00,453.00,FALSE
2004,OH,Adult community alternative home,,1070.00,2005.00,506.00,1159.00,564.00,846.00,653.00,FALSE
2004,OH,Adult group home,,1170.00,2205.00,606.00,1359.00,564.00,846.00,753.00,FALSE
2004,OH,Rest home,,1170.00,2205.00,606.00,1359.00,564.00,846.00,753.00,FALSE
2004,OH,Adult residential care facility,,1070.00,2005.00,506.00,1159.00,564.00,846.00,653.00,FALSE
2005,OH,Adult family/foster home,,1085.00,2028.00,506.00,1159.00,579.00,869.00,653.00,FALSE
2005,OH,Adult community mental health housing,,885.00,1628.00,306.00,759.00,579.00,869.00,453.00,FALSE
2005,OH,Adult community alternative home,,1085.00,2028.00,506.00,1159.00,579.00,869.00,653.00,FALSE
2005,OH,Adult group home,,1185.00,2228.00,606.00,1359.00,579.00,869.00,753.00,FALSE
2005,OH,Rest home,,1185.00,2228.00,606.00,1359.00,579.00,869.00,753.00,FALSE
2005,OH,Adult residential care facility,,1085.00,2028.00,506.00,1159.00,579.00,869.00,653.00,FALSE
2006,OH,Adult family/foster home,,1109.00,2063.00,506.00,1159.00,603.00,904.00,653.00,FALSE
2006,OH,Adult community mental health housing,,909.00,1663.00,306.00,759.00,603.00,904.00,453.00,FALSE
2006,OH,Adult community alternative home,,1109.00,2063.00,506.00,1159.00,603.00,904.00,653.00,FALSE
2006,OH,Adult group home,,1209.00,2263.00,606.00,1359.00,603.00,904.00,753.00,FALSE
2006,OH,Rest home,,1209.00,2263.00,606.00,1359.00,603.00,904.00,753.00,FALSE
2006,OH,Adult residential care facility,,1109.00,2063.00,506.00,1159.00,603.00,904.00,653.00,FALSE
2007,OH,Adult family/foster home,,1129.00,2093.00,506.00,1159.00,623.00,934.00,653.00,FALSE
2007,OH,Adult community mental health housing,,929.00,1693.00,306.00,759.00,623.00,934.00,453.00,FALSE
2007,OH,Adult community alternative home,,1129.00,2093.00,506.00,1159.00,623.00,934.00,653.00,FALSE
2007,OH,Adult group home,,1229.00,2293.00,606.00,1359.00,623.00,934.00,753.00,FALSE
2007,OH,Rest home,,1229.00,2293.00,606.00,1359.00,623.00,934.00,753.00,FALSE
2007,OH,Adult residential care facility,,1129.00,2093.00,506.00,1159.00,623.00,934.00,653.00,FALSE
2008,OH,Adult family/foster home,,1143.00,2115.00,506.00,1159.00,637.00,956.00,653.00,FALSE
2008,OH,Adult community mental health housing,,943.00,1715.00,306.00,759.00,637.00,956.00,453.00,FALSE
2008,OH,Adult community alternative home,,1143.00,2115.00,506.00,1159.00,637.00,956.00,653.00,FALSE
2008,OH,Adult group home,,1243.00,2315.00,606.00,1359.00,637.00,956.00,753.00,FALSE
2008,OH,Rest home,,1243.00,2315.00,606.00,1359.00,637.00,956.00,753.00,FALSE
2008,OH,Adult residential care facility,,1143.00,2115.00,506.00,1159.00,637.00,956.00,653.00,FALSE
2011,OH,Adult family/foster home,,1180.00,2170.00,506.00,1159.00,674.00,1011.00,653.00,FALSE
2011,OH,Adult community mental health housing,,980.00,1770.00,306.00,759.00,674.00,1011.00,453.00,FALSE
2011,OH,Adult community alternative home,,1180.00,2170.00,506.00,1159.00,674.00,1011.00,653.00,FALSE
2011,OH,Adult group home,,1280.00,2370.00,606.00,1359.00,674.00,1011.00,753.00,FALSE
2011,OH,Rest home,,1280.00,2370.00,606.00,1359.00,674.00,1011.00,753.00,FALSE
2011,OH,Adult residential care facility,,1180.00,2170.00,506.00,1159.00,674.00,1011.00,653.00,FALSE
