year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,PA,Living alone,,418.40,627.70,32.40,48.70,386.00,579.00,16.30,FALSE
1990,PA,Living in household of another,,289.74,434.70,32.40,48.70,257.34,386.00,16.30,FALSE
1990,PA,Living with an essential person,,627.70,845.05,48.70,73.05,579.00,772.00,24.35,FALSE
1990,PA,Living with an essential person in household of another,,434.70,587.72,48.70,73.05,386.00,514.67,24.35,FALSE
1990,PA,Domiciliary care facility for adults,,533.30,952.40,147.30,373.40,386.00,579.00,226.10,FALSE
1991,PA,Living alone,,439.40,658.70,32.40,48.70,407.00,610.00,16.30,FALSE
1991,PA,Living in household of another,,303.74,455.37,32.40,48.70,271.34,406.67,16.30,FALSE
1991,PA,Living with an essential person,,659.70,887.05,48.70,73.05,611.00,814.00,24.35,FALSE
1991,PA,Living with an essential person in household of another,,456.04,615.73,48.70,73.05,407.34,542.68,24.35,FALSE
1991,PA,Domiciliary care facility for adults,,554.30,983.40,147.30,373.40,407.00,610.00,226.10,FALSE
1991,PA,Personal care home,,559.30,993.40,152.30,383.40,407.00,610.00,231.10,FALSE
1992,PA,Living alone,,454.40,681.70,32.40,48.70,422.00,633.00,16.30,FALSE
1992,PA,Living in household of another,,313.74,470.70,32.40,48.70,281.34,422.00,16.30,FALSE
1992,PA,Living with an essential person,,681.70,917.05,48.70,73.05,633.00,844.00,24.35,FALSE
1992,PA,Living with an essential person in household of another,,470.70,635.72,48.70,73.05,422.00,562.67,24.35,FALSE
1992,PA,Domiciliary care facility for adults,,569.30,1006.40,147.30,373.40,422.00,633.00,226.10,FALSE
1992,PA,Personal care home,,574.30,1016.40,152.30,383.40,422.00,633.00,231.10,FALSE
1994,PA,Living alone,,478.40,717.70,32.40,48.70,446.00,669.00,16.30,FALSE
1994,PA,Living in household of another,,329.74,494.70,32.40,48.70,297.34,446.00,16.30,FALSE
1994,PA,Living with an essential person,,717.70,965.05,48.70,73.05,669.00,892.00,24.35,FALSE
1994,PA,Living with an essential person in household of another,,494.70,667.72,48.70,73.05,446.00,594.67,24.35,FALSE
1994,PA,Domiciliary care facility for adults,,775.30,1406.40,329.30,737.40,446.00,669.00,408.10,FALSE
1994,PA,Personal care home,,780.30,1416.40,334.30,747.40,446.00,669.00,413.10,FALSE
1995,PA,Living alone,,490.40,735.70,32.40,48.70,458.00,687.00,16.30,FALSE
1995,PA,Living in household of another,,337.74,506.70,32.40,48.70,305.34,458.00,16.30,FALSE
1995,PA,Living with an essential person,,735.70,989.05,48.70,73.05,687.00,916.00,24.35,FALSE
1995,PA,Living with an essential person in household of another,,506.70,683.72,48.70,73.05,458.00,610.67,24.35,FALSE
1995,PA,Domiciliary care facility for adults,,787.30,1424.40,329.30,737.40,458.00,687.00,408.10,FALSE
