year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,WA,Living independently,Area 1,414.00,601.00,28.00,22.00,386.00,579.00,-6.00,FALSE
1990,WA,Living independently,Area 2,393.55,579.00,7.55,0.00,386.00,579.00,-7.55,FALSE
1990,WA,Living with ineligible spouse,Area 1,578.00,0.00,192.00,0.00,386.00,0.00,-192.00,FALSE
1990,WA,Living with ineligible spouse,Area 2,546.15,0.00,160.15,0.00,386.00,0.00,-160.15,FALSE
1990,WA,Living in household of another,,263.15,392.30,5.81,6.30,257.34,386.00,0.49,FALSE
1990,WA,Living in household of another with ineligible spouse,,376.97,0.00,119.63,0.00,257.34,0.00,-119.63,FALSE
1990,WA,Living with one essential person,Area 1,601.00,0.00,22.00,0.00,579.00,0.00,-22.00,FALSE
1990,WA,Living with one essential person,Area 2,579.00,0.00,0.00,0.00,579.00,0.00,0.00,TRUE
1990,WA,Living in household of another with one essential person,,392.30,0.00,6.30,0.00,386.00,0.00,-6.30,FALSE
1990,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1991,WA,Living independently,Area 1,435.00,632.00,28.00,22.00,407.00,610.00,-6.00,FALSE
1991,WA,Living independently,Area 2,414.55,610.00,7.55,0.00,407.00,610.00,-7.55,FALSE
1991,WA,Living with ineligible spouse,Area 1,599.00,0.00,192.00,0.00,407.00,0.00,-192.00,FALSE
1991,WA,Living with ineligible spouse,Area 2,567.15,0.00,160.15,0.00,407.00,0.00,-160.15,FALSE
1991,WA,Living in household of another,,277.15,412.97,5.81,6.30,271.34,406.67,0.49,FALSE
1991,WA,Living in household of another with ineligible spouse,,390.97,0.00,119.63,0.00,271.34,0.00,-119.63,FALSE
1991,WA,Living with one essential person,Area 1,633.00,0.00,22.00,0.00,611.00,0.00,-22.00,FALSE
1991,WA,Living with one essential person,Area 2,611.00,0.00,0.00,0.00,611.00,0.00,0.00,TRUE
1991,WA,Living in household of another with one essential person,,413.64,0.00,6.30,0.00,407.34,0.00,-6.30,FALSE
1991,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1992,WA,Living independently,Area 1,450.00,655.00,28.00,22.00,422.00,633.00,-6.00,FALSE
1992,WA,Living independently,Area 2,429.55,633.00,7.55,0.00,422.00,633.00,-7.55,FALSE
1992,WA,Living with ineligible spouse,Area 1,614.00,0.00,192.00,0.00,422.00,0.00,-192.00,FALSE
1992,WA,Living with ineligible spouse,Area 2,582.15,0.00,160.15,0.00,422.00,0.00,-160.15,FALSE
1992,WA,Living in household of another,,287.15,428.30,5.81,6.30,281.34,422.00,0.49,FALSE
1992,WA,Living in household of another with ineligible spouse,,400.97,0.00,119.63,0.00,281.34,0.00,-119.63,FALSE
1992,WA,Living with one essential person,Area 1,655.00,0.00,22.00,0.00,633.00,0.00,-22.00,FALSE
1992,WA,Living with one essential person,Area 2,633.00,0.00,0.00,0.00,633.00,0.00,0.00,TRUE
1992,WA,Living in household of another with one essential person,,428.30,0.00,6.30,0.00,422.00,0.00,-6.30,FALSE
1992,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1994,WA,Living independently,Area 1,474.00,691.00,28.00,22.00,446.00,669.00,-6.00,FALSE
1994,WA,Living independently,Area 2,453.55,669.00,7.55,0.00,446.00,669.00,-7.55,FALSE
1994,WA,Living with ineligible spouse,Area 1,638.00,0.00,192.00,0.00,446.00,0.00,-192.00,FALSE
1994,WA,Living with ineligible spouse,Area 2,606.15,0.00,160.15,0.00,446.00,0.00,-160.15,FALSE
1994,WA,Living in household of another,,303.15,452.30,5.81,6.30,297.34,446.00,0.49,FALSE
1994,WA,Living in household of another with ineligible spouse,,416.97,0.00,119.63,0.00,297.34,0.00,-119.63,FALSE
1994,WA,Living with one essential person,Area 1,691.00,0.00,22.00,0.00,669.00,0.00,-22.00,FALSE
1994,WA,Living with one essential person,Area 2,669.00,0.00,0.00,0.00,669.00,0.00,0.00,TRUE
1994,WA,Living in household of another with one essential person,,452.30,0.00,6.30,0.00,446.00,0.00,-6.30,FALSE
1994,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1995,WA,Living independently,Area 1,486.00,709.00,28.00,22.00,458.00,687.00,-6.00,FALSE
1995,WA,Living independently,Area 2,465.55,687.00,7.55,0.00,458.00,687.00,-7.55,FALSE
1995,WA,Living with ineligible spouse,Area 1,626.20,0.00,168.20,0.00,458.00,0.00,-168.20,FALSE
1995,WA,Living with ineligible spouse,Area 2,596.25,0.00,138.25,0.00,458.00,0.00,-138.25,FALSE
1995,WA,Living in household of another,,311.15,464.30,5.81,6.30,305.34,458.00,0.49,FALSE
1995,WA,Living in household of another with ineligible spouse,,409.10,0.00,103.76,0.00,305.34,0.00,-103.76,FALSE
1995,WA,Living with one essential person,Area 1,709.00,0.00,22.00,0.00,687.00,0.00,-22.00,FALSE
1995,WA,Living with one essential person,Area 2,687.00,0.00,0.00,0.00,687.00,0.00,0.00,TRUE
1995,WA,Living in household of another with one essential person,,464.30,0.00,6.30,0.00,458.00,0.00,-6.30,FALSE
1995,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1996,WA,Living independently,Area 1,495.42,724.98,25.42,19.98,470.00,705.00,-5.44,FALSE
1996,WA,Living independently,Area 2,476.86,705.00,6.86,0.00,470.00,705.00,-6.86,FALSE
1996,WA,Living with ineligible spouse,Area 1,622.73,0.00,152.73,0.00,470.00,0.00,-152.73,FALSE
1996,WA,Living with ineligible spouse,Area 2,595.53,0.00,125.53,0.00,470.00,0.00,-125.53,FALSE
1996,WA,Living in household of another,,318.62,475.72,5.28,5.72,313.34,470.00,0.44,FALSE
1996,WA,Living in household of another with ineligible spouse,,407.55,0.00,94.21,0.00,313.34,0.00,-94.21,FALSE
1996,WA,Living with one essential person,Area 1,724.98,0.00,19.98,0.00,705.00,0.00,-19.98,FALSE
1996,WA,Living with one essential person,Area 2,705.00,0.00,0.00,0.00,705.00,0.00,0.00,TRUE
1996,WA,Living in household of another with one essential person,,475.72,0.00,5.72,0.00,470.00,0.00,-5.72,FALSE
1996,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1997,WA,Living independently,Area 1,512.00,748.00,28.00,22.00,484.00,726.00,-6.00,FALSE
1997,WA,Living independently,Area 2,491.55,726.00,7.55,0.00,484.00,726.00,-7.55,FALSE
1997,WA,Living with ineligible spouse,Area 1,652.20,0.00,168.20,0.00,484.00,0.00,-168.20,FALSE
1997,WA,Living with ineligible spouse,Area 2,622.25,0.00,138.25,0.00,484.00,0.00,-138.25,FALSE
1997,WA,Living in household of another,,328.48,490.30,5.81,6.30,322.67,484.00,0.49,FALSE
1997,WA,Living in household of another with ineligible spouse,,426.43,0.00,103.76,0.00,322.67,0.00,-103.76,FALSE
1997,WA,Living with one essential person,Area 1,748.00,0.00,22.00,0.00,726.00,0.00,-22.00,FALSE
1997,WA,Living with one essential person,Area 2,726.00,0.00,0.00,0.00,726.00,0.00,0.00,TRUE
1997,WA,Living in household of another with one essential person,,490.30,0.00,6.30,0.00,484.00,0.00,-6.30,FALSE
1997,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1998,WA,Living independently,Area 1,521.00,762.00,27.00,21.00,494.00,741.00,-6.00,FALSE
1998,WA,Living independently,Area 2,500.55,741.00,6.55,0.00,494.00,741.00,-6.55,FALSE
1998,WA,Living with ineligible spouse,Area 1,661.20,0.00,167.20,0.00,494.00,0.00,-167.20,FALSE
1998,WA,Living with ineligible spouse,Area 2,631.25,0.00,137.25,0.00,494.00,0.00,-137.25,FALSE
1998,WA,Living in household of another,,334.15,499.30,4.81,5.30,329.34,494.00,0.49,FALSE
1998,WA,Living in household of another with ineligible spouse,,432.10,0.00,102.76,0.00,329.34,0.00,-102.76,FALSE
1998,WA,Living with one essential person,Area 1,762.00,0.00,21.00,0.00,741.00,0.00,-21.00,FALSE
1998,WA,Living with one essential person,Area 2,741.00,0.00,0.00,0.00,741.00,0.00,0.00,TRUE
1998,WA,Living in household of another with one essential person,,499.30,0.00,5.30,0.00,494.00,0.00,-5.30,FALSE
1998,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
1999,WA,Living independently,Area 1,527.00,772.00,27.00,21.00,500.00,751.00,-6.00,FALSE
1999,WA,Living independently,Area 2,506.55,751.00,6.55,0.00,500.00,751.00,-6.55,FALSE
1999,WA,Living with ineligible spouse,Area 1,667.20,0.00,167.20,0.00,500.00,0.00,-167.20,FALSE
1999,WA,Living with ineligible spouse,Area 2,637.25,0.00,137.25,0.00,500.00,0.00,-137.25,FALSE
1999,WA,Living in household of another,,338.15,505.97,4.81,5.30,333.34,500.67,0.49,FALSE
1999,WA,Living in household of another with ineligible spouse,,436.10,0.00,102.76,0.00,333.34,0.00,-102.76,FALSE
1999,WA,Living with one essential person,Area 1,771.00,0.00,21.00,0.00,750.00,0.00,-21.00,FALSE
1999,WA,Living with one essential person,Area 2,750.00,0.00,0.00,0.00,750.00,0.00,0.00,TRUE
1999,WA,Living in household of another with one essential person ,,505.30,0.00,5.30,0.00,500.00,0.00,-5.30,FALSE
1999,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
2000,WA,Living independently,Area 1,539.00,790.00,27.00,21.00,512.00,769.00,-6.00,FALSE
2000,WA,Living independently,Area 2,518.55,769.00,6.55,0.00,512.00,769.00,-6.55,FALSE
2000,WA,Living with ineligible spouse,Area 1,679.20,0.00,167.20,0.00,512.00,0.00,-167.20,FALSE
2000,WA,Living with ineligible spouse,Area 2,649.25,0.00,137.25,0.00,512.00,0.00,-137.25,FALSE
2000,WA,Living in household of another,,346.15,517.97,4.81,5.30,341.34,512.67,0.49,FALSE
2000,WA,Living in household of another with ineligible spouse,,444.10,0.00,102.76,0.00,341.34,0.00,-102.76,FALSE
2000,WA,Living with one essential person,Area 1,790.00,0.00,21.00,0.00,769.00,0.00,-21.00,FALSE
2000,WA,Living with one essential person,Area 2,769.00,0.00,0.00,0.00,769.00,0.00,0.00,TRUE
2000,WA,Living in household of another with one essential person,,517.30,0.00,5.30,0.00,512.00,0.00,-5.30,FALSE
2000,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
2004,WA,Living independently,Area 1,589.90,865.90,25.90,19.90,564.00,846.00,-6.00,FALSE
2004,WA,Living independently,Area 2,569.45,846.00,5.45,0.00,564.00,846.00,-5.45,FALSE
2004,WA,Living with ineligible spouse,Area 1,730.10,0.00,166.10,0.00,564.00,0.00,-166.10,FALSE
2004,WA,Living with ineligible spouse,Area 2,700.15,0.00,136.15,0.00,564.00,0.00,-136.15,FALSE
2004,WA,Living in household of another,,379.71,568.20,3.71,4.20,376.00,564.00,0.49,FALSE
2004,WA,Living in household of another with ineligible spouse,,477.66,0.00,101.66,0.00,376.00,0.00,-101.66,FALSE
2004,WA,Medicaid facility,,41.62,83.24,11.62,23.24,30.00,60.00,11.62,TRUE
2005,WA,Living independently,Area 1,604.90,888.90,25.90,19.90,579.00,869.00,-6.00,FALSE
2005,WA,Living independently,Area 2,584.45,0.00,5.45,0.00,579.00,0.00,-5.45,FALSE
2005,WA,Living with ineligible spouse,Area 1,745.10,0.00,166.10,0.00,579.00,0.00,-166.10,FALSE
2005,WA,Living with ineligible spouse,Area 2,715.15,0.00,136.15,0.00,579.00,0.00,-136.15,FALSE
2005,WA,Living in household of another,,389.71,583.54,3.71,4.20,386.00,579.34,0.49,FALSE
2005,WA,Living in household of another with ineligible spouse,,487.66,0.00,101.66,0.00,386.00,0.00,-101.66,FALSE
