,year,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
0,1992,AL,Receiving personal care in a private home or a personal care home Level A,482.00,753.00,60.00,120.00
1,1992,AL,Receiving personal care in a private home or a personal care home Level B,478.00,745.00,56.00,112.00
2,1992,AL,Receiving personal care and support and maintenance in a private home or personal care home Level A,341.34,542.00,60.00,120.00
3,1992,AL,Receiving personal care and support and maintenance in a private home or personal care home Level B,337.34,534.00,56.00,112.00
4,1992,AL,Receiving nursing care in a private home or personal care home,482.00,753.00,60.00,120.00
5,1992,AL,Receiving nursing care and support and maintenance in a private home or personal care home,341.34,542.00,60.00,120.00
6,1992,AL,Living in foster home with personal care or nursing care,532.00,853.00,110.00,220.00
7,1992,AL,Living in cerebral palsy treatment center,618.00,1025.00,196.00,392.00
8,1992,AK,Living independently,784.00,1161.00,362.00,528.00
9,1992,AK,Living independently with ineligible spouse,943.00,N/A,521.00,N/A
10,1992,AK,Living in household of another,649.34,965.00,368.00,543.00
11,1992,AK,Living in household of another with ineligible spouse,745.34,N/A,464.00,N/A
12,1992,AK,Medicaid facility,75.00,150.00,45.00,90.00
13,1992,AZ,Requires housekeeping services,492.00,N/A,70.00,N/A
14,1992,AZ,Licensed private nursing homes,502.00,793.00,80.00,160.00
15,1992,AZ,Licensed county operated nursing homes,N/A,N/A,174.00,348.00
16,1992,AZ,"Licensed supervisory care homes, adult foster care homes, or 24-hour treatment facilities",472.00,733.00,60.00,100.00
17,1992,CA,Independent living with cooking facilities Aged and disabled,645.00,1190.00,223.00,557.00
18,1992,CA,Independent living with cooking facilities Blind,719.00,1395.00,297.00,762.00
19,1992,CA,Nonmedical out-of-home care,724.00,1441.00,302.00,808.00
20,1992,CA,Independent living without cooking facilities Aged and disabled,713.00,1326.00,291.00,693.00
21,1992,CA,Living in household of another Aged and disabled,511.34,989.33,230.00,567.33
22,1992,CA,Living in household of another Blind,585.34,1194.33,304.00,772.33
23,1992,CA,"Disabled minor in home of parent, guardian, or relative",514.00,N/A,92.00,N/A
24,1992,CA,"Nonmedical out-of-home care, living in household of another",590.34,1240.33,309.00,818.33
25,1992,CA,Disabled minor in the household of another,380.34,N/A,99.00,N/A
26,1992,CA,Medicaid facility,42.00,84.00,12.00,24.00
27,1992,CO,Living independently Aged,478.00,956.00,56.00,323.00
28,1992,CO,Living independently Blind and disabled,422.00,844.00,0.00,211.00
29,1992,CO,Adult foster care,628.00,N/A,206.00,N/A
30,1992,CO,Home care Aged,778.00,N/A,356.00,N/A
31,1992,CO,Home care Blind and disabled,722.00,N/A,300.00,N/A
32,1992,CO,Individual with essential spouse Blind and disabled,550.00,N/A,128.00,N/A
33,1992,CT,Independent community living,747.10,1094.20,325.10,461.20
34,1992,DE,Living in adult residential care facility,562.00,1081.00,140.00,448.00
35,1992,DC,Adult foster-care home (50 beds or less),569.20,1138.40,147.20,505.40
36,1992,DC,Adult foster-care home (over 50 beds),679.20,1358.40,257.20,725.40
37,1992,DC,Living independently,437.00,663.00,15.00,30.00
38,1992,DC,Living in household of another,296.34,452.00,15.00,30.00
39,1992,DC,Living independently with an essential person,648.00,874.00,15.00,30.00
40,1992,DC,Living in household of another with an essential person,437.00,592.67,15.00,30.00
41,1992,DC,Medicaid facility,70.00,140.00,40.00,80.00
42,1992,FL,"Community care program, Adult foster care Normal/Minimal",633.00,N/A,211.00,N/A
